identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,avantages_dateFin,avantages_categorie,nro_paginas,page,images_4,images_5,images_6,images_7
1301,5601151660751,410.0,Compal,"Feijão encarnado, lata de 410ml",,1.09,2.66,410,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8777874F846E4C62B1CDEE04A734A2E1.jpg,,,,2025-07-09T23:59:59.999999999+01:00,PROSPECTUS,12,1,,,,
11688,5601244202318,200.0,Terra Nostra,"Queijo flamengo em fatias, embalagem de 200g",,2.29,11.45,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/51C5114F8500F311C1E44953A540868A.jpg,,,,2025-07-09T23:59:59.999999999+01:00,PROSPECTUS,12,1,,,,
36704,5604260300655,270.0,PorSi,Atum Posta Ao Natural 385G,,2.67,9.89,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6E8F48924D1C68054BF8CC7FA6C97A49.jpg,,,,2025-07-09T23:59:59.999999999+01:00,PROSPECTUS,12,1,,,,
35111,4005900388834,50.0,Nivea Men,"Desodorizante rollon cool kick, 50 ml",,2.69,53.8,50,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/691A994E096586847CC8AF87A4722A9D.jpg,,,,2025-07-09T23:59:59.999999999+01:00,PROSPECTUS,12,1,,,,
29834,8712100516467,480.0,Olá,"Gelado cornetto mini clássico, embalagem de 8 x 60 ml",,3.89,8.1,480,L,€/L,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/966639A10CEAB2E0B5CACE51C203C362.jpg,,,,2025-07-09T23:59:59.999999999+01:00,PROSPECTUS,12,1,,,,
13966,2696019000000,450.0,Padaria,Pão Regional Rio Maior Inteiro,1 unidade= 450 g,1.09,2.42,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/868CC38F01B8F1FD056036A7F49504A8.jpg,,,,2025-07-09T23:59:59.999999999+01:00,PROSPECTUS,12,1,,,,
7994,5000204700398,,Raid,"Inseticida, recarga, elétrico, pack 2",1 embalagem com 2x27ml,7.59,7.59,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/14C1FAF83F88740F609DED3B0E2D51E7.jpg,,,,2025-08-06T23:59:59.999999999+01:00,PROSPECTUS,12,1,,,,
14897,2892245000000,4000.0,Fruta,Melancia Riscada,Vendido ao peso | 1 un = 4kg (aprox.),3.96,0.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/499A6B9B1699D69723890E8129338912.jpg,,,,2025-07-09T23:59:59.999999999+01:00,PROSPECTUS,12,1,,,,
18942,5601989950086,750.0,Monte Velho,"Vinho rosé, região do alentejo, garrafa de 0,75 l",,3.99,5.32,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/492FA643C4A4901779ACEB329DDE602F.jpg,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,12,1,,,,
41388,5604260304356,2000.0,PorSi Select,Alimento Seco Gato Pro Esterilizado 2 Kg,,5.99,3.0,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8A8341870D185F9B8420300F8DA6DD25.jpg,,,,2025-07-09T23:59:59.999999999+01:00,PROSPECTUS,12,1,,,,
