index,no_products,id,title
84,39,11757,Temperos
85,36,11722,"Maionese, Ketchup e Mostarda"
86,40,11723,Especiarias e Ervas Aromáticas
87,30,11724,Caldos
88,17,11725,Sal
89,9,10242,Feijão
90,1,10243,Grão
91,1,11021,Lentilhas
92,8,11817,Sementes
93,40,10273,Café em Cápsulas
94,32,11058,Café Torrado
95,24,10271,Café Solúvel
96,17,11057,Bebidas de Cereais
97,40,11736,Chás e Infusões
98,8,11745,Chocolate em Pó
99,40,10292,Açúcar e Adoçantes
100,16,11737,Chocolate e Cacau de Culinária
101,14,11738,Farinha e Fermento
102,7,11739,"Aromas, Toppings e Corantes"
103,34,11740,Gelatinas
104,35,11741,Bolos e Sobremesas
105,29,11742,Coberturas e Decoração
106,14,11743,Leite Condensado
107,15,11744,Fruta em Calda
108,29,10260,Cereais Infantis e Juvenis
109,38,11050,Cereais Linha e Fibra
110,9,11052,Muesli e Granola
111,18,11053,Flocos e Papas
112,36,11054,Barras de Cereais
113,40,11072,Doces e Compotas
114,12,10318,Marmelada e Goiabada
115,19,10317,Cremes de Barrar
116,10,10319,Mel
117,40,11082,Bolachas de Chocolate
118,40,10796,Bolachas com Cobertura e Recheio
119,18,10251,Bolachas Infantis
120,40,11747,"Bolachas de Manteiga, Shortcake e Palmiers"
121,18,10253,Bolachas Maria e Torrada
122,28,10250,Bolachas Cracker e Água e Sal
123,40,10252,Bolachas Fibra e sem Açúcar
124,40,10259,"Bolos, Napolitanas e Pães de Leite"
125,7,11750,Bolachas Sortidas
126,15,11816,Tortitas Arroz e Milho
127,40,10306,Chocolates de Leite
128,20,10746,Chocolates Negros
129,11,10747,Chocolates Brancos
130,23,10751,Chocolate com Avelã e Amêndoa
131,5,10304,Bombons
132,17,10308,Chocolates Mini e Drageias
133,6,10307,Chocolate com Recheios de Fruta
134,14,10305,Chocolate Infantil
135,40,11748,Gomas e Rebuçados
136,40,11749,Pastilhas Elásticas
137,18,11727,Azeitonas e Tremoços
138,21,11728,"Cogumelos, Milho e Ervilhas"
139,38,11729,Feijão e Grão
140,40,11730,Peixe
141,33,11731,Salsichas
142,20,11732,Patê
143,22,11733,Pickles e Outros Vegetais
144,15,10245,Refeições prontas
145,14,10246,Sopas e Cremes
146,13,11746,"Noodles, Pastas e Especialidades"
147,16,10221,Batatas Lisas e Onduladas
148,21,10219,Batatas com Sabores
149,8,10218,Batatas Palha e Caseiras
150,38,10222,Snacks e Aperitivos
151,7,10223,Desidratados e Frutos Secos
152,3,11726,Pipocas
153,38,11589,"Douradinhos, Filetes e Crocantes"
154,19,11587,Hamburguers e Almôndegas
155,27,11588,Entradas e Salgados
156,16,11584,Pizzas
157,4,11585,Lasanhas e Massas Italianas
158,11,11586,Refeições
159,40,11576,Peixe
160,14,11578,Bacalhau
161,28,11577,Marisco
162,7,11579,Fruta
163,40,11580,Legumes
164,12,11581,Batatas Pré-Fritas
165,40,11582,Gelados
166,15,11583,Sobremesas
167,2,11482,Gelo Picado e Cubos
168,20,11644,Pizzas e Lasanhas
169,9,11645,Outras Refeições
170,12,11646,Sopas e Cremes
171,9,11647,"Saladas, Sandes e Wraps"
172,14,11648,Massas
173,28,11672,Água com Gás
174,33,11673,Água sem Gás
175,4,11674,Água com Sabores
176,12,11675,Água Tónica e Ginger Ale
177,40,11112,Cerveja Branca
178,12,11113,Cerveja Preta
179,10,10341,Cerveja sem Álcool
180,14,10342,Sidras e Panachés
181,1,11116,Cervejas Estrangeiras e Artesanais
182,40,10011,Refrigerantes com Gás
