identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,images_5,images_6,avantages_dateFin,avantages_categorie,nro_paginas,page
13914,2891225000000,350.0,Frango,Perna com Costa,1 un. = 300 g (aprox.),0.8,2.29,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D1297D1CD095629263E582A65B4C3857.jpg,,,,,,,2025-05-28T23:59:59.999999999+01:00,PROSPECTUS,19,1
1293,5601151398104,630.0,Compal,"Pack de 3 embalagens de polpa de tomate, embalagem de 630g",,1.49,2.37,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BC7D38B0892D2B72B99AEECF05E81523.jpg,,,,,,,2025-05-28T23:59:59.999999999+01:00,PROSPECTUS,19,1
30958,5449000957955,3500.0,Coca-Cola,"Refrigerante zero, pack 2 x 1.75 l",,3.32,0.95,3500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F2EAD17F7ACB8ABDBC63DEE76B961767.jpg,,,,,,,2025-05-28T23:59:59.999999999+01:00,PROSPECTUS,19,1
9989,8000430133035,125.0,Galbani,"Queijo mozzarella fresca, embalagem de 125 g",,1.75,14.0,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2D2F42EC9092F570E0A5C16679F885D7.jpg,,,,,,,2025-05-28T23:59:59.999999999+01:00,PROSPECTUS,19,1
13947,2891125000000,150.0,Peru,Espetadas de Peru,1 un = 150 gr (aprox.),1.02,6.79,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7051DD49B64096A6B46E7815DD618A85.jpg,,,,,,,2025-05-28T23:59:59.999999999+01:00,PROSPECTUS,19,1
5008,5601028000383,,Renova,"Lenços de bolso sensi, brancos, 10 unidades",Uma embalagem de 6x10,0.89,0.89,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A7E56C5340E5213CBF3A606D0311258B.jpg,,,,,,,2025-05-28T23:59:59.999999999+01:00,PROSPECTUS,19,1
13599,2893594000000,500.0,Peixaria,Red Fish Grande Congelado,1 un = 500 gr (aprox.),2.0,3.99,0,,€/Kg,,Avantages !,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A3E98972B338DCF46BAA412A17BB9B0C.jpg,,,,,,,2025-05-28T23:59:59.999999999+01:00,PROSPECTUS,19,1
17402,8412600027233,700.0,Bimbo,Pão forma familiar normal,embalagem de 700 g,1.99,2.84,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BD26753EF23D0DF0FDC14FCDC181B902.jpg,,,,,,,2025-05-28T23:59:59.999999999+01:00,PROSPECTUS,19,1
24415,8410436299961,1300.0,Sonasol,"Lava tudo lavanda, 1,3l",,2.09,1.61,1300,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7357FEB6EC6D53B795AF0EA5889F5ADF.jpg,,,,,,,2025-05-28T23:59:59.999999999+01:00,PROSPECTUS,19,1
13833,2892579000000,300.0,Legumes,Pepino,1 un = 300 gr  (aprox.),0.42,1.39,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BD2734BFC4704D52A466FC85B929304E.jpg,,,,,,,2025-05-28T23:59:59.999999999+01:00,PROSPECTUS,19,1
8907,5601356013062,750.0,Porta da Ravessa,"Vinho doc alentejo tinto, garrafa de 750 ml",,2.24,2.99,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/30CD7B81F8725B208C8117FAC2D69297.jpg,,,,,,,2025-05-28T23:59:59.999999999+01:00,PROSPECTUS,19,1
2474,7613032408602,85.0,Purina Gourmet,"Comida húmida para gato vaca e frango, embalagem de 90g",,0.87,10.24,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/571C1A9D6D5EE4C101463565EC0CDDDE.jpg,,,,,,,2025-05-28T23:59:59.999999999+01:00,PROSPECTUS,19,1
2466,7613032142599,500.0,Cerelac,Farinha láctea 12 meses,Embalagem de 500g,3.49,6.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4E708CAF1A60A052407E76B7A92102F7.jpg,,,,,,,2025-05-28T23:59:59.999999999+01:00,PROSPECTUS,19,1
22953,8411660670236,750.0,Sanytol,Desinfetante Multiusos,Embalagem de 750 ml,2.49,3.32,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1EEAA97664C33C6BEBEA4FA4B7290F03.jpg,,,,,,,2025-05-28T23:59:59.999999999+01:00,PROSPECTUS,19,1
26772,5449000106186,3500.0,Coca-Cola,"Refrigerante com gás, pack 2 x 1.75 l",,3.77,1.08,3500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A789E276311FA9DA8F07BCEEEA6CB731.jpg,,,,,,,2025-05-28T23:59:59.999999999+01:00,PROSPECTUS,19,1
25054,5603722516597,480.0,Mimosa,"Iogurte magro + gelatina morango, embalagem de 4 x 120g",,1.69,3.52,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DAE62B86085E7357EAC285F9FA275047.jpg,,,,,,,2025-05-28T23:59:59.999999999+01:00,PROSPECTUS,19,1
54578,5604260332847,200.0,Labell Men,"Desodorizante Antitranspirante Invisible, 200ml",,1.39,6.95,200,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6089B570557FEDB49C72B5ECFB5CAF3F.jpg,,,,,,,2025-06-11T23:59:59.999999999+01:00,PROSPECTUS,19,1
14458,7613034678607,90.0,Nestlé,"Fruta para bebé banana maçã +4 meses, embalagem de 90g",,0.65,7.22,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0F3547F16577E97D821E3E9FDD9F17B9.jpg,,,,,,,2025-05-28T23:59:59.999999999+01:00,PROSPECTUS,19,1
22335,5000116110940,420.0,Capitão Iglo,"15 douradinhos, embalagem de 420g",,4.99,11.88,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3973A8C90F686ECB72E76C3B0A0492D4.jpg,,,,,,,2025-05-28T23:59:59.999999999+01:00,PROSPECTUS,19,1
5096,5601050026429,300.0,Danonino Danone,"Queijinho danonino petitdino de morango/banana, embalagem de 6 x 50g",,1.99,6.63,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FA8D1A9125B498992C62B9745CC5DD3D.jpg,,,,,,,2025-05-28T23:59:59.999999999+01:00,PROSPECTUS,19,1
282,0000080361497,85.0,Purina Gourmet,"Comida húmida para gato pedacinhos em molho com salmão, embalagem de 90g",,0.87,10.24,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F3269BDBEA9617D986C45DC8EC354AB3.jpg,,,,,,,2025-05-28T23:59:59.999999999+01:00,PROSPECTUS,19,1
44956,2696878000000,,Padaria,Bola de mistura centeio Baviera,90 g,0.2,0.2,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/09DB4B39AC0AAE5D11E868A906EFB364.jpg,,,,,,,2025-05-28T23:59:59.999999999+01:00,PROSPECTUS,19,1
12978,2892462000000,400.0,Legumes,Alface Frisada,1 un= 400 g (aprox.),0.6,1.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/11753DE36CD8D1B450ED5A40B08A088C.jpg,,,,,,,2025-05-28T23:59:59.999999999+01:00,PROSPECTUS,19,1
