identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,images_5,avantages_dateFin,avantages_categorie,nro_paginas,page,images_6
48211,5604260323128,4300.0,PorSi,Detergente Máquina Roupa Lavanda 86d,,9.79,2.28,4300,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/401A7F3FF5F37D8AC0AD22BD425FDB76.jpg,,,,,,2026-03-18T23:59:59Z,PROSPECTUS,16,6,
48551,7613287300393,,Nescafé,Nescafe portion coffee systems nescafé dolce gusto 186 g,,10.49,10.49,30,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E649FC664013B58BF3328022DDE18A28.jpg,,,,,,2026-03-11T23:59:59Z,PROSPECTUS,16,6,
49101,5604260322831,2000.0,PorSi,Detergente Máquina Roupa Cores 40d,,4.89,2.45,2000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7DFB05DE344ACFEAB9ED7E2388CF58DC.jpg,,,,,,2026-03-18T23:59:59Z,PROSPECTUS,16,6,
49221,5604260322602,90.0,PorSi,Puré de Fruta Maçã Banana Laranja 90g,,0.59,6.56,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3EA2B765FDE0704D86E3A5E9BB105514.jpg,,,,,,2026-03-11T23:59:59Z,PROSPECTUS,16,6,
49222,5604260322619,90.0,PorSi,Puré de Fruta Pêssego Maçã Banana 90g,,0.59,6.56,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/78C05D62DAF9544E31797E05A695FD1B.jpg,,,,,,2026-03-11T23:59:59Z,PROSPECTUS,16,6,
49224,5604260322640,90.0,PorSi,Puré de Fruta e Aveia 90g,,0.59,6.56,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2883AE3C85FAF5BBF9A14AEAF97F71F7.jpg,,,,,,2026-03-11T23:59:59Z,PROSPECTUS,16,6,
49729,5601151968581,1500.0,B!,"Refrigerante limonada, 1. 5 litros",,1.29,0.86,1500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AC2DDEC95F026307FAD95EC15E7A024A.jpg,,,,,,2026-03-11T23:59:59Z,PROSPECTUS,16,6,
49730,5601151968574,1500.0,B!,Sumo maracujá de 1.5 l,,1.29,0.86,1500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D471B15D4B18DF054FCF4E0F25DA8D23.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/48964AEE0FDBEDF349365603C964A160.jpg,,,,,2026-03-11T23:59:59Z,PROSPECTUS,16,6,
49731,5601151968567,1500.0,B!,"Sumo maçã, de 1.5 l",,1.29,0.86,1500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/42B0A69FA0B06191FA93D0C5C723F2C5.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/90C7F6A4677F3F786BB9A9C63AC80A01.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/90C7F6A4677F3F786BB9A9C63AC80A01.jpg,,,,2026-03-11T23:59:59Z,PROSPECTUS,16,6,
49793,5604422183249,700.0,Macieira,"Macieira cream, garrafa de 700 ml",,14.59,20.84,700,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A1DED700514E3DBB5450F3CA76197AAA.jpg,,,,,,2026-03-11T23:59:59Z,PROSPECTUS,16,6,
50048,8410706100355,240.0,Pasquier,Tosta Rústica Brioche Cereais,240 g,1.89,7.88,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B76BD443E4B5A4DA130B1CE750DDB354.jpg,,,,,,2026-03-11T23:59:59Z,PROSPECTUS,16,6,
50389,8445290351401,,Nescafé,"Cápsulas café sical intensidade 7, 30 unidades",,10.49,10.49,30,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1FD786A7E143BB9E177424D49D5ABF95.jpg,,,,,,2026-03-11T23:59:59Z,PROSPECTUS,16,6,
50500,5601217134981,500.0,Vanish,"Aditivo tira nódoas spray nódoas dia-a-dia, 500 ml",,3.99,7.98,500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/77F5862CE52D144666F18B51D6C135F6.jpg,,,,,,2026-03-18T23:59:59Z,PROSPECTUS,16,6,
50630,5603722521461,1208.0,Mimosa,"Iogurte magro liquido de ananas e manga, 8x151ml",,2.99,2.48,1208,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/391469C60827762112BDD90CD5A7ACC1.jpg,,,,,,2026-03-11T23:59:59Z,PROSPECTUS,16,6,
50949,8410104898298,750.0,Vanish,"Tira nódoas spray desengordurante, 750 ml",,4.49,5.99,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/30BFC1FBF59084C87DB41E232C17BF7C.jpg,,,,,,2026-03-18T23:59:59Z,PROSPECTUS,16,6,
5095,5601050026405,300.0,Danone,"Queijinho dadoninho petitdino de morango, embalagem de 6 x 50g",,1.99,6.63,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/285FD05A8135D405134AF6FB325A781F.jpg,,,,,,2026-03-11T23:59:59Z,PROSPECTUS,16,6,
