identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,avantages_dateFin,avantages_categorie,nro_paginas,page
49228,5604260324903,,PorSi,Caixa 2 em 1 vidro retangular,,3.99,3.99,1,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6D0D31AD9016E4CF316E4B560BF1B70A.jpg,,,,2025-01-22T23:59:59.999999999Z,PROSPECTUS,11,1
49229,5604260324910,,PorSi,"Caixa 2 em 1 vidro retangular, capacidade 800 ml",,4.99,4.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6504EFDAADEA0BD242656B23F79D953E.jpg,,,,2025-01-22T23:59:59.999999999Z,PROSPECTUS,11,1
49230,5604260324927,,PorSi,"Caixa 2 em 1 vidro retangular, capacidade 1.5 l",,5.99,5.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/ECF1648EE21E24CCF20A2092D19235A8.jpg,,,,2025-01-22T23:59:59.999999999Z,PROSPECTUS,11,1
49231,5604260324934,,PorSi,Caixa 2 em 1 vidro quadrada,380ml,3.99,3.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7D424B264B1D45F97F2761D48B0C851A.jpg,,,,2025-01-22T23:59:59.999999999Z,PROSPECTUS,11,1
49232,5604260324941,,PorSi,"Caixa 2 em 1 vidro quadrada, capacidade 800 ml",,4.99,4.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2F37CD2BEB8775DA33FF714F283A4047.jpg,,,,2025-01-22T23:59:59.999999999Z,PROSPECTUS,11,1
49233,5604260324958,,PorSi,"Caixa 2 em 1 vidro quadrada, capacidade 1.4 l",,5.99,5.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AD53EB3B653BDBCE3C7A27970EA45381.jpg,,,,2025-01-22T23:59:59.999999999Z,PROSPECTUS,11,1
251,2696001000000,400.0,Padaria,Baguete,400 g,0.79,1.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/42C2E126B9E5B84C243F0668DEC3869F.jpg,,,,2025-01-22T23:59:59.999999999Z,PROSPECTUS,11,1
300,0011210000889,60.0,Tabasco,Molho picante,Garrafa de 60 ml,2.37,39.5,60,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/513E7907BD2D93422664E790FE0A1850.jpg,,,,2025-01-22T23:59:59.999999999Z,PROSPECTUS,11,1
399,8712566365135,30.0,Lipton,"20 saquetas infusão de cidreira e mel, embalagem de 30g",,2.09,69.67,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/907015B388C6BBA95E1B6703BC1CA389.jpg,,,,2025-01-22T23:59:59.999999999Z,PROSPECTUS,11,1
433,8722700086703,80.0,Knorr,"Caldo para arroz 8 cubos, embalagem de 80g",,1.49,18.63,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/86EF0F3A35369BBBB925F997B7F539F0.jpg,,,,2025-01-22T23:59:59.999999999Z,PROSPECTUS,11,1
