identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,avantages_dateFin,avantages_categorie,nro_paginas,page,images_3
47109,7613287218704,110.0,Nestlé,Bolsitas de puré de 4 frutas,Embalagem de 110g,0.84,7.64,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AAE972318DF3C7B29E7A2F9B4E66DEFB.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
5521,5601692071214,1000.0,Bom sucesso,Arroz agulha,Embalagem de 1 kg,1.34,1.34,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/67549B74E1964578541F2476DCA87536.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
6361,8410108088886,,Evax,"Pensos diários salva slip, maxi",72 unidades,3.74,3.74,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/04C43DF34CCFC7ECACB2FD78623C223E.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
1165,5601089080638,20.0,Boca Doce,Pudim morango,Embalagem de 20g,0.47,23.5,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/288A6DAD6E5E135036AEEDCA36F5A498.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
1327,5601164115606,1000.0,Super Bock,Cerveja com álcool,Garrafa de 1 l,1.59,1.59,1000,L,€/L,,1000 Artigos,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FC11CF1C46007F0CF2F97506679F884C.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
14346,3387390406849,150.0,Nestlé,Barras cereais chocapic,Embalagem de 150g,2.99,19.93,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/62C7C838E38BFF97731D8D005E4F2D59.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
1453,5601286207579,500.0,Milaneza,Massa para lasanha com ovo,Embalagem de 500g,1.93,3.86,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C99977C7BDC0B6A99195DC697FD6F8DE.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
18619,5014328054756,32.0,Tetley,Chá de frutos vermelhos,Embalagem de 30g,1.84,57.5,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C5BC5DEA999699289F39F909DAD82BA7.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
25397,8426617014032,90.0,Haribo,Gomas favoritos açúcar,Embalagem de 90g,1.04,11.56,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CB2D3A429B70394C527322D309B14285.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
8808,5601252107094,250.0,Gallo,Vinagre vinho branco,Garrafa 250ML,1.19,4.76,250,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/86233C156105BC4DB5DB2B825F1FC1C0.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
