identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,avantages_dateFin,avantages_categorie,nro_paginas,page
6037,5606215050011,750.0,Raposeira,Espumante meio seco reserva,Garrafa de 0.75 l,6.99,9.32,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/044941B59EA88601A39BA3F3C187937B.jpg,,,,2024-12-31T23:59:59.999999999Z,PROSPECTUS,8,1
35499,5601151973769,3500.0,Sumol,"Refrigerante com gás de laranja, 2 x 1.75 l",,2.78,0.79,3500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/15C97042A71F49C362C4C213EA28900F.jpg,,,,2024-12-31T23:59:59.999999999Z,PROSPECTUS,8,1
10910,3250390010586,250.0,Páturages,Queijo camembert 45% mg,Embalagem de 250 g,1.89,7.56,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7C9F5B55F7320E544E58C79F8FBB96B2.jpg,,,,2024-12-31T23:59:59.999999999Z,PROSPECTUS,8,1
14708,5601244202332,250.0,Terra Nostra,"Manteiga com sal, embalagem de 250g",,2.09,8.36,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/65FCB78A5FF812302D26BA88AD727400.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9D76B5CC4F670644A71C1CF49788751C.jpg,,,2024-12-31T23:59:59.999999999Z,PROSPECTUS,8,1
4687,5000116105212,375.0,Iglo,"Ervilhas, embalagem de 375g",,1.89,5.04,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6C528FEBBEDC5462386A3AB117EEBFD4.jpg,,,,2024-12-31T23:59:59.999999999Z,PROSPECTUS,8,1
958,5601019012401,500.0,Guloso,Polpa de Tomate,Embalagem de 500g,1.09,2.18,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0CE0E0ED1941D8AA40077B3BCCD426E3.jpg,,,,2024-12-31T23:59:59.999999999Z,PROSPECTUS,8,1
17265,2696109000000,600.0,Pastelaria,Galette de Rois,600g,5.99,9.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C67BA4CDA8508BEF0A5304015C5BF4C3.jpg,,,,2024-12-31T23:59:59.999999999Z,PROSPECTUS,8,1
20515,5601096360303,750.0,Casal Garcia,"Sangria, garrafa de 750 ml",,3.29,4.39,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2685A58747E25C1B63F2722E6C34D915.jpg,,,,2024-12-31T23:59:59.999999999Z,PROSPECTUS,8,1
32158,4015400917328,480.0,Fairy,"Detergente Liquido da Loiça Limão, 480 ml",,2.99,6.23,480,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4E2BD689329F214554584573973F36ED.jpg,,,,2024-12-31T23:59:59.999999999Z,PROSPECTUS,8,1
53469,5601028019941,,Renova,Rolo Cozinha Máxima Absorção Extra XXL,Embalagem de 2 unidades,1.98,1.98,2,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F4A90C9D477EA88B96B77E4FB64FF1F5.jpg,,,,2024-12-31T23:59:59.999999999Z,PROSPECTUS,8,1
15489,7613031884247,4000.0,Friskies,"Ração para gato adulto com vaca, frango, embalagem de 4kg",,10.79,2.7,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AA74DE430E0D577781082E763F8D5C13.jpg,,,,2024-12-31T23:59:59.999999999Z,PROSPECTUS,8,1
31908,8001090134226,,Dodot,Toalhita Azul,Embalagem de 64 un.,0.99,0.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7D0CA6E791B9424075D8EFACDC32D2FC.jpg,,,,2024-12-31T23:59:59.999999999Z,PROSPECTUS,8,1
37443,7613037040869,250.0,Nestum,"Nestum zero espelta/aveia, embalagem de 250g",,2.14,8.56,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BF80E2BF1A95765256612BEC5A65D8DD.jpg,,,,2024-12-31T23:59:59.999999999Z,PROSPECTUS,8,1
10669,8714789703046,360.0,Palmolive,"Sabonete sensitive, 4x90 g",,3.59,9.97,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8140413D2E9C838D4EEF2E30218B12BC.jpg,,,,2024-12-31T23:59:59.999999999Z,PROSPECTUS,8,1
12906,2892001000000,100.0,Fruta,Clementinas,1 un = 100 gr (aprox.),0.16,1.59,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/91DC72E142D597026B000E92136FFB70.jpg,,,,2024-12-31T23:59:59.999999999Z,PROSPECTUS,8,1
2778,8410168399939,4000.0,Friskies,"Ração para gato adulto com coelho, embalagem de 4 kg",,10.79,2.7,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/48E426D2CA0EFD97E75332E6A0553A7B.jpg,,,,2024-12-31T23:59:59.999999999Z,PROSPECTUS,8,1
12978,2892462000000,400.0,Legumes,Alface Frisada,1 un= 400 g (aprox.),0.68,1.69,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/11753DE36CD8D1B450ED5A40B08A088C.jpg,,,,2024-12-31T23:59:59.999999999Z,PROSPECTUS,8,1
42152,5604260309009,200.0,PorSi,Tiras de bacon fumado,Embalagem de 2 x 100 g,2.19,10.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/370FF2BC2013B8923987037050A2F519.jpg,,,,2024-12-31T23:59:59.999999999Z,PROSPECTUS,8,1
12994,2892524000000,100.0,Legumes,Cenoura Granel,1 un = 100 gr (aprox.),0.09,0.89,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5AEDEF3ED6ABEF24EACEE9C46AA7916F.jpg,,,,2024-12-31T23:59:59.999999999Z,PROSPECTUS,8,1
13897,2891053000000,1000.0,Porco,Lombo sem Osso,Vendido ao peso a partir de 1 kg,4.99,4.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/415564DA70574ED3C1D7475F1F28BDB6.jpg,,,,2024-12-31T23:59:59.999999999Z,PROSPECTUS,8,1
13954,2891192000000,500.0,Porco,Tiras da Costela/Piano,1 un = 500 gr (aprox.),3.0,5.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7D0B09E93398DFB0B31D06D5AFBD6B99.jpg,,,,2024-12-31T23:59:59.999999999Z,PROSPECTUS,8,1
