identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,images_5,images_6,images_7,avantages_dateFin,avantages_categorie,nro_paginas,page
24921,5604260281855,500.0,PorSi,Massa Espirais Tricolores 500G,,0.79,1.58,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5CE58905BD4CA1FD470803CD9B488D04.jpg,,,,,,,,2025-09-17T23:59:59+01:00,PROSPECTUS,16,1
2606,7622300744663,220.0,Oreo,Bolachas,Embalagem de 220g,1.94,8.82,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/887988ED237E8832E3CE94BB605D9B21.jpg,,,,,,,,2025-09-17T23:59:59+01:00,PROSPECTUS,16,1
16105,5601146703463,7500.0,Sagres,"Cerveja com álcool, pack 30 x 0.25 l",,13.85,1.85,7500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/03A5259A936839E6AA1FD95014E0E2CF.jpg,,,,,,,,2025-09-17T23:59:59+01:00,PROSPECTUS,16,1
43213,5603722519789,,Castelões,"Queijo cura especial barrado pimentão, 500 g",,6.29,6.29,1,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7F9659307338C4018D4890FC3B81F84B.jpg,,,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,16,1
13866,2891048000000,1000.0,Porco,Bifanas,Vendido ao peso a partir de 1 kg,4.69,4.69,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/72DE0DA6B485199AC995C629E3E4D279.jpg,,,,,,,,2025-09-17T23:59:59+01:00,PROSPECTUS,16,1
54321,8718951477957,100.0,Colgate,"Pasta De Dentes Tripla Ação, 100ml",,2.14,21.4,100,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/314A8AD6D21192FE5E061EE56C598725.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9ADDEB220D16C8DAE54C517CBC09DC55.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9ADDEB220D16C8DAE54C517CBC09DC55.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9ADDEB220D16C8DAE54C517CBC09DC55.jpg,,,,,2025-09-17T23:59:59+01:00,PROSPECTUS,16,1
13048,2893561000000,250.0,Marisco,Ameijoa Branca Vietnamita Congelada,Vendido a partir de 250 gr  (aprox.),0.5,1.99,0,,€/Kg,,Avantages !,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EB1BC296FF41180E6F3E1626AD4F78AA.jpg,,,,,,,,2025-09-17T23:59:59+01:00,PROSPECTUS,16,1
14038,2696013000000,80.0,Padaria,Bola mistura,1 unidade= 80 g,0.19,2.38,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/509539D5119FE663643D444B9A3F9D6A.jpg,,,,,,,,2025-09-17T23:59:59+01:00,PROSPECTUS,16,1
23524,5000204922851,750.0,Pato,"Líquido sanitário extra power, marinho, 750 ml",,1.69,2.25,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/60268FF4016AF8FBA52DB6A9A88D181B.jpg,,,,,,,,2025-09-17T23:59:59+01:00,PROSPECTUS,16,1
13833,2892579000000,300.0,Legumes,Pepino,1 un = 300 gr  (aprox.),0.45,1.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BD2734BFC4704D52A466FC85B929304E.jpg,,,,,,,,2025-09-17T23:59:59+01:00,PROSPECTUS,16,1
4987,5601012115505,750.0,Planalto,"Vinho doc douro branco, garrafa de 0.75 l",,4.09,5.45,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D4AD0E54C5A44C41C52E5EE1F77D08EB.jpg,,,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,16,1
25750,7613034596437,3000.0,Friskies,Ração para cão mini menu com vaca,Embalagem de 3 kg,8.44,2.81,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2296B11775F67113EEF61FB151567C52.jpg,,,,,,,,2025-09-17T23:59:59+01:00,PROSPECTUS,16,1
2466,7613032142599,500.0,Cerelac,Farinha láctea 12 meses,Embalagem de 500g,3.74,7.48,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4E708CAF1A60A052407E76B7A92102F7.jpg,,,,,,,,2025-09-17T23:59:59+01:00,PROSPECTUS,16,1
33152,5601217130259,,Vanish,"Toalhitas gold, 16 unidades",,5.99,5.99,16,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2C4F47781D82CE8A2AF6BD52732E744E.jpg,,,,,,,,2025-09-17T23:59:59+01:00,PROSPECTUS,16,1
1480,5601314000073,9000.0,Vitalis,"Água mineral sem gás, pack 6 x 1.5 l",,2.69,0.3,9000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DA3E69EB6FBF3CE3F3256CE592DB9A52.jpg,,,,,,,,2025-09-17T23:59:59+01:00,PROSPECTUS,16,1
46824,5603722518270,720.0,Mimosa,"Iogurte magro aroma multi sabores de morango/coco, 6x120g",,1.99,2.76,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C1F13564A32ADE4727C9B834FE2B8090.jpg,,,,,,,,2025-09-17T23:59:59+01:00,PROSPECTUS,16,1
51607,8718951472846,400.0,Colgate,Elixir Cuidado das Gengivas PerioGard,400 ml,4.84,12.1,400,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4FEC2183E1AC0E3EB4E96AF1F412B444.jpg,,,,,,,,2025-09-17T23:59:59+01:00,PROSPECTUS,16,1
21745,7613035659728,250.0,Cerelac,Papa infantil não láctea multicereais +6 meses,Embalagem de 250g,2.39,9.56,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/90667A298E4003D9445C62EE2E028371.jpg,,,,,,,,2025-09-17T23:59:59+01:00,PROSPECTUS,16,1
15687,5000116109234,700.0,Iglo,"Ervilhas, embalagem de 700g",,3.39,4.84,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AC9F197DD289CE6E6A9903FC824FDD75.jpg,,,,,,,,2025-09-17T23:59:59+01:00,PROSPECTUS,16,1
10095,8435257040899,640.0,Nestlé,"Iogurte líquido yoggi morango, embalagem de 4 x 160g",,1.99,3.11,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BCBB1C4518CDF8045B46EB41CD173E54.jpg,,,,,,,,2025-09-17T23:59:59+01:00,PROSPECTUS,16,1
53237,8445290299215,340.0,Purina One,"Comida Húmida para Cão Mini Controlo Peso, 4 x 85g",,2.24,6.59,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/40D134D7CE22BE39C26A49915801BF86.jpg,,,,,,,,2025-09-17T23:59:59+01:00,PROSPECTUS,16,1
12888,2892090000000,500.0,Fruta,Manga Avião,1 un=500 gr (aprox.),2.0,3.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A3E5B8447376E0E91C2C4BB7B1444B76.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/842EA0C904154D230A3A6F63A245D264.jpg,,,,,,,2025-09-17T23:59:59+01:00,PROSPECTUS,16,1
