identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,images_5,images_6,images_7,avantages_dateFin,avantages_categorie,nro_paginas,page
54632,5603722523045,1000.0,Gresso,"Leite UHT Meio Gordo, 1L",,0.85,0.85,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/ECF816693AC2579C9FB595FD8ABD96D7.jpg,,,,,,,,2026-01-07T23:59:59Z,PROSPECTUS,12,1
29438,5601082040233,55.0,Delta Q,Cápsulas de café epiq,Embalagem de 60g,2.99,54.36,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D35434D32FE859705541AF26F67B5F90.jpg,,,,,,,,2026-01-07T23:59:59Z,PROSPECTUS,12,1
19022,5603722509742,800.0,Agros,"Leite com chocolate, embalagem de 4 x 200 ml",,1.49,1.86,800,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/86A34AF1051A1750347A4FF58912A923.jpg,,,,,,,,2026-01-07T23:59:59Z,PROSPECTUS,12,1
1426,5601255312112,1000.0,Caçarola,"Arroz Carolino, emb. 1 kg",,1.09,1.09,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/947C9C91099FF9E267C19F6B97A6C031.jpg,,,,,,,,2026-01-07T23:59:59Z,PROSPECTUS,12,1
979,5601024134471,750.0,Oliveira da Serra,Azeite Virgem,Embalagem de 750 ml,3.79,5.05,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E26F25C9E42D7D1738A837046251B635.jpg,,,,,,,,2026-01-07T23:59:59Z,PROSPECTUS,12,1
49460,7613287300362,99.0,Nescafé,Café Buondi Intensidade 8,16 cápsulas,4.89,49.39,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E4BCDB4A1998B45DA9767B093A961A1E.jpg,,,,,,,,2026-01-07T23:59:59Z,PROSPECTUS,12,1
1451,5601286201782,500.0,Milaneza,"Massa esparguete, embalagem de 500g",,0.79,1.58,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FF90DF8806B7F52F8AD5ECEED9AAA2FA.jpg,,,,,,,,2026-01-07T23:59:59Z,PROSPECTUS,12,1
57633,8445291831889,,Nescafé,"Cápsulas de Café Expresso Buondi Robusto Int 12, emb. 16 un.",,4.89,4.89,16,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C96B262D002C4024FAA4A0EF54822550.jpg,,,,,,,,2026-01-07T23:59:59Z,PROSPECTUS,12,1
50377,8445290351357,,Nescafé,"Cápsulas de Café Sical Int 7, emb. 16 un",,4.89,4.89,16,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/44FD43160B41B883D60D056B524E6B93.jpg,,,,,,,,2026-01-07T23:59:59Z,PROSPECTUS,12,1
1142,5601082026954,55.0,Delta Q,Café em cápsulas  qonvictus,Embalagem de 55 g,2.99,54.36,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2BCCE3D035FB6F5D7FC434FDA25E120B.jpg,,,,,,,,2026-01-07T23:59:59Z,PROSPECTUS,12,1
