identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,avantages_dateFin,avantages_categorie,images_0,images_1,images_2,images_3,pictogrammes_libelleCategorie,nro_paginas,page,pictogrammes_0,images_4,images_5
857,5010394984584,180.0,Pedigree,Snacks Cão Dentastix Pedigree,Embalagem de 180 g,2.55,14.17,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/77139CE32A7F5B8153D3D20C1CE397FE.jpg,,,,,13,1,,,
858,5010394984669,200.0,Whiskas,Leite para gatos,Garrafa de 200 ml,1.94,9.7,200,L,€/L,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/75BBA2783EC432AF7D44E46BF1F3211F.jpg,,,,,13,1,,,
862,5010394997461,70.0,Pedigree,Guloseima para cão rodeo,Embalagem de 70g,1.64,23.43,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6009D231E426C6E17B47FD860C0D3864.jpg,,,,,13,1,,,
865,5014328028740,16.0,Tetley,Infusão de frutos vermelhos,Embalagem de 20g,1.19,74.38,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/781EBB6A7EF96D7BE9937F977C0554CF.jpg,,,,,13,1,,,
871,5014328080892,30.0,Tetley,Infusão de cidreira,"Embalagem de 20 unidades, 30 g",1.48,49.33,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6A10216F1C303558132F04FBD5C4B7ED.jpg,,,,,13,1,,,
931,5601001228100,300.0,Nestum,Nestum flocos de cereais com mel,Embalagem de 300g,2.24,7.47,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3533A13BC534891673C8C96375839B78.jpg,,,,,13,1,,,
939,5601001315107,200.0,Nestlé,Mistura solúvel tofina despertar,Embalagem de 200g,2.84,14.2,0,kg,€/Kg,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5CE6D55625AEDC805A15D1C134965D0D.jpg,,,,1000 Artigos,13,1,,,
944,5601001339301,200.0,Nestlé,Mistura solúvel mokambo,Embalagem de 200g,3.99,19.95,0,kg,€/Kg,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A8F3A8EB08BBF4181F15A95334F151A2.jpg,,,,1000 Artigos,13,1,,,
950,5601008100058,125.0,Vieira de Castro,Bolachas de água e sal,Embalagem de 125 g,0.74,5.92,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5BC4A3164BD6082587D987B4AF0BA107.jpg,,,,,13,1,,,
958,5601019012401,500.0,Guloso,Polpa de Tomate,Embalagem de 500g,1.09,2.18,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/20EBC153FCFDA3F6B93B2650D6C60B2B.jpg,,,,,13,1,,,
959,5601019012418,1000.0,Guloso,Polpa de Tomate,Embalagem de 1 kg,1.79,1.79,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3B354CF768C18B28FB1B1316955F339F.jpg,,,,,13,1,,,
962,5601019012517,210.0,Guloso,Passata de Manjericão e Oregãos,Embalagem de 210g,0.74,3.52,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EE291078DA7B0DBA3843A375150D086A.jpg,,,,,13,1,,,
973,5601024105020,1000.0,Fula,Óleo alimentar,Embalagem 1L,2.02,2.02,1000,L,€/L,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/82D3E88293E42CC5B178C569AA9B57E6.jpg,,,,1000 Artigos,13,1,,,
974,5601024105051,3000.0,Fula,Óleo alimentar,Embalagem 3L,5.85,1.95,3000,L,€/L,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E8988831656F5EAF04A94786E82867B7.jpg,,,,1000 Artigos,13,1,,,
978,5601024134136,750.0,Oliveira da Serra,Azeite,Embalagem de 750 ml,5.99,7.99,750,L,€/L,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4618FCD27F27BDBAA8CF1CDC30F2EFF5.jpg,,,,1000 Artigos,13,1,,,
979,5601024134471,750.0,Oliveira da Serra,Azeite Virgem,Embalagem de 750 ml,6.99,9.32,750,L,€/L,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/32A5EFAE1A78DF80856528FEA48BA60C.jpg,,,,1000 Artigos,13,1,,,
980,5601024134488,750.0,Oliveira da Serra,Azeite virgem extra clássico,Embalagem de 750 ml,8.79,11.72,750,L,€/L,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/01EF39EFE8396CC9ACA95DC25E9D3412.jpg,,,,1000 Artigos,13,1,,,
988,5601029003000,120.0,Tenorio,Atum Filete em Azeite,Embalagem de 120 g,2.59,21.58,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9C92AFA72D34F3E4347AC3C5697A1114.jpg,,,,,13,1,,,
994,5601038001400,240.0,Knorr,Caldo de carne 24 cubos,Embalagem de 240g,2.49,10.38,0,kg,€/Kg,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/68A4423296DD6413C068AA54F117A922.jpg,,,,1000 Artigos,13,1,,,
1010,5601038300091,240.0,Knorr,Caldo de galinha 24 cubos,Embalagem de 240g,2.49,10.38,0,kg,€/Kg,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4EAB67797AD4AB1D62B7E64BA0380D8B.jpg,,,,1000 Artigos,13,1,,,
1011,5601043111019,1000.0,Branca de neve,Farinha para bolos fina,Embalagem de 1 kg,1.49,1.49,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1DCCFF4DF3445A90940BB809AEC25931.jpg,,,,,13,1,,,
1162,5601089080607,20.0,Boca Doce,Pudim baunilha,Embalagem de 20g,0.45,22.5,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BA3284B2E68350973B8135419AE564DE.jpg,,,,,13,1,,,
1163,5601089080614,20.0,Boca Doce,Pudim de caramelo,Embalagem de 20g,0.45,22.5,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FA0AE8DD57417DCB8FC83196C791AFF6.jpg,,,,,13,1,,,
1164,5601089080621,20.0,Boca Doce,Pudim de chocolate,Embalagem de 20g,0.45,22.5,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B89ECCAB610493D298FF226A04F99E93.jpg,,,,,13,1,,,
1165,5601089080638,20.0,Boca Doce,Pudim morango,Embalagem de 20g,0.45,22.5,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/288A6DAD6E5E135036AEEDCA36F5A498.jpg,,,,,13,1,,,
1166,5601089080645,20.0,Boca Doce,Pudim de ananás,Embalagem de 20g,0.45,22.5,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C5314CE85044AE695EB3531222FEDC74.jpg,,,,,13,1,,,
