identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,avantages_dateFin,avantages_categorie,nro_paginas,page,images_4,images_5,images_6,images_7
1292,5601151354452,1000.0,Compal,"Néctar vital equilibrio manga e laranja, 1 l",,1.15,1.15,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1F825A70CAB773F623AA6F5B800DE1F4.jpg,,,,2026-02-04T23:59:59Z,PROSPECTUS,17,1,,,,
52920,0000059095842,50.0,Dove,"Desodorizante Roll On Advanced Original, emb. 50 ml",,2.49,49.8,50,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2183AEDEDCEDF4209F45853BE608CFF9.jpg,,,,2026-02-04T23:59:59Z,PROSPECTUS,17,1,,,,
54365,8410104915209,,Finish,"Detergente Loiça Máquina Quantum Limão, 64 Pastilhas",,11.99,11.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D395D7FB7505791938B52E99053AC6D0.jpg,,,,2026-02-04T23:59:59Z,PROSPECTUS,17,1,,,,
540,3222270158428,1500.0,Friskies,"Ração para Gato Adulto de Interior Frango, Peru e Legumes, emb. 1,5 kg","Embalagem de 1,5 kg",5.49,3.66,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CD7C5B2E4322F0515EAC25F0F1ADD782.jpg,,,,2026-02-04T23:59:59Z,PROSPECTUS,17,1,,,,
20202,5601151976456,1000.0,Frize,"Água com gás limão/pepino/gengibre, pack 4 x 0.25 l",,1.99,1.99,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8CC607BECDA933771553297655559077.jpg,,,,2026-02-04T23:59:59Z,PROSPECTUS,17,1,,,,
54632,5603722523045,1000.0,Gresso,"Leite UHT Meio Gordo, 1L",,0.85,0.85,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/ECF816693AC2579C9FB595FD8ABD96D7.jpg,,,,2026-02-04T23:59:59Z,PROSPECTUS,17,1,,,,
11950,5603722495106,200.0,Mimosa,"Nata uht light, embalagem de 200 ml",,0.85,4.25,200,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B134F58E2258EB7BCE2AC1B56CF95546.jpg,,,,2026-02-04T23:59:59Z,PROSPECTUS,17,1,,,,
57203,8720181347245,150.0,Dove,"Desodorizante Spray Powder 48H, emb. 150 ml",,2.49,16.6,150,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/34BBC3C42EE4AC49167522FF526EF4CC.jpg,,,,2026-02-04T23:59:59Z,PROSPECTUS,17,1,,,,
1120,5601066301718,500.0,Nacional,"Massa de espirais, embalagem de 500g",,0.85,1.7,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B50E4B0B2C4856A819A2FF672D887104.jpg,,,,2026-02-04T23:59:59Z,PROSPECTUS,17,1,,,,
54269,4005900422705,750.0,Nivea,"Gel de Banho Care & Relax, 750ml",,4.19,5.59,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C3BE8AF07697936FE0EC46EA396D20AE.jpg,,,,2026-02-04T23:59:59Z,PROSPECTUS,17,1,,,,
44271,8000500179864,600.0,Nutella,"Creme para barrar de avelãs e cacau, embalagem de 600g",,4.79,7.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/938F7887C6458F9D530A4F7D2690249F.jpg,,,,2026-02-04T23:59:59Z,PROSPECTUS,17,1,,,,
980,5601024134488,750.0,Oliveira da Serra,Azeite virgem extra clássico,Embalagem de 750 ml,4.59,6.12,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/01EF39EFE8396CC9ACA95DC25E9D3412.jpg,,,,2026-02-04T23:59:59Z,PROSPECTUS,17,1,,,,
9293,5603722493942,250.0,Primor,Manteiga pasteurizada com sal cuvet,Embalagem de 250g,2.09,8.36,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F3F4D9FDF2A69DC31DE35D801759C2EE.jpg,,,,2026-02-04T23:59:59Z,PROSPECTUS,17,1,,,,
5032,5601028009164,,Renova,Papel Higiénico Super Folha Dupla,Embalagem 48 Unidades,8.99,8.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DAC7C97D0E281172DFC4FCEA24E5A707.jpg,,,,2026-02-04T23:59:59Z,PROSPECTUS,17,1,,,,
