identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,avantages_dateFin,avantages_categorie,nro_paginas,page,images_4,images_5
13914,2891225000000,350.0,Frango,Perna com Costa,1 un. = 300 g (aprox.),0.98,2.79,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D1297D1CD095629263E582A65B4C3857.jpg,,,,2025-12-17T23:59:59Z,PROSPECTUS,14,1,,
49463,8445290250322,600.0,Nestum,Flocos Cereais Mel,Embalagem de 600g,3.79,6.32,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4A0A62606AC144021ED115E1FAB3D0CE.jpg,,,,2025-12-17T23:59:59Z,PROSPECTUS,14,1,,
24838,5601164903722,7500.0,Super Bock,"Cerveja com Álcool Mini, emb. 30 x 25 cl",,14.95,1.99,7500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F70F225DD8BCAD2EFB4E63DAAFD05BBF.jpg,,,,2025-12-17T23:59:59Z,PROSPECTUS,14,1,,
8383,5601049132995,1000.0,Mimosa,"Leite uht meio gordo, embalagem de 1litro",,0.9,0.9,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6FB52C843F677BD37D399D45BB10B38B.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AE810093A08CEBD60415DCC626CF5804.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A0562293538F541B1B99592AA046327B.jpg,,2025-12-17T23:59:59Z,PROSPECTUS,14,1,,
54321,8718951477957,100.0,Colgate,"Pasta De Dentes Tripla Ação, 100ml",,2.14,21.4,100,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/314A8AD6D21192FE5E061EE56C598725.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9ADDEB220D16C8DAE54C517CBC09DC55.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9ADDEB220D16C8DAE54C517CBC09DC55.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9ADDEB220D16C8DAE54C517CBC09DC55.jpg,2025-12-17T23:59:59Z,PROSPECTUS,14,1,,
13048,2893561000000,250.0,Marisco,Ameijoa Branca Vietnamita Congelada,Vendido a partir de 250 gr  (aprox.),0.5,1.99,0,,€/Kg,,Avantages !,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EB1BC296FF41180E6F3E1626AD4F78AA.jpg,,,,2025-12-17T23:59:59Z,PROSPECTUS,14,1,,
251,2696001000000,400.0,Padaria,Baguete,400 g,0.79,1.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/42C2E126B9E5B84C243F0668DEC3869F.jpg,,,,2025-12-17T23:59:59Z,PROSPECTUS,14,1,,
54538,8006540763582,,Fairy,"Detergente Máquina Loiça Pastilhas Original Tudo em 1 Limão, 71D",,12.99,12.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/937EB01E1BF93392425BD6CC2ABF2650.jpg,,,,2025-12-17T23:59:59Z,PROSPECTUS,14,1,,
12906,2892001000000,100.0,Fruta,Clementinas,1 un = 100 gr (aprox.),0.2,1.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/91DC72E142D597026B000E92136FFB70.jpg,,,,2025-12-17T23:59:59Z,PROSPECTUS,14,1,,
10057,8410036800512,750.0,Freixenet,"Espumante cava meio seco reserva, garrafa de 750 ml",,6.99,9.32,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/595A72B091587557F63E6DF8F5C0E8F8.jpg,,,,2025-12-24T23:59:59Z,PROSPECTUS,14,1,,
2474,7613032408602,85.0,Purina Gourmet,"Comida húmida para gato vaca e frango, embalagem de 90g",,0.87,10.24,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/571C1A9D6D5EE4C101463565EC0CDDDE.jpg,,,,2025-12-17T23:59:59Z,PROSPECTUS,14,1,,
27547,7613036101417,240.0,Cerelac,"Papa Infantil Láctea Aveia, Manga e Banana Seleção da Natureza +6M, emb. 240 gr",Embalagem de 240g,2.99,12.46,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9A1D77EE17F24474E65CF475B4161F9F.jpg,,,,2025-12-17T23:59:59Z,PROSPECTUS,14,1,,
29738,8410436324533,1300.0,Sonasol,"Lava Tudo Flores Montanha, 1.3 l",,2.24,1.72,1300,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/13FBFB2C777E7C44B0340328520A2D41.jpg,,,,2025-12-17T23:59:59Z,PROSPECTUS,14,1,,
1322,5601163011114,5400.0,Luso,"Água sem gás, garrafa de 5,4 l",,1.59,0.29,5400,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AA9320932FF184911C32006B7463EC74.jpg,,,,2025-12-17T23:59:59Z,PROSPECTUS,14,1,,
35138,5603722517655,960.0,Mimosa,"Iogurte sólido aroma morango, ananás e banana, 8 x 120 g",,1.89,1.97,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7070B93AC2DB23DCF61734D801E40E6D.jpg,,,,2025-12-17T23:59:59Z,PROSPECTUS,14,1,,
6398,8410372182303,75.0,Colgate,"Dentifríco flúor gel, embalagem de 75 ml",,2.49,33.2,75,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3F011A79E5A34E1D47A1369D50D1C53B.jpg,,,,2025-12-17T23:59:59Z,PROSPECTUS,14,1,,
37799,7613037096828,240.0,Cerelac,"Papa Infantil Láctea Aveia e Centeio Seleção da Natureza +6M, emb. 240 gr",Embalagem de 240 g,2.99,12.46,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/196E9C25A91135A06C0EF78AB5B82C2A.jpg,,,,2025-12-17T23:59:59Z,PROSPECTUS,14,1,,
10094,8435257040776,640.0,Nestlé,"Iogurte líquido yoggi banana, embalagem de 4 x 160 g",,1.99,3.11,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6885FCEF2FEF4752D565E64A3BDEE242.jpg,,,,2025-12-17T23:59:59Z,PROSPECTUS,14,1,,
32076,7613036496353,340.0,Purina One,"Comida Húmida para Gato Adulto Esterilizado Salmão e Peru Saquetas, emb. 4 x 85 gr",,2.59,7.62,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3F5C404D1E0ED04E5681C0681EDCBF4A.jpg,,,,2025-12-17T23:59:59Z,PROSPECTUS,14,1,,
29899,2696008000000,,Padaria,Bola Rústica,85 g,0.27,0.27,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/06C705452DA793A390CC49C0690F6BDD.jpg,,,,2025-12-17T23:59:59Z,PROSPECTUS,14,1,,
13821,2892597000000,200.0,Legumes,Tomate Cacho,1 un = 200 gr (aprox.),0.3,1.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FD67F77AFAB450B6A4FA38E0279E6686.jpg,,,,2025-12-17T23:59:59Z,PROSPECTUS,14,1,,
52776,5604260331031,750.0,Selecção de Enófilos,"Vinho Tinto DOC Palmela Castelão, 75cl",,3.39,4.52,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1D0019BFED13ADC5C42B277D302BDE4E.jpg,,,,2025-12-24T23:59:59Z,PROSPECTUS,14,1,,
13934,2891062000000,250.0,Porco,Rojões,1 un = 250 gr  (aprox.),1.0,3.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/925F2FDC1F925A7FD71EE6165315B22E.jpg,,,,2025-12-17T23:59:59Z,PROSPECTUS,14,1,,
13897,2891053000000,1000.0,Porco,Lombo sem Osso,Vendido ao peso a partir de 1 kg,4.49,4.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/415564DA70574ED3C1D7475F1F28BDB6.jpg,,,,2025-12-17T23:59:59Z,PROSPECTUS,14,1,,
46714,5604260318742,,PorSi,Papel Higiénico Branco 3 Folhas 12 Rolos,,3.79,3.79,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/302F6B4FE48393BA7E5D666ED55E249B.jpg,,,,2025-12-17T23:59:59Z,PROSPECTUS,14,1,,
13781,2892323000000,250.0,Fruta,Uva Red Globe,1 un = 250 gr  (aprox.),0.72,2.89,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0CB9D5C0FE47F5D642EA2D42574AAC35.jpg,,,,2025-12-17T23:59:59Z,PROSPECTUS,14,1,,
24921,5604260281855,500.0,PorSi,Massa Espirais Tricolores 500g,,0.79,1.58,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5CE58905BD4CA1FD470803CD9B488D04.jpg,,,,2025-12-17T23:59:59Z,PROSPECTUS,14,1,,
17272,2891375000000,800.0,Novilho,Carne p/ Estufar,Vendido ao peso a partir de 800 g,9.43,11.79,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/74A9E71258207F3FD300DB35B0F5BB18.jpg,,,,2025-12-17T23:59:59Z,PROSPECTUS,14,1,,
1451,5601286201782,500.0,Milaneza,"Massa esparguete, embalagem de 500g",,0.88,1.76,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FF90DF8806B7F52F8AD5ECEED9AAA2FA.jpg,,,,2025-12-17T23:59:59Z,PROSPECTUS,14,1,,
