identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,avantages_dateFin,avantages_categorie,images_0,images_1,images_2,nro_paginas,page,images_3,images_4,images_5
1120,5601066301718,500.0,Nacional,Massa de espirais,Embalagem de 500g,0.93,1.86,0,kg,€/Kg,,,2024-08-07T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/53CA28E35AF8AD40FCE8516799A2B51B.jpg,,,12,1,,,
8383,5601049132995,1000.0,Mimosa,Leite uht meio gordo,Embalagem de 1 litro,0.86,0.86,1000,L,€/L,,,2024-08-07T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/30AE72C16512D7F6E9C8B5E7CBD4B0A2.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AE810093A08CEBD60415DCC626CF5804.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A0562293538F541B1B99592AA046327B.jpg,12,1,,,
30958,5449000957955,3500.0,Coca-Cola,Coca-cola zero,pack 2 x 1.75 l,3.14,0.9,3500,L,€/L,,,2024-08-07T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9B5373624D44366A3ACEBCD7C73191EB.jpg,,,12,1,,,
13865,2891042000000,1000.0,Porco,Costeletas do Cachaço,Vendido ao peso a partir de 1 kg,4.98,4.98,0,,€/Kg,,,2024-08-07T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9CC30521C194F3CF0E71F32C6E004880.jpg,,,12,1,,,
26047,8412600070994,650.0,Bimbo,Pão de forma s/ côdea,Embalagem de 650 g,2.09,3.22,0,kg,€/Kg,,,2024-08-07T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/998967574B383CCF8D49F03316F06108.jpg,,,12,1,,,
12972,2892040000000,1000.0,Fruta,Banana,1 un = 200 gr (aprox.),1.09,1.09,0,,€/Kg,,,2024-08-07T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C368220872795E9863F1F37C2230CCEA.jpg,,,12,1,,,
46216,5603722519925,480.0,Mimosa,"Iogurte batido magro com mirtilos sem lactose, 4 x 120 g",,1.69,3.52,0,kg,€/Kg,,,2024-08-07T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BB82BE081E1283797B43170E5EC56176.jpg,,,12,1,,,
11640,5601180000993,1000.0,Vigor,Leite pasteurizado gordo,Garrafa de 1 l,0.98,0.98,1000,L,€/L,,,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D35A2632D9FCF31B32BD4205099C2552.jpg,,,12,1,,,
18426,3600541887817,400.0,Ultra Suave,Champô Delicias de Aveia,Embalagem de 400 ml,3.79,9.48,400,L,€/L,,,2024-08-07T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6E178A060EBA624F1168DFA6C596E4DF.jpg,,,12,1,,,
18628,5601028002707,,Renova,Rolo de Cozinha Multi,4 Rolos,1.49,1.49,0,,€/Unidade,,,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EC28E7C70040AEF56E88826756B8374D.jpg,,,12,1,,,
36282,5602016061096,750.0,Cacho Fresco,Vinho branco frisante,Garrafa de 0.75 l,1.64,2.19,750,L,€/L,,,2024-08-07T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5A84D9FCFD5D8797917DBD1BC3DA5748.jpg,,,12,1,,,
25539,7613035799837,3000.0,Friskies,Ração para gato esterilizado com peru,Embalagem de 3 kg,8.74,2.91,0,kg,€/Kg,,,2024-08-07T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E82B69BA777EE2BE9204C639DD18E36B.jpg,,,12,1,,,
1677,5602711001311,1000.0,Rar,Açúcar granulado embalado em papel,Embalagem de 1 kg,1.59,1.59,0,kg,€/Kg,,,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F8294E745C95C50AD875621A802EA691.jpg,,,12,1,,,
15687,5000116109234,700.0,Iglo,Ervilhas,Embalagem de 700g,2.98,4.26,0,kg,€/Kg,,Tipo de stockagem,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/71AD6BFBFF464D2A1A4DF7364A6C0B7A.jpg,,,12,1,,,
10128,8006540836224,,Dodot,Toalhitas Pure 0% Plástico,Embalagem de 48 unidades,1.74,1.74,0,,€/Unidade,,,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/17235F16D1C1F2E1B279ED0493A63896.jpg,,,12,1,,,
31947,5601151973554,1250.0,Seven-up,Refrigerante com Gás Lima Limão Free,"Garrafa de 1,25 l",1.09,0.87,1250,L,€/L,,,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8A720C0899795D87955A54DE55D0D0B2.jpg,,,12,1,,,
13866,2891048000000,1000.0,Porco,Bifanas,Vendido ao peso a partir de 1 kg,4.29,4.29,0,,€/Kg,,,2024-08-07T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C9E276B082B119EFEDC2A2B0E1BC737E.jpg,,,12,1,,,
17953,2696425000000,400.0,Garcia & Filhos,Pão Procorn,1 unidade = 400 g,1.89,4.73,0,kg,€/Kg,,,2024-08-07T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/47090D88AB5B869A85EB657102B1E9EF.jpg,,,12,1,,,
16983,8712100735455,540.0,Olá,Gelado cornetto morango,Embalagem de 6 x 90 ml,3.56,6.59,540,L,€/L,,Tipo de stockagem,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B4DE454FD5CA5C67863F06FFF45366E8.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FF03523E6B925BE3441B0A34A996CA2B.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FF03523E6B925BE3441B0A34A996CA2B.jpg,12,1,,,
12978,2892462000000,400.0,Legumes,Alface Frisada,1 un= 400 g (aprox.),0.48,1.19,0,,€/Kg,,,2024-08-07T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/14C8DBD7827DB992F77D5C5056950123.jpg,,,12,1,,,
