identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,avantages_dateFin,avantages_categorie,nro_paginas,page,images_5,images_6
13914,2891225000000,350.0,Frango,Perna com Costa,1 un. = 300 g (aprox.),0.87,2.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D1297D1CD095629263E582A65B4C3857.jpg,,,,,2025-10-22T23:59:59+01:00,PROSPECTUS,14,1,,
1195,5601119230224,650.0,Nobre,"Salsichas extra suculentas, frasco de 650 g",,2.23,3.43,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F74C2FC7C8B9C0B3ED0E43FFE3B59991.jpg,,,,,2025-10-22T23:59:59+01:00,PROSPECTUS,14,1,,
40976,5604172000353,5000.0,Monchique,"Água mineral natural alcalina, garrafão de 5 l",,1.48,0.3,5000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2BACA310CD77083BBEB3152C5063FFEE.jpg,,,,,2025-10-22T23:59:59+01:00,PROSPECTUS,14,1,,
54321,8718951477957,100.0,Colgate,"Pasta De Dentes Tripla Ação, 100ml",,2.14,21.4,100,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/314A8AD6D21192FE5E061EE56C598725.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9ADDEB220D16C8DAE54C517CBC09DC55.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9ADDEB220D16C8DAE54C517CBC09DC55.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9ADDEB220D16C8DAE54C517CBC09DC55.jpg,,2025-10-22T23:59:59+01:00,PROSPECTUS,14,1,,
13048,2893561000000,250.0,Marisco,Ameijoa Branca Vietnamita Congelada,Vendido a partir de 250 gr  (aprox.),0.5,1.99,0,,€/Kg,,Avantages !,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EB1BC296FF41180E6F3E1626AD4F78AA.jpg,,,,,2025-10-22T23:59:59+01:00,PROSPECTUS,14,1,,
251,2696001000000,400.0,Padaria,Baguete,400 g,0.79,1.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/42C2E126B9E5B84C243F0668DEC3869F.jpg,,,,,2025-10-22T23:59:59+01:00,PROSPECTUS,14,1,,
17207,8006540943687,1800.0,Fairy,Detergente manual de loiça limão,Embalagem de 2 x 900 ml,6.99,3.88,1800,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B2EE328B1B3FB1BA0162E77ED87C40E9.jpg,,,,,2025-10-22T23:59:59+01:00,PROSPECTUS,14,1,,
12906,2892001000000,100.0,Fruta,Clementinas,1 un = 100 gr (aprox.),0.2,1.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/91DC72E142D597026B000E92136FFB70.jpg,,,,,2025-10-22T23:59:59+01:00,PROSPECTUS,14,1,,
18860,3147690060703,700.0,Gibson's,Gin dry,Garrafa de 700 ml,11.49,16.41,700,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EF3EC9468395BE2E5E25F964CCF5DAF7.jpg,,,,,2025-10-22T23:59:59+01:00,PROSPECTUS,14,1,,
15955,7613032408794,85.0,Purina Gourmet,"Comida húmida para gato peixe do oceano, embalagem de 90g",,0.87,10.24,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FEEA8DEA9BB460BB34BF8E0ADF22D62F.jpg,,,,,2025-10-22T23:59:59+01:00,PROSPECTUS,14,1,,
21766,7613035487840,90.0,Nestlé,Fruta para bebé banana laranja bolacha +6 meses,Embalagem de 90g,0.65,7.22,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A8104E7B3738DD14CEF192706B16EFC4.jpg,,,,,2025-10-22T23:59:59+01:00,PROSPECTUS,14,1,,
18628,5601028002707,,Renova,Rolo de Cozinha Multi,4 Rolos,1.49,1.49,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A6A18C9DEB55952EA54214B88A2CC38D.jpg,,,,,2025-10-22T23:59:59+01:00,PROSPECTUS,14,1,,
