identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,images_0,images_1,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise,nro_paginas,page
11532,5601077171140,750.0,Velhotes,"Vinho porto 10 anos, garrafa de 0.75 l",,10.99,14.65,750,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F6F666EFEF9E1700965FBE3C3961E5B8.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
32257,5604260283200,750.0,Selecção de Enófilos,"Vinho Tinto DOC Douro, garrafa de 0,75 l",,6.75,9.0,750,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2AC95947AA1B77468B890BDB38833C69.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
5940,5604260264575,1500.0,Selecção de Enófilos,"Vinho DOC Dão, Tinto","Garrafa de 1,5 L",5.75,3.83,1500,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A3436F9A46CDD6A25239609D1E64F74D.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
7763,4014400901191,250.0,Merci,"Bombons de chocolate merci, embalagem de 250g",,5.99,23.96,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2900B9B4786268814CDC44DE9670597D.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
9371,5604260010202,750.0,Valadão,Porto branco,Garrafa de 750 ml,4.69,6.25,750,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4BBC4211C40FE14ABCDCEB658BDD7994.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
9395,5604260035915,750.0,Valadão,Porto ruby,Garrafa de 750 ml,4.69,6.25,750,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/791D9851ACF537F5749A7B560123E71A.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
26929,8003340073545,200.0,Lindt,"Bombons chocolate leite, embalagem de 200g",,5.99,29.95,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2BB27A8A278BFA5D060C9F86A4AE2E74.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
29082,5410976140122,250.0,Guylian,"Frutos do mar, 250 g",,6.19,24.76,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3C8BEB0B5F241708B6F819F9DEEA51D5.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
49434,5011007020620,700.0,Jameson,"Whisky, garrafa de 700 ml",,16.79,23.99,700,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/14A4A79DAD2FDFF32B41CAEF14072675.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
50946,8003340096506,200.0,Lindt,Bombons Chocolate e Avelã,Embalagem de 200g,5.99,29.95,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BCB72B960323874DA3619D0F94589E7B.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
50947,8003340093147,200.0,Lindt,Bombons Chocolate Branco,Embalagem de 200g,5.99,29.95,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/797EA242C5DF029BD816AFFD167C5C54.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
5320,5601213170693,700.0,Aliança Velha,Aguardente vínica velha,Garrafa de 700 ml,12.59,17.99,700,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/53181AD6CD1353CAFAE1F9A4F3F4D2E4.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
5395,5601262301253,700.0,CRF,Aguardente velha reserva,Garrafa de 700 ml,18.39,26.27,700,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C78F470944FA262CEE4DFEECA35A6870.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
8793,5601237219224,750.0,Quinta da Bacalhôa,Moscatel de Setúbal,Garrafa de 750 ml,4.99,6.65,750,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0BDF1D84474D540E7954AA511DD5CAC9.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
9558,5604260246649,750.0,Selecção de Enófilos,"Vinho doc palmela reserva tinto, garrafa de 0.75 l",,2.49,3.32,750,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C846076C88BBA5897608C733193E8E67.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
9790,5606314012347,700.0,Vila das Rainhas,"Ginja extra com frutos de obidos, garrafa de 700 ml",,14.49,20.7,700,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F9740F520B9E8A27DBB83ED856DC4392.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
17726,5601007000601,1500.0,Esteva,Conjunto Vinho tinto DOC Douro,Conj 2X75 cl,8.99,5.99,1500,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F5519A144EE41C30166FE163E76ED231.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
17749,5601174903026,1500.0,Periquita,Vinho Regional Península Setúbal Tinto,"Caixa de 2x0,75 l",7.99,5.33,1500,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2A6CC4246EA614068372BA90EE75397D.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
17752,5601749003045,750.0,Martha's,Moscatel Pedro Álvares Cabral,Garrafa de 0.75L,17.99,23.99,750,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0A887D81EE1B1C2B8FA9C100DFEF6409.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
18005,5601012011746,1500.0,Trinca Bolotas,Vinho tinto Trinca Bolotas DOC alentejo,2 Garrafa x 0.75L,10.99,7.33,1500,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1E71A9F80E3D34041824C14CFC35650A.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
18007,3147699109601,750.0,Cruz,Vinho do porto lbv 2004,Garrafa de 0.75 l,11.99,15.99,750,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F8B37DC3DB89001E76AC27C6C4AFAACC.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
20242,8410036039295,600.0,Freixenet,"Espumante cava bruto, pack 3 x 200 ml",,9.99,16.65,600,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/97278FF280683297354ABBCBC4BB8AAB.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
20648,5601174305004,750.0,Alambre,"Moscatel roxo setúbal, garrafa de 750 ml",,11.49,15.32,750,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0F031D29405B80D49FF22BA171BE944B.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
21835,8005125171033,,Baby Clementoni,Anéis Empilháveis,1 unidade,12.99,12.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E9DF4E94424184671120BAD70BC60C92.jpg,,2024-12-08T23:59:59.999999999Z,AC,50.0,PCT,STANDARD,2024-12-04T00:00:00Z,99.0,6.495,2,1
21888,4008601100651,250.0,Friedel,Pai Natal Chocolate,Embalagem 60G,1.29,5.16,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4954B620D67DB91C3FBB0997DA7CA97F.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
21910,5607736715410,200.0,Jacquot,Bombons de Chocolate Pérolas Sortido Caixa,Embalagem de 200g,5.99,29.95,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D89155BB98960D147AAEBFC3ECD49A00.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
