identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,avantages_dateFin,avantages_categorie,nro_paginas,page
54374,8435495842798,,A+,"Detergente Máquina Roupa Líquido Fresh Flowers, 56D",,8.49,8.49,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/229F605C57CCF29A5FEDA8CCA020ADD9.jpg,,,,2026-02-18T23:59:59Z,PROSPECTUS,16,1
1011,5601043111019,1000.0,Branca de neve,"Farinha de Trigo Fina com Fermento, emb. 1 kg",,0.97,0.97,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D6747B38ADBB658B352D698D9667A42C.jpg,,,,2026-02-18T23:59:59Z,PROSPECTUS,16,1
54606,8720181466359,720.0,Dove,"Gel de banho hydrate, 720ml",,4.49,6.24,720,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/73576AE98695DDB42CEBA03FBEBB469E.jpg,,,,2026-02-18T23:59:59Z,PROSPECTUS,16,1
54632,5603722523045,1000.0,Gresso,"Leite UHT Meio Gordo, 1L",,0.85,0.85,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/ECF816693AC2579C9FB595FD8ABD96D7.jpg,,,,2026-02-18T23:59:59Z,PROSPECTUS,16,1
18428,3600541888197,400.0,Garnier,Amaciador Ultra Suave Delicadeza de Aveia,Embalagem de 400 ml,3.59,8.98,400,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EEB54D99A81A12744A915743CE2BE7E6.jpg,,,,2026-02-18T23:59:59Z,PROSPECTUS,16,1
18426,3600541887817,400.0,Garnier,Champô Ultra Suave Delicias de Aveia,Embalagem de 400 ml,3.59,8.98,400,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FB3520AB0507187656A408B0D650CF4F.jpg,,,,2026-02-18T23:59:59Z,PROSPECTUS,16,1
27919,3600542140058,400.0,Garnier,Condicionador Ultra Suave Riqueza D'Argão,Embalagem de 400 ml,3.59,8.98,400,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D97F0F83356E9DECA28E7D831AD1F5F5.jpg,,,,2026-02-18T23:59:59Z,PROSPECTUS,16,1
21465,5449000085474,1500.0,Fanta,"Refrigerante com Gás Maracujá sem Açúcar, emb. 1,5 lt",,0.95,0.63,1500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/713F7A2E8FF1504D7580CF5EB99232C0.jpg,,,,2026-02-18T23:59:59Z,PROSPECTUS,16,1
959,5601019012418,1000.0,Guloso,Polpa de Tomate,Embalagem de 1 kg,1.79,1.79,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/287E0DC8A48662DD805F77C3CA0D6A49.jpg,,,,2026-02-18T23:59:59Z,PROSPECTUS,16,1
8994,5601511000012,200.0,Limiano,"Queijo flamengo, fatias, embalagem de 200g",,1.99,9.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/07BB1CEE38CC53EE2C814734D4592DE0.jpg,,,,2026-02-18T23:59:59Z,PROSPECTUS,16,1
8396,5601049614330,250.0,Milhafre,"Manteiga com sal, embalagem de 250g",,2.09,8.36,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8DCB9F2F3B36086D35B7173891ABA268.jpg,,,,2026-02-18T23:59:59Z,PROSPECTUS,16,1
9999,8001480020535,4000.0,Neoblanc,Lixívia Tradicional,Embalagem de 4 l,2.79,0.7,4000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9906959CB147C83320C04CF2C670E38F.jpg,,,,2026-02-18T23:59:59Z,PROSPECTUS,16,1
19415,5601028019798,,Renova,"Rolo de cozinha design xxl, 3 rolos",,1.89,1.89,3,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9A25E60B9B6B556C2D19CB0AC3EE543B.jpg,,,,2026-02-18T23:59:59Z,PROSPECTUS,16,1
16105,5601146703463,7500.0,Sagres,"Cerveja com Álcool Mini, emb. 30 x 25 cl",,13.49,1.8,7500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8AED8878F83EE06034073768C464A0DF.jpg,,,,2026-02-18T23:59:59Z,PROSPECTUS,16,1
