identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,avantages_dateFin,avantages_categorie,nro_paginas,page,images_5,images_6
48426,4005900845702,50.0,Nivea Men,"Desodorizante roll on cool kick, 50 ml",,2.69,53.8,50,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9A906FA410C547B80F0C3BC1C3C86CB6.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
2518,7613033814693,400.0,Nestlé,"Fruta para bebé 7 frutos +6 meses, embalagem de 4 x 100g",,2.24,5.6,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/18CF4010C8E037B64FBADB6A5A35AF8F.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
56082,8711327678194,248.0,Ola,"Gelado Filipinos Stick, 4x62ml",,1.99,8.02,248,L,€/L,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/68B3CA6E1EFE261914DA50409C5109C5.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
31516,8435257039107,1280.0,Nestlé,"Yoggi liquido morango, embalagem de 8x160g",,3.89,3.04,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/919C3780A665F064AD1803A3631A5911.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
14879,2696313000000,,Pastelaria,Croissant Brioche 85 g,,0.59,0.59,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/53A872BBC45BBDDAC9749CC51F8CB1EC.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
13833,2892579000000,300.0,Legumes,Pepino,1 un = 300 gr  (aprox.),0.3,0.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BD2734BFC4704D52A466FC85B929304E.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
4987,5601012115505,750.0,Planalto,"Vinho doc douro branco, garrafa de 0.75 l",,3.99,5.32,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D4AD0E54C5A44C41C52E5EE1F77D08EB.jpg,,,,,2025-06-25T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
24921,5604260281855,500.0,PorSi,Massas espirais tricolores,Embalagem 500G,0.79,1.58,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5CE58905BD4CA1FD470803CD9B488D04.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
12909,2892005000000,250.0,Fruta,Laranja Económica,1 un = 250 gr  (aprox.),0.3,1.19,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/67E13FD34B36BCD37E12339EB836171D.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
8383,5601049132995,1000.0,Mimosa,"Leite uht meio gordo, embalagem de 1litro",,0.9,0.9,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6FB52C843F677BD37D399D45BB10B38B.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AE810093A08CEBD60415DCC626CF5804.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A0562293538F541B1B99592AA046327B.jpg,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
8396,5601049614330,250.0,Milhafre,"Manteiga com sal, embalagem de 250g",,2.19,8.76,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8DCB9F2F3B36086D35B7173891ABA268.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
13950,2891145000000,100.0,Porco,Salsicha Fresca,1 un = 100 gr (aprox.),0.55,5.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2E1CED7EDF010F56C2BF0E6CDF74D52B.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
13837,2891004000000,250.0,Novilho,Bife da Alcatra,1 un = 250 gr (aprox.),3.87,15.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A1261F0753456302B40795580AFBE044.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
13893,2891043000000,1000.0,Porco,Entrecosto,Vendido ao peso a partir de 1 kg,4.99,4.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AA05EE99D302D59771FCC108473E0700.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
13894,2891044000000,1000.0,Porco,Entremeada sem Entrecosto,Vendido ao peso a partir de 1 kg,4.49,4.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/033DDCE7C7F9A9CD99F0A4BEB2F74462.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
22942,5604260280957,130.0,PorSi Viva Bem,Tortitas de milho com sal,Embalagem de 130g,0.79,6.08,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/562B6DCDAFB6B157FF55E2CE5C354748.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
989,5601029004014,120.0,Bom Petisco,"Atum posta em óleo, embalagem de 120g",,1.05,8.75,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0EDE399096BE62933DCF2A734D746C1A.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
13817,2892582000000,250.0,Legumes,Pimento Verde,1 un = 250 gr  (aprox.),0.62,2.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/65E0131049B6BD4E669549F70B795EC0.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
13866,2891048000000,1000.0,Porco,Bifanas,Vendido ao peso a partir de 1 kg,4.49,4.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/72DE0DA6B485199AC995C629E3E4D279.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
1834,5604260034505,500.0,PorSi,Batata frita palha,Embalagem de 500g,2.58,5.16,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C01ACEDAC47CBE95FC31DF87E03A78AD.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
34876,5604260285488,1500.0,PorSi,Maçã starking categoria II Programa Origens,Embalagem de 1.5 kg,1.89,1.26,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AA6B73374DD1E7B1436CB2F99D3B721B.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
