identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise,nro_paginas,page
11967,5601049612336,250.0,Mimosa,"Manteiga com sal, embalagem de 250g",,1.99,7.96,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2C2D066D904F137421CA4F472DC07738.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B59AE74FD0DBE6C3112F001AFF69E867.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BB9196C3025886DBB6F20EDD70A1CA7A.jpg,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
1195,5601119230224,650.0,Nobre,"Salsichas extra suculentas, frasco de 650 g",,2.09,3.22,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F74C2FC7C8B9C0B3ED0E43FFE3B59991.jpg,,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
26772,5449000106186,3500.0,Coca-Cola,"Refrigerante com gás, pack 2 x 1.75 l",,3.77,1.08,3500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A789E276311FA9DA8F07BCEEEA6CB731.jpg,,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
10914,3250390011620,200.0,Páturages,Queijo brie 60% mg,Embalagem de 200 g,1.59,7.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4BF7058D0138CA4DFA3E37B503FC8E28.jpg,,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
18045,8714789637389,,Colgate,"Escova de dentes max white média, 1 + 1 unidades",,2.99,2.99,1,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DA81305E47872C0D2A8BC35B8CC9CB97.jpg,,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
22335,5000116110940,420.0,Capitão Iglo,"15 douradinhos, embalagem de 420g",,4.99,11.88,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3973A8C90F686ECB72E76C3B0A0492D4.jpg,,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
26047,8412600070994,650.0,Bimbo,Pão de forma s/ côdea,Embalagem de 650 g,2.14,3.29,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/29A6957961BACB180F45AAA47CD1FB78.jpg,,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
8318,5601028014540,,Renova,"Rolos de cozinha compactos, branco, máxima absorção, xxl",1 unidade,1.19,1.19,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BC7BADCD8E43838B553974D430A7EFB9.jpg,,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
12972,2892040000000,1000.0,Fruta,Banana,1 un = 200 gr (aprox.),1.09,1.09,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1515327A77B72426B2932390DFBE18E5.jpg,,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
8201,5410316671118,700.0,Smirnoff,Vodka red,Garrafa de 700 ml,12.39,17.7,700,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5E1C2F2F2227574BAFE17233513E38CA.jpg,,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
