identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,images_0,images_1,images_2,pictogrammes_libelleCategorie,avantages_dateFin,avantages_categorie,nro_paginas,page,images_3,pictogrammes_0,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise
27843,5600376210079,230.0,Pasta do Dia,Massa para Pizza,Embalagem de 230g,1.91,8.3,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/63B6F3C467E6D82411A613582690CB96.jpg,,,,2024-09-04T23:59:59.999999999+01:00,PROSPECTUS,12,8,,,,,,,,,,
2849,0070330100763,,Bic,"Esferográfica cristal, 5 Uni",1 unidade,2.39,2.39,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FA19B12ABB26DDCDDBD8B8BD8E5613B5.jpg,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,12,8,,,,,,,,,,
28498,7613287238504,9000.0,Friskies,Ração seca para cão balance frango,Embalagem de 9 kg,17.54,1.95,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/91FA7DBCF822A543A2FB939C981EF8DE.jpg,,,,2024-09-04T23:59:59.999999999+01:00,PROSPECTUS,12,8,,,,,,,,,,
28859,5000116123841,336.0,Capitão Iglo,Douradinhos estaladiços,Embalagem de 340g,3.99,11.88,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EF97EB5D2B8369AA3BAAEE5F538FEA5A.jpg,,,Tipo de stockagem,2024-09-04T23:59:59.999999999+01:00,PROSPECTUS,12,8,,,,,,,,,,
2887,3154140117221,,Maped,"Borracha Technic, 600",embalagem com 2 unidades,1.39,1.39,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/56FE965B05C719B66A4BEEF8E9685965.jpg,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,12,8,,,,,,,,,,
2888,3154140124038,,Maped,"Borracha mini softy, pack de 3 unidades",1 embalagem,1.49,1.49,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/ABEC7965DA70FE77E535B80107B7735A.jpg,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,12,8,,,,,,,,,,
29132,8710522322130,1000.0,Skip,"Tira Nódoas Brancos em Pó, 1 kg",,7.19,7.19,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DD9DAEDD8BEF01F645D8C34A69A9208C.jpg,,,,2024-09-04T23:59:59.999999999+01:00,PROSPECTUS,12,8,,,,,,,,,,
2915,3250390054214,,Domédia,"Afia lápis metálico, 1 furo",1 unidade,0.35,0.35,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0ECEC93349626855F06F4ECFAA3FB3D7.jpg,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,12,8,,,,,,,,,,
29369,8710522322116,1000.0,Skip,"Tira Nódoas em Pó Cores, 1 kg",,7.19,7.19,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BCC51FAACF715BA76CA6D894D9421BF2.jpg,,,,2024-09-04T23:59:59.999999999+01:00,PROSPECTUS,12,8,,,,,,,,,,
29370,8710522322154,1600.0,Skip,"Tira Nódoas em Gel Cores, 1.6 l",,7.19,4.49,1600,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0629C0D5C3753AC34B5690FC3752C6C0.jpg,,,,2024-09-04T23:59:59.999999999+01:00,PROSPECTUS,12,8,,,,,,,,,,
29507,4005900453969,400.0,Nivea Sun,Loção Protect & Moisture FP30,1 Embalagem 400ml,14.09,35.23,400,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C0A0544AA501DD47F5682E44FE7653FD.jpg,,,,2024-09-04T23:59:59.999999999+01:00,PROSPECTUS,12,8,,,,,,,,,,
2965,3250391022182,,Domédia,"Esquadro, 21 cm 60.",1 unidade,0.69,0.69,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0C01BEC7A370384221ABE2E55E205569.jpg,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,12,8,,,,,,,,,,
2966,3250391022229,,Domédia,"Transferidor, 12 cm, 180 graus",1 unidade,0.49,0.49,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/84D4997F5A3421AD7F4D24D6B5F5D59B.jpg,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,12,8,,,,,,,,,,
