index,no_products,id,title
182,40,10011,Refrigerantes com Gás
183,40,10325,Refrigerantes sem Gás
184,40,11109,Ice Tea e Tisanas
185,40,11754,Néctares de Fruta
186,38,11755,Sumos 100%
187,20,11756,Concentrados e em Pó
188,31,11111,Bebidas Energéticas e Isotónicas
189,12,11798,Água Tónica e Ginger Ale
190,36,11476,Tintos do Douro
191,13,11477,Tintos do Dão
192,1,11714,Tintos das Beiras
193,2,11620,Tintos da Bairrada
194,24,11621,Tintos de Lisboa e Tejo
195,22,11622,Tintos de Setúbal
196,40,11623,Tintos do Alentejo
197,1,11625,Tintos Biológicos
198,2,11626,Tintos Estrangeiros
199,15,11478,Brancos do Douro
200,7,11479,Brancos do Dão
201,1,11480,Brancos das Beiras
202,1,11627,Brancos da Bairrada
203,16,11628,Brancos de Lisboa e Tejo
204,17,11629,Brancos de Setúbal
205,40,11630,Brancos do Alentejo
206,1,11633,Brancos Estrangeiros
207,2,11634,Rosé Douro e Dão
208,8,11635,"Rosé Tejo, Lisboa e Setúbal"
209,4,11636,Rosé Alentejo e Algarve
210,1,11651,Verde Tinto
211,24,11652,Verde Branco
212,4,11653,Verde Rosé
213,7,11655,Corrente Tinto
214,10,11656,Corrente Branco
215,16,11658,Frisante
216,12,11659,Sangria
217,14,11660,Moscatel
218,28,11661,Vinho do Porto
219,23,11663,Licores
220,7,11664,Aperitivos
221,11,11665,Vodka
222,34,11666,Whisky
223,20,11667,"Cocktails, Cachaça, Tequila e Rum"
224,24,11668,Gin
