identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,images_0,images_1,images_2,pictogrammes_libelleCategorie,avantages_dateFin,avantages_categorie,nro_paginas,page,pictogrammes_0,images_3,images_4,images_5
30528,5600258008947,750.0,Monte da Roquina,Vinho Tinto Regional Alentejano Premium,Garrafa de 0.75 l,2.99,3.99,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AA7AC927BCCE1D7AA4F348BC2F1289D5.jpg,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
30566,5601066401005,180.0,Nacional,Bolachas my cookies xl com pepitas de chocolate de leite,Embalagem de 180g,1.94,10.78,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DBD48492800FCB04E8BDF289C04473DF.jpg,,,,2024-09-25T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
30567,5601066400992,180.0,Nacional,Bolachas cookies xl com pepitas de chocolate e alfarroba,Embalagem de 180g,1.94,10.78,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A4DDA0E0A5B9227B0C04C73DB91BAD64.jpg,,,,2024-09-25T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
32091,5601096260313,750.0,Aveleda,Vinho Verde Loureiro Branco,Garrafa de 0.75 l,3.89,5.19,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D8585377E14C5E1743EA806244A92335.jpg,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
34090,8711200407583,28.0,Lipton,"Infusão silhueta com cavalinha, 20 saquetas",,2.09,74.64,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/49B8184A6EEA3E1D1885476EF1714AFE.jpg,,,,2024-09-25T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
35849,5601050035353,440.0,Danone,"Iogurte oikos cheesecake de mirtilo,  4 X 110 g",,1.99,4.52,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/51E31E764A49C9C1D230FA323681BF3A.jpg,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
36807,8001090374462,200.0,Pantene,Condicionador repara e protege,Embalagem de 200 ml,4.49,22.45,200,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3A2682FB48632A600621FBE47BA7FEAF.jpg,,,,2024-09-25T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
36863,7613037564426,128.0,Starbucks,Café caramelo macchiato by dolce gusto,12 cápsulas,4.39,34.3,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1A8A635C9230DA67B5959F1B62C5FEEB.jpg,,,,2024-09-25T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
37485,5602016141033,750.0,Cacho Fresco,Vinho rosé frisante,Garrafa de 0.75 l,1.64,2.19,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FF86331B5FA926BAAE69E1C280139991.jpg,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
37702,5601066401043,300.0,Nacional,Bolacha de alfarroba e chocolate,Embalagem de 300 g,1.67,5.57,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/29CEACE96341E2A0CAA4AC72DB2E1479.jpg,,,,2024-09-25T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
38342,5054563053077,,Parodontax,Escova de dentes expert clean suave,1 unidade,3.64,3.64,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/72DE25D8112F40EBA3D88CEE9F795F94.jpg,,,,2024-09-25T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
388,8712566156115,70.0,Knorr,"Sopa de rabo de boi, 70g",,1.6,22.86,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3119D8C67F6BF71B6E1A9D2753C65A49.jpg,,,,2024-09-25T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
40833,8718951333482,1250.0,Ajax,"Detergente líquido lava tudo festa das flores, 1.25 litros",,2.24,1.79,1250,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4CD3F618711847C08973FB8F753BB8D1.jpg,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
41300,5601050036596,440.0,Danone,"Iogurte oikos manga papaya,  4 x 110g",,1.99,4.52,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4F24CAC986AAB23C01B60B98974724E0.jpg,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
41301,5601050036589,440.0,Danone,"Iogurte oikos amora,  4x 110 g",,1.99,4.52,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E2A6369DE158404105D3DA5F531D5261.jpg,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
