identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise,nro_paginas,page,images_4,avantages_dateFin,avantages_categorie
52875,3155253012649,250.0,Président,"Chantilly baunilha spray, 250g",,0.99,3.96,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/21722B33CFEE929C158F299363FD2DDD.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FDD9C786E532EE4BC79BE4A73B39CF48.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FDD9C786E532EE4BC79BE4A73B39CF48.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,10,,,
52892,8720182632296,3780.0,Surf,"Detergente roupa máquina líquido coco, 84 cápsulas",,9.99,2.64,3780,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2B1C4CC08FD9DDDB8337DBBBEC27ED21.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/10B97661DB4C68339D42D3336A959B4F.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/10B97661DB4C68339D42D3336A959B4F.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/10B97661DB4C68339D42D3336A959B4F.jpg,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,10,,,
52895,8720181380648,,Skip,"Detergente Cápsulas Máquina de Roupa Active Clean, 32 doses",,8.99,8.99,32,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FCDED2EC28760482A86038FF21792268.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AFDAFD11D9A3E06FF9612A9C5A925C33.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AFDAFD11D9A3E06FF9612A9C5A925C33.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,10,,,
52909,0000059095897,300.0,Dove,"Creme de corpo silky petals, 300 ml",,4.54,15.13,300,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1627E8FAF3A60D62A8375865CA56916F.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/31C090566CAF912A208BD5CB0F486D93.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/31C090566CAF912A208BD5CB0F486D93.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,10,,,
52910,0000059095460,50.0,Vaseline,"Desodorizante men quantum roll-on, 50 ml",,2.69,53.8,50,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7CB0679E4CEB0DFDCEE4D1BB0751142A.jpg,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,10,,,
53008,5775345205384,700.0,Sunquick,"Concentrado de maracujá mix, garrafa de 700 ml",,4.86,6.94,700,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A67AB5B50F385D9314F8D31955C110FC.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5389434D1C5481A1E2137E6ACD009273.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5389434D1C5481A1E2137E6ACD009273.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5389434D1C5481A1E2137E6ACD009273.jpg,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,10,,,
53009,5775345205285,700.0,Sunquick,"Concentrado de manga, garrafa de 700 ml",,4.86,6.94,700,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/94829BEDF893EBD8EC5C2A98EB094FA3.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/47641B3B2ADBFBD16DD4A5737D06477E.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/47641B3B2ADBFBD16DD4A5737D06477E.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/47641B3B2ADBFBD16DD4A5737D06477E.jpg,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,10,,,
53074,8445290014177,2800.0,Purina One,"Ração para Gato Esterilizado Com Frango, 2.8 kg",,15.59,5.57,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AEEDAFDEC9309DF17C98D162A09F7DB9.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FF472FF76794D2946DC102AD40EF55A9.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FF472FF76794D2946DC102AD40EF55A9.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FF472FF76794D2946DC102AD40EF55A9.jpg,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,10,,,
53103,8717163573792,500.0,Dove,"Recarga sabonete líquido silk, 500 ml",,3.14,6.28,500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F3953C96F23408734970567128278024.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B653B25C8F0F81CE778890CF630C270E.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B653B25C8F0F81CE778890CF630C270E.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,10,,,
5319,5601213170648,700.0,Antiqua,Aguardente velha vsop,Garrafa de 700 ml,17.49,24.99,700,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8CA94C6FB0F616A2DDE62B05E25DD87E.jpg,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,10,,,
53201,8722700263951,112.0,Knorr,"Caldo natura de galinha, 4 x 28g",,1.59,14.2,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C4A95A050AD233CD0CE60FBC5DCD8B16.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C44C71F673042B8702982DA004384E92.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C44C71F673042B8702982DA004384E92.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,10,,,
53206,8711327583122,1000.0,Lipton,"Refrigerante sem gás pêssego, 1 litro",,1.75,1.75,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/ADA6EEC16B970A978EBFB12637252122.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/668C4732C4D0CB9C4F8870C88958EF03.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/668C4732C4D0CB9C4F8870C88958EF03.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/668C4732C4D0CB9C4F8870C88958EF03.jpg,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,10,,,
53207,8711327583092,1000.0,Lipton,"Refrigerante sem gás limão, 1 litro",,1.75,1.75,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4158B74E89B27BDB432B11C039181E14.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1DDDEA2D11A4948B9958398A432D1905.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1DDDEA2D11A4948B9958398A432D1905.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1DDDEA2D11A4948B9958398A432D1905.jpg,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,10,,,
53269,8445290014207,2800.0,Purina One,"Ração para Gato Esterilizado Com Salmão, 2.8 kg",,15.59,5.57,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/73F43E5C853144BDD9B977AA60C331CD.jpg,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,10,,,
