identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,avantages_dateFin,avantages_categorie,nro_paginas,page,images_2,images_3,images_4,images_5,images_6,images_7
13886,2891108000000,1000.0,Frango,Bife de Frango,Vendido ao peso a partir de 1 kg,6.49,6.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/519BDC237EE2CC43FB5B010D4FF5A15B.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
978,5601024134136,750.0,Oliveira da Serra,Azeite,Embalagem de 750 ml,3.69,4.92,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9CC9A85673AA0BF0B09481F106398AA6.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
30958,5449000957955,3500.0,Coca-Cola,"Refrigerante com Gás Cola Zero, emb. 2 x 1,75 lt",,3.29,0.94,3500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F2EAD17F7ACB8ABDBC63DEE76B961767.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
3526,2894034000000,150.0,Nobre,Fiambre da Perna Extra,1 un = 150 gr (aprox.),2.4,15.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C76D05EF052819EDC79567520AD2D260.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
13866,2891048000000,1000.0,Porco,Bifanas,Vendido ao peso a partir de 1 kg,4.69,4.69,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/72DE0DA6B485199AC995C629E3E4D279.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
6267,8016825926687,75.0,Aquafresh,Pasta dentífrica menta fresca,Embalagem de 75 ml,1.84,24.53,75,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5AF61545461116CEF40994D7E37A4C54.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
13048,2893561000000,250.0,Marisco,Ameijoa Branca Vietnamita Congelada,Vendido a partir de 250 gr  (aprox.),0.5,1.99,0,,€/Kg,,Avantages !,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EB1BC296FF41180E6F3E1626AD4F78AA.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
31436,5607233508829,750.0,Panrico,Pão de forma especial torradas,Embalagem de 750g,1.89,2.52,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E55F9FC30ED3A9561F136B69689D41FE.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
19415,5601028019798,,Renova,"Rolo de cozinha design xxl, 3 rolos",,1.99,1.99,3,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9A25E60B9B6B556C2D19CB0AC3EE543B.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
12972,2892040000000,200.0,Fruta,Banana,1 un = 200 gr (aprox.),0.22,1.09,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1515327A77B72426B2932390DFBE18E5.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
34115,5010504100095,700.0,Cutty Sark,Whisky,Garrafa de 700 ml,12.69,18.13,700,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2BC314804C41B6E623B4ADD6D620E800.jpg,,2025-12-24T23:59:59Z,PROSPECTUS,14,1,,,,,,
15943,7613034096593,60.0,Felix,"Snack para gato chezzy, 60g",,1.49,24.83,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C19CF0D792DF8707E6BCF2F0AA71B408.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
46160,3041091718099,380.0,Bledina,"Frutapura maçã, 4 x 95 g",,2.04,5.37,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5C43002A609BBE6FE41D63C7A58FC0F4.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
30414,4015400917304,480.0,Fairy,Detergente Liquido Loiça Original,480 ml,2.54,5.29,480,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BDA62A6B9333A70897E09AEAD0B62BBF.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
11655,5601195101142,1980.0,Pedras Salgadas,"Água com gás natural pet, pack 6 x 0.33 l",,2.89,1.46,1980,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/702FFA9017CB152B0B80B7BA93CF9B54.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
23469,8410500020453,280.0,Danone,"Danonino para levar, polpa de morango, embalagem de 4 x 70 g",,2.19,7.82,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3E7A122EA567C89446D113FF66BFA0AE.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
54606,8720181466359,720.0,Dove,"Gel de banho hydrate, 720ml",,4.79,6.65,720,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/73576AE98695DDB42CEBA03FBEBB469E.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
50405,8445290489173,900.0,Cerelac,"Papa Infantil Farinha Láctea +12M, emb. 900 gr",,6.29,6.99,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/79C2E535CBAB06EFF8E7EE2B8A2191BC.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
13561,2893555000000,400.0,Peixaria,Red Fish Congelado,,1.6,3.99,0,,€/Kg,,Avantages !,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6B51C5A0022242B4A2691EFB27EE24DC.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
5096,5601050026429,300.0,Danonino Danone,"Queijinho danonino petitdino de morango/banana, embalagem de 6 x 50g",,1.79,5.97,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FA8D1A9125B498992C62B9745CC5DD3D.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
2446,5998749110027,1170.0,Pedigree,"Snack para cão dentastix grande, de 1,17 kg",,10.49,8.97,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A70AD1A4D7C0D5C84CB7FD7E86CC3710.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
45724,5607233572813,520.0,Panrico,"Pão de forma integral especial torradas, 520g",,1.89,3.63,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0AEA1FD55AFC1DB1DD176B31083DB3AD.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
13813,2892489000000,250.0,Legumes,Batata Doce,1 un = 250 gr  (aprox.),0.25,0.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B0785A3D8A1A6773EB1FB43B119AC4D9.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
10884,3147690051206,700.0,Label 5,Whisky blended,"Garrafa de 0,70 l",11.99,17.13,700,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C08CAF9ADA1BDE594E3803CD3B274AB6.jpg,,2025-12-24T23:59:59Z,PROSPECTUS,14,1,,,,,,
13934,2891062000000,250.0,Porco,Rojões,1 un = 250 gr  (aprox.),1.17,4.69,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/925F2FDC1F925A7FD71EE6165315B22E.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
1819,5604260031634,150.0,PorSi,Bolacha Starchip Originais 150g,,1.19,7.93,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CABC3D20B1CC9C514379C2FAC0BED85E.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
34877,5604260285464,1500.0,PorSi,Maçã royal gala categoria II Programa Origens,Embalagem de 1.5 kg,1.69,1.13,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F091E3663EBAE6E7A8981702DFBCC609.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
13894,2891044000000,1000.0,Porco,Entremeada sem Entrecosto,Vendido ao peso a partir de 1 kg,4.29,4.29,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/033DDCE7C7F9A9CD99F0A4BEB2F74462.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
34239,5604260285495,1500.0,PorSi,Pera rocha categoria II Programa Origens,Embalagem de 1.5 kg,2.49,1.66,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F6E3096BF97BB2633EACD15A32FEACF7.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/11ABC193A8AF1413E11E1849F00D2775.jpg,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
21292,5604260263837,250.0,PorSi,Alho Seco,Embalagem: 250 g  ,1.49,5.96,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9CACD04AEB53BB065A4A6DA5A64A1473.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
5975,5604260273690,,PorSi,"Guardanapos brancos, 33x33cm, 2 folhas",Embalagem com 100 unidades,1.19,1.19,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/25E85DBD14E79E86CE42E3D2F47DB275.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
45758,5604260286591,500.0,PorSi,Bolachas com Recheio Sabor Chocolate 500 G,,1.59,3.18,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/519049251E0BD7439B4E15173D8DEB35.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
36627,5604260294398,1000.0,PorSi,Arroz Vaporizado 1000g,,1.25,1.25,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C0D560042F7DB18E737B2402604E7AC3.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
13897,2891053000000,1000.0,Porco,Lombo sem Osso,Vendido ao peso a partir de 1 kg,4.49,4.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/415564DA70574ED3C1D7475F1F28BDB6.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
13954,2891192000000,500.0,Porco,Tiras da Costela/Piano,1 un = 500 gr (aprox.),3.4,6.79,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7D0B09E93398DFB0B31D06D5AFBD6B99.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
37744,5604260301805,540.0,PorSi,Feijão manteiga,Frasco com 540 g,0.85,1.57,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B9B74EE9D5F4C86738772A5B6758433E.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
37745,5604260301874,540.0,PorSi,Grão de bico,Frasco com 540 g,0.85,1.57,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/ABBBFB42757051E49B0E75B4C2EB061F.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
41981,5604260303618,5000.0,PorSi,Areia para Gato Aglomerante 5kg,,2.69,0.54,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D280E7879828ADC3454C85EE455FB236.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
14198,5604260273683,800.0,PorSi,Bolacha Tostada 800 G,,1.59,1.99,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B2D5FAAB4BD35CE24623ED7F165261C0.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
1816,5604260301775,540.0,PorSi,Feijão frade,Embalagem de 540g,0.85,1.57,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F863BEC0F48D2513FC0D1879484DF975.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
2176,5604260261406,600.0,PorSi,Bolachas Rosquilhas 600g,,1.95,3.25,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/302514079A6DA8A0868B7E968E0E65CF.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
23277,5604260281268,150.0,Porsi Programa Origens,Salada Aromática 150 G,,1.19,7.93,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C822174AC715DAAEACE1CDBB865D9449.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
27629,5604260282845,500.0,PorSi,Iogurte Natural 4x125g,,0.79,1.58,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4C81FD0AD483BCDBB41B470432B5F2B0.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
32424,5604260285297,1000.0,PorSi,Leite Uht Magro 1l (sem Rosca),,0.85,0.85,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EAABBB136A1B6AF34367792D3AF7B8DD.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
41719,5604260303793,90.0,PorSi,Puré de Fruta Maçã Banana 90g,,0.64,7.11,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2E481D69677BD2CA4465286377A9A6E3.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
46919,2782188000000,600.0,PorSi,"Canjinha de Frango, embalagem de 600g (aprox.)",,2.21,3.69,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A71DE7C009681F0BB65F84174F205062.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
5788,5604260033447,200.0,PorSi,Chouriço Corrente 200g,,1.35,6.75,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/92DD7C79E00E3F96B89DDD048D065D1C.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
12943,2892087000000,1500.0,Fruta,Mamão,"1 un = 1,5 kg (aprox.)",5.84,3.89,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E92859558CF3617793775ADAD1A11B14.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
13884,2891106000000,2000.0,PorSi Select,Frango do Campo Inteiro c/ Miúdos Programa Origens,Vendido ao peso,7.98,3.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4004CE88E12A24D0AD85684C27210FBB.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
13947,2891125000000,150.0,Peru,Espetadas de Peru,1 un = 150 gr (aprox.),1.02,6.79,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7051DD49B64096A6B46E7815DD618A85.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
18488,5600744051013,220.0,Saborosa,"Bolacha de manteiga belga original, embalagem de 220g",,1.49,6.77,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/435E3C8EAE2EA4A45A8BB3A81B14CF20.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
18489,5600744051020,198.0,Saborosa,"Bolacha de manteiga belga com chocolate, embalagem de 200g",,1.54,7.78,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/96C31A82D017146C1ADBA7AC747D4690.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
1966,5604260061563,210.0,PorSi,Wafer Chocolate 210g,,1.17,5.57,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E154175D8E403083CFB63244310CB908.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
23276,5604260281299,175.0,Porsi Programa Origens,Salada Gourmet 175 G,,1.09,6.23,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4B8FE4793F676EB4D411F04A36543FE6.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
29613,5604260283538,1000.0,Porsi Vivabem,Bebida de Aveia 0% Açúcares Adicionados 1l,,0.99,0.99,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1EE40BC1DA49C5CE3D084214B1D3D3B9.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
36712,5604260294879,200.0,PorSi,Queijo Gouda Fatiado 200g,,1.69,8.45,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DA95A9507FFD36014042570F7367B99A.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
41718,5604260303823,90.0,PorSi,Puré de Fruta Maçã Manga Pessego,,0.64,7.11,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9B27C39372BB074FB232EB9A2E0BB35A.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
49380,5604260323586,150.0,PorSi,Tiras de Bacon 2x75g,,1.29,8.6,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C81C7CF2D06D55EFA730F249BB879140.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
49545,2706799000000,1100.0,PorSi,Frango aberto para churrasco,Embalagem com 1.1 kg (aprox.),3.83,3.48,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A425BFFF084B4530B695FF575C8E0B34.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
56703,5604260332946,300.0,PorSi,Rolinhos Legumes Primavera 300g,,1.99,6.63,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D4522F3BC9F46B7E90751B94CFEBDEBE.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
1188,5601119007970,200.0,Nobre,"Salsichas Frankfurt Originais Lata 8 un, emb. 200 gr",,1.39,6.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F480FC52D56464F3C1B867155F4A37B9.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
1218,5601126039148,1000.0,Sical,"Café 5 estrelas grão, embalagem de 1 kg",,19.99,19.99,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F30913D07FB49FD462FB35C8623DC586.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/352FFCFAE868D5178905BD9725C43B6E.jpg,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
13896,2891049000000,1000.0,Porco,Fígado,Vendido ao peso a partir de 1 kg,2.99,2.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5F0E3D04B0DBB043B98FC650B4149C34.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
13915,2891249000000,2000.0,Peru,Perna com Osso,Vendido ao peso,8.78,4.39,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EA6C55F440DB29FDE55EB019973B1FE5.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
16419,5604260127535,1000.0,PorSi,Creme Vegetal para Culinária 1kg,,2.49,2.49,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FB259DEFAEB5F72C3060F4D1DD8E9756.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
17523,2891246000000,1000.0,Porco,Pá York c/ Osso c/ Couro,Vendido ao peso a partir de 1 kg,3.69,3.69,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B1774B7150E1E65399A00A5F3DC93922.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
1847,5604260301683,540.0,PorSi,Feijão branco,Embalagem de 540g,0.85,1.57,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/65F3549F5DD8B5CB836B8FAB01DCCC43.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
23582,5604260281275,175.0,Porsi Programa Origens,Salada Premium 175 G,,1.19,6.8,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A8F765E7D8A6C281765A51B35764D182.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
24838,5601164903722,7500.0,Super Bock,"Cerveja com Álcool Mini, emb. 30 x 25 cl",,14.49,1.93,7500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F70F225DD8BCAD2EFB4E63DAAFD05BBF.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
41640,5604260301737,540.0,PorSi,Feijão encarnado em frasco,frasco de 540 g,0.85,1.57,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C91F959C8FD02C2055DD0A1A4950A458.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
41716,5604260303809,90.0,PorSi,Puré Fruta Multifrutos Maçã / Pêssego / Banana / Pera 90g,,0.64,7.11,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1CAFF4A82E080C7A12967171C7D2027F.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
41720,5604260303786,90.0,PorSi,Puré de Fruta Maçã Banana e Morango 90g,,0.64,7.11,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EB59B6CAE9A8CD6FFFC194AC89C34DBC.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
43847,5604260303601,2000.0,PorSi,Sal para Máquina de Lavar Loiça 2kg,,0.79,0.4,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D82E0D3BEDB9300391E79B76131FD377.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B794A5967EB64687E479EB017EFD747A.jpg,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
43878,2773120000000,400.0,PorSi,"Strogonoff de Frango, embalagem de 400g (aprox.)",,3.4,8.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B0564C72162089A88CD1254AA02E059D.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
5119,5601066200073,1000.0,Nacional,Farinha p/ bolos extra fina,Embalagem de 1 kg,0.99,0.99,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0BC68EEEFB7AD341320FD65451A85D72.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
54633,5603722523052,1000.0,Gresso,"Leite Uht Magro, 1L",,0.87,0.87,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/62FAA0AA671FC5B53B3DDBACCC92B900.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
8391,5601049159992,1000.0,Mimosa,"Leite especial cálcio + vitamina d magro, de 1l",,1.0,1.0,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/22E6964D6A2F2B922BCB40BB341AE902.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
11463,5601018001642,250.0,Gresso,"Manteiga com sal, embalagem de 250g",,2.14,8.56,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3A5F1036925C0C6B8D6C067104A96CDE.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7AC5179CFF33BEA38B382077FB05A477.jpg,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
1187,5601119007963,120.0,Nobre,"6 salsichas de porco, lata de 120g",,1.04,8.67,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/024D21F90F760BFDC12CBD7EB02BECC6.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
11987,5604055112821,2500.0,Fastio,"Água mineral sem gás, garrafa de 2,5 l",,1.09,0.44,2500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FB893DB3E3427BD2F4F475F8A8AF7AFA.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
1225,5601146000319,500.0,Sagres,"Cerveja com Álcool, lata 50 cl",,0.85,1.7,500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B1B5F95DEB5BC6A9F4E736C209DD9550.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
1451,5601286201782,500.0,Milaneza,"Massa esparguete, embalagem de 500g",,0.88,1.76,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FF90DF8806B7F52F8AD5ECEED9AAA2FA.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
1475,5601286273789,500.0,Milaneza,"Massa fusilli tricolor, embalagem de 500g",,1.26,2.52,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/89BD68C65931C04722FA40DDD3898CB2.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
14908,2893723000000,600.0,Peixaria,Dourada Pequena,"Vendido ao peso, de 200 a 600 g",4.19,6.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AFF5C8795A7F86F3C0C55DCFF44363C3.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
15687,5000116109234,700.0,Iglo,"Ervilhas, embalagem de 700g",,3.39,4.84,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AC9F197DD289CE6E6A9903FC824FDD75.jpg,,2025-11-26T23:59:59Z,PROSPECTUS,14,1,,,,,,
