identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,avantages_dateFin,avantages_categorie,nro_paginas,page,images_3,images_4,images_5
1035,5601045105313,6000.0,Serra da estrela,Água mineral sem gás,pack 4 x 1.5 l,1.79,0.3,6000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2AD57C02BC703D78494AE14A0BEFDA49.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
30526,5449000087775,3000.0,Fanta,Fanta go laranja,pack 2 x 1.5 l,1.98,0.66,3000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/593BAD71F5135741DD23AA781A57779F.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
1226,5601146001507,1500.0,Joi,Refrigerante sem gás de manga/laran,"Garrafa de 1,5 l",1.79,1.19,1500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1A97DFBCD44C528D834B0680C492C91A.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
17174,2891285000000,1000.0,Novilho,Costeletão,Vendido ao peso a partir de 1 kg,8.98,8.98,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3119B572BBCB66D5B0D8D4234718B722.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
5272,5601164902312,4800.0,Super Bock,Cerveja Mini,pack 24 x 0.20 l ,8.99,1.87,4800,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2912E3195E8AA342B174CBFEDFDDDFEF.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C2C2858ADC421F33AF17C6115D108100.jpg,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
24415,8410436299961,1300.0,Sonasol,"Lava tudo lavanda, 1,3l",,2.09,1.61,1300,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4C901B46EE167F7ABAA5D085E91578A1.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
13566,2893560000000,250.0,Congelado de Aquicultura,Camarão Congelado 20/30,1 un = 250 gr  (aprox.),2.62,10.49,0,,€/Kg,,Avantages !,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/863DB9F10BE616A55736AB7A17BC6BB5.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
21052,8435257034270,640.0,Nestlé,"Iogurte líquido yoggi, sem lactose, morango/banana,  4 x 160 g",,2.19,3.42,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/93C63CDCCE271351E42C385AFD3AE69F.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
42700,5604260307258,100.0,PorSi,Alimento húmido para gato rico em vaca,Embalagem de 100g,0.39,3.9,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/86C5215ABEA4EECD5FC00FA709991B35.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
13577,2893572000000,200.0,Peixaria,Pota Inteira Congelada,1 un= 200 gr (aprox.),1.0,4.99,0,,€/Kg,,Avantages !,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B2D6321EA80C5271A6C9DE3162C36D95.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
