identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,avantages_dateFin,avantages_categorie,nro_paginas,page,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise
20612,5029053550176,,Huggies,"Toalhitas Bebé Natural Care, 3x56un.",,3.39,3.39,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9472DF0F2B8BBF3E0F54D35D5C8A023D.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
16343,5601151978856,6000.0,Serra da estrela,"Água sem gás, garrafão de 6l",,1.79,0.3,6000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8D402342781DACEBEA13B36CE32D8EBF.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
36263,5601027973060,480.0,Bimbo,Pão de forma integral,Embalagem de 480 g,1.84,3.83,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/706CDDCF91F9F779ABC5B2D4D8D2F75F.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
20221,8410500020071,460.0,Danone,"Iogurte activia aveia nozes, embalagem de 4 x 120g",,2.39,5.2,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E3646F8812C5353023D3951FE268028D.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
37443,7613037040869,250.0,Nestum,"Nestum zero espelta/aveia, embalagem de 250g",,2.14,8.56,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BF80E2BF1A95765256612BEC5A65D8DD.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
10280,8410469002781,,Colhogar,"Papel higiénico compacto ultra suave xxl, 12 rolos",,5.2,5.2,12,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/25C6AA40EDFE818F3044E21D30E55D7F.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
16493,8718951037939,500.0,Ajax,"Limpa vidros pistola, cristal, embalagem de 500 ml",,1.97,3.94,500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B2152E81252C8B3ECCDB87063FC44E64.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
21076,5602154682443,750.0,Castelo de Borba,Vinho doc alentejo tinto,Garrafa de 0.75 l,4.99,6.65,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B25235ED2E4351274E776FEB93E339BF.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
854,5010394133852,500.0,Pedigree,"Guloseima para cão biscrok, embalagem de 500 g",,3.5,7.0,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C3696C3844F67065BEA83C1D5D8C7EB1.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
15161,5604260274246,1000.0,PorSi,Cenouras Programa Origens,Embalagem de 1 kg,0.89,0.89,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2C5D90EF430B0C18141C519CD5070475.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
