level,isPromo,id,key,title,slug,link,picto,hasAlcohol,index,no_products
3,False,11539,11539,Porco,porco,/shelves/talho-e-peixaria/talho/porco/11539,,,0.0,38.0
3,False,11540,11540,"Novilho, Vitela e Vitelão",novilho-vitela-e-vitelao,/shelves/talho-e-peixaria/talho/novilho-vitela-e-vitelao/11540,,,1.0,27.0
3,False,11541,11541,Borrego e Cabrito,borrego-e-cabrito,/shelves/talho-e-peixaria/talho/borrego-e-cabrito/11541,,,2.0,1.0
3,False,11542,11542,Coelho,coelho,/shelves/talho-e-peixaria/talho/coelho/11542,,,3.0,1.0
3,False,11543,11543,Aves,aves,/shelves/talho-e-peixaria/talho/aves/11543,,,4.0,35.0
3,False,11544,11544,"Salsichas, Especialidades e Preparados",salsichas-especialidades-e-preparados,/shelves/talho-e-peixaria/talho/salsichas-especialidades-e-preparados/11544,,,5.0,29.0
3,False,11545,11545,Bacalhau,bacalhau,/shelves/talho-e-peixaria/peixaria/bacalhau/11545,,,6.0,8.0
3,False,11546,11546,Peixe,peixe,/shelves/talho-e-peixaria/peixaria/peixe/11546,,,7.0,40.0
3,False,11547,11547,Marisco,marisco,/shelves/talho-e-peixaria/peixaria/marisco/11547,,,8.0,14.0
3,False,11508,11508,Maçãs e Peras,macas-e-peras,/shelves/frutas-e-legumes/frutas/macas-e-peras/11508,,,9.0,24.0
3,False,11510,11510,Laranjas e Outros Citrinos,laranjas-e-outros-citrinos,/shelves/frutas-e-legumes/frutas/laranjas-e-outros-citrinos/11510,,,10.0,4.0
3,False,11511,11511,Bananas e Kiwis,bananas-e-kiwis,/shelves/frutas-e-legumes/frutas/bananas-e-kiwis/11511,,,11.0,7.0
3,False,11512,11512,"Pêssegos, Nectarinas e Ameixas",pessegos-nectarinas-e-ameixas,/shelves/frutas-e-legumes/frutas/pessegos-nectarinas-e-ameixas/11512,,,12.0,10.0
3,False,11509,11509,Limões e Limas,limoes-e-limas,/shelves/frutas-e-legumes/frutas/limoes-e-limas/11509,,,13.0,2.0
3,False,11513,11513,Ananás e Abacaxi,ananas-e-abacaxi,/shelves/frutas-e-legumes/frutas/ananas-e-abacaxi/11513,,,14.0,4.0
3,False,11514,11514,Frutos Vermelhos,frutos-vermelhos,/shelves/frutas-e-legumes/frutas/frutos-vermelhos/11514,,,15.0,3.0
