identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,avantages_dateFin,avantages_categorie,nro_paginas,page,images_4,images_5
23590,5603722514142,1600.0,Agros,"Leite com chocolate, embalagem de 8x200 ml",,2.79,1.74,1600,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4B07C2A65AC5D9D66E12210391EDB136.jpg,,,,2026-02-11T23:59:59Z,PROSPECTUS,15,1,,
28640,5054563030948,75.0,Aquafresh,Dentífrico Tripla Proteção,Embalagem de 75 ml,1.69,22.53,75,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3F822B9D22CAC67DC8DBD8698E3FBBBD.jpg,,,,2026-02-11T23:59:59Z,PROSPECTUS,15,1,,
4947,5449000054227,1000.0,Coca-Cola,"Refrigerante com Gás Cola, emb. 1 lt",,1.25,1.25,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3281D4D34500D6DBD7784B7DAA420E55.jpg,,,,2026-02-11T23:59:59Z,PROSPECTUS,15,1,,
42050,5029053565347,,Depend,"Cuecas Incontinência Super L/XL, emb. 9 un",,9.99,9.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D6461693316C4272827E168251E92A46.jpg,,,,2026-02-11T23:59:59Z,PROSPECTUS,15,1,,
48238,8410199023094,170.0,LayS,"Lays gourmet, embalagem de 180 g",,1.49,8.76,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AA6FA3F91FCD11341E4CD77B7FF49E06.jpg,,,,2026-02-11T23:59:59Z,PROSPECTUS,15,1,,
5568,5602042100707,700.0,Licor Beirão,"Licor, garrafa de 700 ml",,11.49,16.41,700,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/07C8FF4320A08C5A6B4CACC9EE87EA83.jpg,,,,2026-02-11T23:59:59Z,PROSPECTUS,15,1,,
8383,5601049132995,1000.0,Mimosa,"Leite uht meio gordo, embalagem de 1litro",,0.87,0.87,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6FB52C843F677BD37D399D45BB10B38B.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AE810093A08CEBD60415DCC626CF5804.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A0562293538F541B1B99592AA046327B.jpg,,2026-02-11T23:59:59Z,PROSPECTUS,15,1,,
11967,5601049612336,250.0,Mimosa,"Manteiga com sal, embalagem de 250g",,2.09,8.36,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2C2D066D904F137421CA4F472DC07738.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B59AE74FD0DBE6C3112F001AFF69E867.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BB9196C3025886DBB6F20EDD70A1CA7A.jpg,,2026-02-11T23:59:59Z,PROSPECTUS,15,1,,
11935,5603124023273,545.0,Mistolin,"Tira gorduras pistola, 550 ml",,2.49,4.57,545,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/61307002E6EA5352BB9A64A39F439A9A.jpg,,,,2026-02-11T23:59:59Z,PROSPECTUS,15,1,,
41876,5604172000520,9000.0,Monchique,"Água mineral natural, 6 x 1.5l",,3.79,0.42,9000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D804156A7441EC8EE6CE6F8CBAF1941E.jpg,,,,2026-02-11T23:59:59Z,PROSPECTUS,15,1,,
9121,5601999200041,750.0,Moura,"Azeite de moura dop virgem extra, garrafa de 750 ml",,6.89,9.19,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/392DC5B4CD2C56B2B7E596E54DE04F3D.jpg,,,,2026-02-11T23:59:59Z,PROSPECTUS,15,1,,
29356,8718951202856,500.0,Palmolive,"Gel de banho natural leite e mel, 500 ml",,2.49,4.98,500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6CB5E843C7A08E2ECE1293E08A53478D.jpg,,,,2026-02-11T23:59:59Z,PROSPECTUS,15,1,,
929,5601001187803,625.0,Nestlé,"Cereais Chocapic, emb. 625 gr",,3.39,5.42,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8DB31C1F3066D48D593AE11B75516670.jpg,,,,2026-02-11T23:59:59Z,PROSPECTUS,15,1,,
54893,8700216442978,325.0,Pantene,"Champô Pro-V Active Nutri-Plex Cuidado Clássico, 325ml",,3.49,10.74,325,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B2290A645A2396AA428BD0D525C34EAB.jpg,,,,2026-02-11T23:59:59Z,PROSPECTUS,15,1,,
54897,8700216442725,275.0,Pantene,"Condicionador Pro-V Active Nutri-Plex Cuidado Clássico, 275ml",,3.49,12.69,275,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6511EE6E91F07895A978A24DCF290A7A.jpg,,,,2026-02-11T23:59:59Z,PROSPECTUS,15,1,,
1484,5601326000122,1000.0,Pato real,Arroz carolino malandrinho,Embalagem de 1 kg,1.29,1.29,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EF54F6404384A19B3FBA2850089F9FBC.jpg,,,,2026-02-11T23:59:59Z,PROSPECTUS,15,1,,
18488,5600744051013,220.0,Saborosa,"Bolacha de manteiga belga original, embalagem de 220g",,1.39,6.32,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/435E3C8EAE2EA4A45A8BB3A81B14CF20.jpg,,,,2026-02-11T23:59:59Z,PROSPECTUS,15,1,,
20354,5601045001318,1500.0,Sumol,"Refrigerante com gás de maracujá, 1,5L",,1.25,0.83,1500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5C18444DCE9CAD39D8FB3FF37DA42976.jpg,,,,2026-02-11T23:59:59Z,PROSPECTUS,15,1,,
5272,5601164902312,4800.0,Super Bock,"Cerveja com álcool, pack 24 x 0.20 l",,9.79,2.04,4800,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A98E5FF8E5DDF166F2B333F0EE0114E7.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C2C2858ADC421F33AF17C6115D108100.jpg,,,2026-02-11T23:59:59Z,PROSPECTUS,15,1,,
12994,2892524000000,100.0,Legumes,Cenoura Granel,1 un = 100 gr (aprox.),0.09,0.89,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5AEDEF3ED6ABEF24EACEE9C46AA7916F.jpg,,,,2026-02-11T23:59:59Z,PROSPECTUS,15,1,,
13914,2891225000000,350.0,Frango,Perna com Costa,1 un. = 300 g (aprox.),0.94,2.69,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D1297D1CD095629263E582A65B4C3857.jpg,,,,2026-02-11T23:59:59Z,PROSPECTUS,15,1,,
13934,2891062000000,250.0,Porco,Rojões,1 un = 250 gr  (aprox.),1.0,3.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/925F2FDC1F925A7FD71EE6165315B22E.jpg,,,,2026-02-11T23:59:59Z,PROSPECTUS,15,1,,
12978,2892462000000,400.0,Legumes,Alface Frisada,1 un= 400 g (aprox.),0.68,1.69,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/11753DE36CD8D1B450ED5A40B08A088C.jpg,,,,2026-02-11T23:59:59Z,PROSPECTUS,15,1,,
13821,2892597000000,200.0,Legumes,Tomate Cacho,1 un = 200 gr (aprox.),0.34,1.69,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FD67F77AFAB450B6A4FA38E0279E6686.jpg,,,,2026-02-11T23:59:59Z,PROSPECTUS,15,1,,
13866,2891048000000,1000.0,Porco,Bifanas,Vendido ao peso a partir de 1 kg,3.99,3.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/72DE0DA6B485199AC995C629E3E4D279.jpg,,,,2026-02-11T23:59:59Z,PROSPECTUS,15,1,,
1834,5604260034505,500.0,PorSi,Batatas Fritas Palha Larga 500g,,2.58,5.16,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C01ACEDAC47CBE95FC31DF87E03A78AD.jpg,,,,2026-02-11T23:59:59Z,PROSPECTUS,15,1,,
46714,5604260318742,,PorSi,Papel Higiénico Branco 3 Folhas 12 Rolos,,3.49,3.49,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/302F6B4FE48393BA7E5D666ED55E249B.jpg,,,,2026-02-11T23:59:59Z,PROSPECTUS,15,1,,
7039,2894063000000,150.0,PorSi,Fiambre da Pá,1 un = 150 gr (aprox.),1.2,7.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B263AAD24D8655825D397EE88CE54C25.jpg,,,,2026-02-11T23:59:59Z,PROSPECTUS,15,1,,
