identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,images_5,images_6,avantages_dateFin,avantages_categorie,nro_paginas,page
33090,5411188112709,1000.0,Alpro,"Bebida amêndoa torrada sem açúcar, embalagem de 1litro",,1.89,1.89,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/66C6488BDB769AFC2D2A2697199C34D6.jpg,,,,,,,2026-02-25T23:59:59Z,PROSPECTUS,16,1
1439,5601260127107,1000.0,Cigala,"Arroz vaporizado, embalagem de 1 kg",,1.29,1.29,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4B2862217CBB7515902C0E411B46053F.jpg,,,,,,,2026-02-25T23:59:59Z,PROSPECTUS,16,1
1295,5601151533451,1000.0,Compal,"Néctar clássico de manga, embalagem de 1l",,0.99,0.99,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C39B088399EB8957F0ED194316340ED2.jpg,,,,,,,2026-02-25T23:59:59Z,PROSPECTUS,16,1
1135,5601082022758,250.0,Delta,"Café Moído Torrado Moagem Máquina Lote Chávena Int 12, emb. 250 gr",Embalagem de 250g,3.79,15.16,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/13E9F03FF8FB53EE57516E14277CD628.jpg,,,,,,,2026-02-25T23:59:59Z,PROSPECTUS,16,1
36802,8001090139504,,Dodot,Toalhitas básico,embalagem com 54 unidades,0.89,0.89,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F1107019760B8AA1979363639B76868E.jpg,,,,,,,2026-02-25T23:59:59Z,PROSPECTUS,16,1
1144,5601082026978,,Delta Q,"Cápsulas de Café Aqtivus Int 8, emb. 10 un.",Embalagem de 55 g,3.79,3.79,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/52267C2B82B3AE15A09FF0BFBFD58772.jpg,,,,,,,2026-02-25T23:59:59Z,PROSPECTUS,16,1
48782,8410199023070,150.0,LayS,"Batatas camponesas, embalagem de 150g",,1.29,8.6,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D570E7E39595628616CA3F3914A72126.jpg,,,,,,,2026-02-25T23:59:59Z,PROSPECTUS,16,1
44590,8710847961168,360.0,Linic,"Champô para homem anti caspa cool sport, embalagem de 360 ml",,4.69,13.03,360,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F0463852C728850383B118E176FF460D.jpg,,,,,,,2026-02-25T23:59:59Z,PROSPECTUS,16,1
57385,8711327683525,2000.0,Lipton,"Ice Tea Framboesa, emb. 2 lt",,1.89,0.95,2000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8C42BFAC31228A2E35A1C1F588CA5E4A.jpg,,,,,,,2026-02-25T23:59:59Z,PROSPECTUS,16,1
11961,5603722505607,1000.0,Mimosa,"Leite sem lactose meio gordo, de 1l",,1.09,1.09,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A98ED8A0E5E675A3AC1A551BCE75B0AB.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4E57BFE09E8D859BDBE1705476BB9F1B.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E1F70144AAFCC0EAEBFF05614177D009.jpg,,,,,2026-02-25T23:59:59Z,PROSPECTUS,16,1
