identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise,nro_paginas,page,avantages_dateFin,avantages_categorie,images_5,images_6
43876,5604260313693,460.0,PorSi,Hambúrgueres De Frango 460 G,,3.09,6.72,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B59F443B43C1B7309A984790E7E9E810.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
43877,5604260313709,460.0,PorSi,Hambúrgueres De Peru 460 G,,3.49,7.59,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FA2BACD08CF4C4CAB5BDA1CEE9BC706D.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
43979,5604260313587,300.0,PorSi,Gomas Tubarões,,1.65,5.5,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E41CF5FAA7809C84D2F7F60F535CC844.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
43983,5604260313662,300.0,PorSi,Gomas Sortido Ácido,,1.69,5.63,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3FDA962A2CF281DDA7F726AC64F488D1.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
44241,5601050036886,120.0,Danone,"Iogrute twix, embalagem de 120g",,1.09,9.08,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E4E89664DF24BCB428B25457942D3E4C.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
44252,5601019012890,210.0,Guloso,"Tomate frito, embalagem de 210g",,0.84,4.0,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8B263589AC7E30970A012A4A83920952.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
44642,8410199021168,140.0,Doritos,"Snack de milho com sabor chilli, 140g",,1.39,9.93,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4BF0B752BBDEC2A3E78C82178EA88929.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
44761,5601146050505,500.0,Bandida do Pomar,"Sidra frutos vermelhos, lata 50cl",,1.19,2.38,500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3DF7967B62A6AA597E8EA0E6EC701FC9.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
44771,8710438109009,500.0,MCCAIN,"Palito fry n dip, embalagem de 500g",,3.19,6.38,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1F1D7AB4DB15838743957D2491BA0251.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/170A8C7D758318133491D25E6C2FF3D3.jpg,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
44902,5601286248787,500.0,Milaneza,"Massa conchas, 500g",,1.04,2.08,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/47B035D4D71BAB8FACEBBDD297C9B9B8.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
45470,7613036632010,648.0,Felix,Comida Húmida para Gato Selecção do Campo,pack 6 x 48 g,2.24,3.46,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/383DA3F2C6F171BEBC3887692C7FDD5E.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
45700,5604260314249,680.0,PorSi,Detergente Máquina Loica Td1 Limao 40P,,4.39,6.46,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E2AF666FA080D39884D54C761B4D071C.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
45715,5604260310722,150.0,PorSi,Bolacha Com Cobertura Chocolate De Leite 150G,,1.99,13.27,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/316BF2EFAABDC61698C845DF2D1BBE17.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
45773,5054563087829,75.0,Aquafresh,"Pasta dentífrica eucalipto, lima e menta",Embalagem de 75ml,1.84,24.53,75,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1F94A046F2A6C727F7B6BE2D468B428F.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
46130,3083681137781,600.0,Bonduelle,Rebentos germinados,Embalagem de 600g,3.24,5.4,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6541F775DDFE3DE4AFA0AEC8441443D2.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
46162,3083681106480,400.0,Bonduelle,"Salteado parisino, embalagem de 400g",,2.59,6.48,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4DE85AF2C08839F22568D1C815770BA6.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
46255,5601151971154,1500.0,Sumol,"Refrigerante com gás laranjas do algarve, garrafa de 1.5 l",,1.39,0.93,1500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FC682E13D4CAF638D1B335B8521E2196.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
46258,5601164404700,330.0,Super Bock,"Cerveja preta stout, lata de 330 ml",,0.79,2.39,330,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5B02956F074092D3CD9BF4340DF364CA.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
46499,7613287399045,,Nescafé,Café em cápsulas Dolce Gusto Intenso,64 cápsulas,19.99,19.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C18E938357B5F7158AF721A91D724A11.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
46792,5604260319602,2000.0,Por Si,Lava Tudo Amoniacal 2L,,0.71,0.36,2000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0C9BD05E1DE72936A2E16D3F745EB933.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
46849,5604260316502,1200.0,PorSi,"Alimento Humido Cão Vaca Arroz Ervilhas 1,2Kg",,2.39,1.99,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EDB60C499834E10585A782F49B2D1D3B.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
46885,5054563087195,75.0,Aquafresh,Dentifríco splash morango,Embalagem de 75 ml,2.59,34.53,75,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/985DB91A7EDE55C6A3C98F1B8981BB9B.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
476,3010470159020,400.0,Friskies,"Ração para gato adulto com coelho, frango e legumes",Embalagem de 400g,1.86,4.65,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/14A83E0B863A6F9B6D934AF2C5E8BC68.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
47636,8412600018323,300.0,Bimbo,Bimbo® bagels sementes 4 un.,Embalagem de 300g,2.34,7.8,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4C1FC5DD8D8752799FB839690B061514.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
47755,8006540429457,,Evax,Pensos Higiénicos Cottonlike Normal com Abas,32 unidades,4.14,4.14,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/70F42B0A06F4559D2E1F565D5B1D8875.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
47756,8006540429570,,Evax,Pensos Higiénicos Cottonlike Super com Abas,24 unidades,4.19,4.19,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CB96220255FB9E0900323CF49B786012.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
47788,5604260325740,330.0,PorSi,6 Salsichas Frescas Chipolatas Com Ervas 330 G,,4.59,13.91,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5F51FE6C2AF9B50236E3907CACEE0AB3.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
47935,5604260320714,500.0,PorSi,Cereais Forma Natura 500G,,1.79,3.58,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/30A098BF66CEBA4CBF99985173BBE84A.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DFAF661C993E38BF4F79017F19AF7E3E.jpg,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
48729,8410376064445,150.0,Gullón,"Finas aveia chocolate leite zero, embalagem de 150g",,2.04,13.6,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F6A109D7797D615A49187DADBA78A468.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
48907,5604260320769,,PorSi,Pensos Diários Normal - 64 Unidades,,1.49,1.49,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DFB079CBF477779AF2A84A2F43E7FF7B.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C20F8AD2FC19771FE6AB1B975D7F3E8C.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C20F8AD2FC19771FE6AB1B975D7F3E8C.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C20F8AD2FC19771FE6AB1B975D7F3E8C.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C20F8AD2FC19771FE6AB1B975D7F3E8C.jpg,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C20F8AD2FC19771FE6AB1B975D7F3E8C.jpg,
48908,5604260320783,,PorSi,Pensos Diários Super - 52 Unidades,,1.75,1.75,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F80AAE021CDEC037131A12A8A6987B41.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
49179,3600524029661,300.0,Elvive,Condicionador Hidra Hialurónico,300 ml,3.89,12.97,300,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/358E669EEAD046E20A951D3F73537685.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
49362,8410104898342,,Air Wick,"Recarga ambientador elétrico vanilla, 19 ml",,3.59,3.59,1,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4E096C33C031D414CC8D723E9334FC8F.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
49418,8410500012861,1200.0,Actimel Danone,"Probiótico natural 0%, 12 x 100 g",,4.99,4.16,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/31841197B3A773C57C73C74FF0227CFD.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
4987,5601012115505,750.0,Planalto,"Vinho doc douro branco, garrafa de 0.75 l",,5.49,7.32,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D4AD0E54C5A44C41C52E5EE1F77D08EB.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
49981,3021761207269,360.0,Gogo,"Conjunto de saquetas de fruta multifrutos, embalagem de 360g",,1.92,5.33,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1FA9F30217D7DE96A61A6082D1C5EF70.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
50598,8410031972313,120.0,Chupa Chups,"Chupa chups morango lovers bolsa 10u, embalagem de 120g",,1.74,14.5,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6E5C0093BACE1710C42ADED224453107.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
51780,5604260327072,640.0,PorSi,Anticalcario Maquina Roupa Pastilhas  2Em1 40Un,,2.95,4.61,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B87C123E4F1B664C8D665140934F8FB6.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
51783,5604260327676,1000.0,PorSi,Iogurte Líquido Morango E Banana 1kg/ 944ml,,1.59,1.59,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/568FFCB442AD5B312FACD9B2980ADD4A.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
51908,3073781193169,125.0,A Vaca Que Ri,"Queijo fundido light, 125g",,1.79,14.32,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0730F035573CDD0EAEF7489551EC059B.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
51925,8711327587632,2000.0,Lipton,Ice tea lipton chá preto manga zero 2l,,3.19,1.6,2000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/241DBF240C312378317C24947EDC5453.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
52172,5449000233721,1980.0,Coca-Cola,"Refrigerante zero açúcar zero cafeína, pack lata 6 x 330 ml",,4.31,2.18,1980,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E22680B303F184CD56E33D92806D06DF.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
5244,5601151510759,845.0,Compal,"Feijão encarnado, lata de 850g",,2.09,2.47,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DE636824D87F41FA8614ED32FEFF81FF.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
52598,5601217137975,1710.0,Quanto,"Amaciador roupa concentrado frutos silvestres, 95 doses",,3.99,2.33,1710,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1A92BA40F7151350053A912CC4251BEE.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
527,3179140633458,18.0,Vahine,"Corantes alimentares ducros, de 20 ml",,1.99,110.56,18,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/306BC2F5E1BBF8C960F3E2272DA1BA89.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
5273,5601164902343,7920.0,Super Bock,"Cerveja com álcool, pack 24 x 0.33 l",,17.49,2.21,7920,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B20818C9DD1836C39491D27565F038C6.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
52920,0000059095842,50.0,Dove,"Desodorizante Roll On Advanced Original, 50ml",,2.99,59.8,50,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2183AEDEDCEDF4209F45853BE608CFF9.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
52994,5601019005977,350.0,Guloso,"Molho tomate e manjericão, 350g",,3.54,10.11,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4D66C88670773A45D5167B5E30F2B94F.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
53067,5601050037821,620.0,Danone,"Bifidus líquido activia ananás 000%, 4 x 155g",,1.99,3.21,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3D4965FAC6DA56015B0EA60D0CC350AD.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/227608E522C57EFFD851E1F0A8F434F8.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/227608E522C57EFFD851E1F0A8F434F8.jpg,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
53074,8445290014177,2800.0,Purina One,"Ração para Gato Esterilizado Com Frango, 2.8 kg",,15.59,5.57,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AEEDAFDEC9309DF17C98D162A09F7DB9.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FF472FF76794D2946DC102AD40EF55A9.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FF472FF76794D2946DC102AD40EF55A9.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FF472FF76794D2946DC102AD40EF55A9.jpg,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
53246,5601019005984,350.0,Guloso,"Molho tomate salsa e alho, 350g",,3.54,10.11,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/505843663155B42ED722B31E63F42A30.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
53262,8711327597761,360.0,Cornetto,"Gelado filipinos, 4 x 90ml",,3.89,10.81,360,L,€/L,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/187A9562E86FFB8D917A1C414ECC4EB3.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B06A234868C6C8C0E9F6DD974D43ACB2.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B06A234868C6C8C0E9F6DD974D43ACB2.jpg,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
53292,8719200265424,450.0,Becel,"Creme vegetal culinária, 450g",,2.49,5.53,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/731104623BFBA291592C36763AD2ACB6.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FE0F50DA9FD82BB1CA28828D6783A017.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FE0F50DA9FD82BB1CA28828D6783A017.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FE0F50DA9FD82BB1CA28828D6783A017.jpg,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
53358,3600542509381,340.0,Garnier,"Máscara Ultra Suave Tesouros de Mel, 340ml",,4.74,13.94,340,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/14B3FB306114639FE6C5C48E3445FB72.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
53359,5029053583181,,Scottex,Papel Higiénico Húmido Dermo Cuidado 66 unidades,,1.99,1.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/86CB0597DB9C6818650D5AEEB36DEC4D.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A3AE84F8C796A7C58A725BEB392B7C27.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A3AE84F8C796A7C58A725BEB392B7C27.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A3AE84F8C796A7C58A725BEB392B7C27.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A3AE84F8C796A7C58A725BEB392B7C27.jpg,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
53626,3600542509596,340.0,Garnier,Máscara Cabelo Ultra Suave Gama Maravilhosa,Embalagem de 340ml,4.74,13.94,340,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A2A1CFA5E77CBE04FF25DF4E2615ECC1.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
5371,5601237001102,750.0,Catarina,"Vinho branco península de setúbal, garrafa de 0,75 l",,5.69,7.59,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/19D4BC955B202F07F9D85CD38607782B.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
5438,5601314222222,1980.0,Vitalis,"Água mineral sem gás, pack 6 x 0.33 l",,1.39,0.7,1980,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/33D50EDEE051731540B4213BFFB43642.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
54385,8410436468336,,Xtra,"Detergente Máquina Roupa Líquido Universal, 100D",,10.99,10.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E8F2FF6B445C975DC5B49244638348C0.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
54598,5054563036124,125.0,Aquafresh,"Pasta de Dentes Branqueadora Active White, 125ml",,2.89,23.12,125,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7EF7A793D8883EA3562C47721CF204B2.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
54606,8720181466359,720.0,Dove,"Gel de banho hydrate, 720ml",,7.99,11.1,720,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/73576AE98695DDB42CEBA03FBEBB469E.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
54632,5603722523045,1000.0,Gresso,"Leite UHT Meio Gordo, 1L",,0.87,0.87,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/ECF816693AC2579C9FB595FD8ABD96D7.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
54669,5000116128754,200.0,Iglo,"Cordon bleu, 200g",,3.99,19.95,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9A94E635EDF0DAF7EF8F166E06599C57.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
54671,8711327587199,2000.0,Lipton,"Ice tea limao, 2 l",,3.19,1.6,2000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/50E0AE93B7B2DC79031DA2E6F9D15838.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
54687,4008429163333,1400.0,Pedigree,Ração para cão mini com galinha e vegetais 1.4kg,,5.24,3.74,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DB746FFCF413537797F74583601C3274.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
54706,8436048963861,255.0,Artiach,"Bolachas dinosaurus chocolate leite, 255g",,2.49,9.76,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0889D60259FA5C745D92F5E789DD0778.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
54709,5601151966228,1000.0,Compal,"Nectar família frutos do pomar, 1 litro",,0.99,0.99,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/14A5F48168F8F260CE25040B77A55A19.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
54710,5601151966235,1000.0,Compal,"Nectar família manga, maracujá e limão, 1 litro",,0.99,0.99,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C1CADE83C0A902DEBF9CD2122862EF19.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
54763,8720182858290,245.0,Calvé,"Molho cocktail, 245g",,1.94,7.92,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/235F1A0F09B842825C47B4D30251D6FC.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
54802,5603722521539,604.0,Mimosa,"Iogurte liquido morango, 4 x 151 ml",,1.39,2.3,604,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FB51425211E1948B683D88C51AE1A4C5.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
54803,5603722521577,604.0,Mimosa,"Iogurte liquido pêssego, 4 x 151 ml",,1.39,2.3,604,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FCB49B6E55B0295598FF4782F772063D.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
54811,8445290486998,250.0,Nestum,"Nestum chocolate zero +3a, 250 g",,2.24,8.96,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E9CB9399D91E93DDB7A434FFF18ECCD1.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
54876,8700216211307,350.0,Herbal Essences,"Champô Repara Óleo De Argão, 350ml",,3.99,11.4,350,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/60DBFE2085A51A09719C4F04DF9BA79F.jpg,,,,,,,,,,,,,14,3,2025-10-15T23:59:59+01:00,PROSPECTUS,,
54879,8700216210898,250.0,Herbal Essences,"Condicionador Repara Óleo De Argão, 250ml",,3.99,15.96,250,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/35D03C8E60D571649A5E16260DB61852.jpg,,,,,,,,,,,,,14,4,2025-10-15T23:59:59+01:00,PROSPECTUS,,
