identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,avantages_dateFin,avantages_categorie,nro_paginas,page,images_3
1467,5601286236784,500.0,Milaneza,Massa de espirais,Embalagem de 500g,1.04,2.08,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/75C555C38AA58E95CAD2174BF2E349D1.jpg,,,2024-10-30T23:59:59.999999999Z,PROSPECTUS,9,1,
9293,5603722493942,250.0,Primor,Manteiga pasteurizada com sal cuvet,Embalagem de 250g,1.99,7.96,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5B98CBCDF9DE77B1D84C2C6375C3439D.jpg,,,2024-10-30T23:59:59.999999999Z,PROSPECTUS,9,1,
13914,2891225000000,350.0,Frango,Perna com Costa,1 un. = 300 g (aprox.),1.04,2.98,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/89930EDC34D301922B922A95CF09456D.jpg,,,2024-10-30T23:59:59.999999999Z,PROSPECTUS,9,1,
251,2696001000000,400.0,Padaria,Baguete,400 g,0.79,1.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/872B1FA740AE707B5EB206709F5F94A0.jpg,,,2024-10-30T23:59:59.999999999Z,PROSPECTUS,9,1,
8521,5601119956810,120.0,Nobre,Fiambre perna extra fatiado,Embalagem de 120g,1.99,16.58,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/92F6E974DF0D1BEE6EC9B9E40F884B8B.jpg,,,2024-10-30T23:59:59.999999999Z,PROSPECTUS,9,1,
12972,2892040000000,1000.0,Fruta,Banana,1 un = 200 gr (aprox.),1.09,1.09,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C368220872795E9863F1F37C2230CCEA.jpg,,,2024-10-30T23:59:59.999999999Z,PROSPECTUS,9,1,
40592,5603722519420,480.0,Mimosa,"Iogurte fruta batida banana, laranja e bolacha, 480g",,1.69,3.52,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1D09572C6AE538ADBF2B5D0B579F400D.jpg,,,2024-10-30T23:59:59.999999999Z,PROSPECTUS,9,1,
11961,5603722505607,1000.0,Mimosa,Leite s/ lactose meio gordo,Garrafa de 1 l,0.99,0.99,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B50AD06E1D69691E134268704FD849E5.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4E57BFE09E8D859BDBE1705476BB9F1B.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E1F70144AAFCC0EAEBFF05614177D009.jpg,2024-10-30T23:59:59.999999999Z,PROSPECTUS,9,1,
10139,8410108133722,,Evax,"Pensos diários maxiplus, 30 unidades",Uma embalagem,2.39,2.39,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/106932310F0E31B5E0C0FFEE0C90BF95.jpg,,,2024-10-30T23:59:59.999999999Z,PROSPECTUS,9,1,
22953,8411660670236,750.0,Sanytol,Desinfetante Multiusos,Embalagem de 750 ml,2.49,3.32,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4F59BDA8C1BC8BFF3ED00CA4247713EC.jpg,,,2024-10-30T23:59:59.999999999Z,PROSPECTUS,9,1,
5985,5604422145209,1000.0,Macieira,Brandy,Garrafa de 1 l,15.39,15.39,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B32E3266FD6067B7F44159A4FC61A7F0.jpg,,,2024-10-30T23:59:59.999999999Z,PROSPECTUS,9,1,
19702,4008429059278,60.0,Catisfactions,Snack para gato de galinha e pato,Embalagem de 60g,1.69,28.17,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BC2423DF3D64F92045C4DA5AF065B1CE.jpg,,,2024-10-30T23:59:59.999999999Z,PROSPECTUS,9,1,
973,5601024105020,1000.0,Fula,Óleo alimentar,Embalagem 1L,1.49,1.49,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/82D3E88293E42CC5B178C569AA9B57E6.jpg,,,2024-10-30T23:59:59.999999999Z,PROSPECTUS,9,1,
37443,7613037040869,250.0,Nestum,Nestum zero espelta/aveia,Embalagem de 250 g,2.14,8.56,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BF80E2BF1A95765256612BEC5A65D8DD.jpg,,,2024-10-30T23:59:59.999999999Z,PROSPECTUS,9,1,
43016,5601164862401,1200.0,Somersby,Sidra de maçã,pack 6 x 0.2 l,4.49,3.74,1200,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/91F03EF4C01D719425FE57CCF7BA256B.jpg,,,2024-10-30T23:59:59.999999999Z,PROSPECTUS,9,1,
13865,2891042000000,1000.0,Porco,Costeletas do Cachaço,Vendido ao peso a partir de 1 kg,4.98,4.98,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9CC30521C194F3CF0E71F32C6E004880.jpg,,,2024-10-30T23:59:59.999999999Z,PROSPECTUS,9,1,
17402,8412600027233,700.0,Bimbo,Pão forma familiar normal,embalagem de 700 g,1.99,2.84,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DE8CCFFBC376CC9F4596A72F8ABC4CE5.jpg,,,2024-10-30T23:59:59.999999999Z,PROSPECTUS,9,1,
