identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,images_5,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise,nro_paginas,page,images_6,images_7,avantages_dateFin,avantages_categorie
2518,7613033814693,400.0,Nestlé,"Fruta para bebé 7 frutos +6 meses, embalagem de 4 x 100g",,2.39,5.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/18CF4010C8E037B64FBADB6A5A35AF8F.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
15687,5000116109234,700.0,Iglo,"Ervilhas, embalagem de 700g",,3.98,5.69,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AC9F197DD289CE6E6A9903FC824FDD75.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
46824,5603722518270,720.0,Mimosa,"Iogurte magro aroma multi sabores de morango/coco, 6x120g",,1.99,2.76,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C1F13564A32ADE4727C9B834FE2B8090.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
48092,5604260322435,85.0,PorSi Select,Alimento Humido Gato Adulto Com Frango 85G,,0.59,6.94,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D84CC7B70A355206695BB81A8F5D3D9E.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
31436,5607233508829,750.0,Panrico,Pão de forma especial torradas,Embalagem de 750g,1.89,2.52,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E55F9FC30ED3A9561F136B69689D41FE.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
12906,2892001000000,100.0,Fruta,Clementinas,1 un = 100 gr (aprox.),0.17,1.69,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/91DC72E142D597026B000E92136FFB70.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
11982,5603802400020,750.0,Fiuza,"Vinho branco tejo sauvignon, garrafa de 750 ml",,4.99,6.65,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/996291488226B375A67E39537E454FD9.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
12888,2892090000000,500.0,Fruta,Manga Avião,1 un=500 gr (aprox.),2.0,3.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A3E5B8447376E0E91C2C4BB7B1444B76.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/842EA0C904154D230A3A6F63A245D264.jpg,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
13813,2892489000000,250.0,Legumes,Batata Doce,1 un = 250 gr  (aprox.),0.45,1.79,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B0785A3D8A1A6773EB1FB43B119AC4D9.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
13934,2891062000000,250.0,Porco,Rojões,1 un = 250 gr  (aprox.),1.17,4.69,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/925F2FDC1F925A7FD71EE6165315B22E.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
13821,2892597000000,200.0,Legumes,Tomate Cacho,1 un = 200 gr (aprox.),0.25,1.25,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FD67F77AFAB450B6A4FA38E0279E6686.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
12997,2892527000000,300.0,Legumes,Courgette Categoria II,,0.45,1.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/323B806C0CB557ED0F5B2CB32A998FDE.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
13897,2891053000000,1000.0,Porco,Lombo sem Osso,Vendido ao peso a partir de 1 kg,4.99,4.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/415564DA70574ED3C1D7475F1F28BDB6.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
13625,2893620000000,300.0,Peixaria,Salmão de viveiro à posta,1 un. = 300 g (aprox.),3.6,11.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A170DAF9DE78983CFA7E8DD1EFE6A371.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
2785,5601363013222,150.0,Ruffles,"Batata frita presunto, embalagem de 150 g",,1.39,9.27,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7C1F8A2720963F6F12F5A2EE9BFB27BF.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
13866,2891048000000,1000.0,Porco,Bifanas,Vendido ao peso a partir de 1 kg,4.69,4.69,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/72DE0DA6B485199AC995C629E3E4D279.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
13915,2891249000000,2000.0,Peru,Perna com Osso,Vendido ao peso,8.98,4.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EA6C55F440DB29FDE55EB019973B1FE5.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
36728,5604260294343,1000.0,PorSi,Arroz Carolino 1000G,,1.09,1.09,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E73547DEDC8C241F694472535154DB1E.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
10823,2895063000000,250.0,Castelões,Queijo Curado kg,1 un = 250 gr  (aprox.),2.62,10.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/75B6363D9B6BD363EA11623977BF1CB2.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
37744,5604260301805,540.0,PorSi,Feijão manteiga,Frasco com 540 g,0.85,1.57,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B9B74EE9D5F4C86738772A5B6758433E.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
40514,5604260302321,2000.0,PorSi,Ice Tea Pêssego 2L,,1.19,0.6,2000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/119C3CB73CD40DA468E2E6CBB1420B8C.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
11523,5601051410029,250.0,Primor,"Manteiga com sal, 250g",,2.14,8.56,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6515E45A6FB2F6024F4DECB68FB265B3.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
11925,5603089002221,200.0,Parmalat,"Nata uht para culinária, embalagem de 200 ml",,0.99,4.95,200,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6D33922CAD380AFD4F287905CBB6BE3F.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
13884,2891106000000,2000.0,PorSi Select,Frango do Campo Inteiro c/ Miúdos Programa Origens,Vendido ao peso,7.96,3.98,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4004CE88E12A24D0AD85684C27210FBB.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
1475,5601286273789,500.0,Milaneza,"Massa fusilli tricolor, embalagem de 500g",,1.26,2.52,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/89BD68C65931C04722FA40DDD3898CB2.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
14908,2893723000000,600.0,Peixaria,Dourada Pequena,"Vendido ao peso, de 200 a 600 g",4.49,7.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AFF5C8795A7F86F3C0C55DCFF44363C3.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
