identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,avantages_dateFin,avantages_categorie,nro_paginas,page,images_3
14684,0000080177173,350.0,Nutella,Creme para barrar de avelãs e cacau,Embalagem de 350G,4.29,12.26,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3277225B3D0CAE93D52B7650F565CAA9.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
9293,5603722493942,250.0,Primor,Manteiga pasteurizada com sal cuvet,Embalagem de 250g,1.99,7.96,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5B98CBCDF9DE77B1D84C2C6375C3439D.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
1323,5601163020512,9000.0,Luso,Água s/ gás,Pack 6 x 1.5 l,3.48,0.39,9000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/571D03B7CBBBB17BF53B16AF9AF5385C.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
26047,8412600070994,650.0,Bimbo,Pão de forma s/ côdea,Embalagem de 650 g,2.09,3.22,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/998967574B383CCF8D49F03316F06108.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
22232,8410320104500,80.0,Campofrio,Salame fat,Embalagem de 80g,1.59,19.88,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/55984918C252981E6C8956EFD4419256.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
12972,2892040000000,1000.0,Fruta,Banana,1 un = 200 gr (aprox.),1.09,1.09,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C368220872795E9863F1F37C2230CCEA.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
18595,8410500016012,400.0,Danonino Danone,"Iogurte líquido danonino morango,  4 x 100 g",,1.99,4.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0E203361E14F23CD94ABD0BD721CC32D.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
9292,5603722493812,250.0,Matinal,Manteiga Magra,Embalagem de 250g,2.29,9.16,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B0EFE8F0BAC9D546B0137E2AAE6CB19F.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
16066,7509546064864,75.0,Colgate,Pasta de dentes max white expert white,Embalagem de 75 ml,3.84,51.2,75,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0EA2A285777A75857921065AAC674A4A.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
16607,8712561521529,700.0,Cif,Creme abrasivo original,Garrafa de 700 ml,2.69,3.84,700,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/30CCCA0B503F489882A8FCB31275E9C6.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
10883,3147690024804,750.0,Cruz,Porto special reserva," garrafa de 0,75 l",9.99,13.32,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5412F5BAD71AEECD499C4A815F23A7D8.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
15489,7613031884247,4000.0,Friskies,"Ração para gato adulto com vaca, frango",Embalagem de 4kg,10.79,2.7,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3758935B87F55535F41EEF08B41E8342.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
1188,5601119007970,200.0,Nobre,Salsichas de porco,Lata de 200g,1.39,6.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/01CF2549C0E08C23060DD310D0C9B5DD.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
13048,2893561000000,250.0,Marisco,Ameijoa Branca Vietnamita Congelada,Vendido a partir de 250 gr  (aprox.),0.5,1.99,0,,€/Kg,,Avantages !,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EB1BC296FF41180E6F3E1626AD4F78AA.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
31908,8001090134226,,Dodot,Toalhita Azul,Embalagem de 64 un.,0.99,0.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A40107D24C6ED2C9535BA1C356D2F9D5.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
14861,2696026000000,90.0,Padaria,Pão da Avó 90 g,,0.29,3.22,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/181141F58BD1675F6CCB7D7436484D87.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
13522,2893514000000,200.0,Peixaria,Choco Pequeno Congelado,1 un= 200 gr (aprox.),1.9,9.49,0,,€/Kg,,Avantages !,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/37754AAC1A8B81BA5D21C470572981B5.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
24370,5601050033052,620.0,Danone,"Iogurte líquido morango / framboesa corpos danone,  4 x 155 g",,1.89,3.05,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/944714BB6E54D611AAE53F4C9C525265.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
14698,7613034570512,90.0,Nestlé,Fruta para bebé 4 frutas +4 meses,Embalagem de 90g,0.78,8.67,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0783A3CBD6B546AE24E09BF08DF0A429.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
52919,0000059095330,50.0,Dove,Desodorizante Roll-On Advanced Talc 48h,Embalagem de 50 ml,2.99,59.8,50,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5C49F244E4A2890D7D6E61B39AE881B6.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
51113,8720181262784,500.0,Cif,"Limpa Casa Banho Spray Higiene c/ Lixívia, 500 ml",,1.99,3.98,500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/269947C1E7ED82654B4A41635C3A67E7.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
8915,5601356013925,750.0,Porta da Ravessa,Vinho doc alentejo reseva branco,Garrafa de 0.75 l,2.99,3.99,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/11D5FD31BE53576219787F9D101E8F85.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
2778,8410168399939,4000.0,Friskies,Ração para gato adulto com coelho,Embalagem de 4 kg,10.79,2.7,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D77E234EEC231A513DCFB3E4E6B53BA0.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
13897,2891053000000,1000.0,Porco,Lombo sem Osso,Vendido ao peso a partir de 1 kg,4.99,4.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/415564DA70574ED3C1D7475F1F28BDB6.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
15161,5604260274246,1000.0,PorSi,Cenouras Programa Origens,Embalagem de 1 kg,0.89,0.89,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2C5D90EF430B0C18141C519CD5070475.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
12909,2892005000000,250.0,Fruta,Laranja Económica,1 un = 250 gr  (aprox.),0.35,1.39,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E1EAB292C303D77FDC2FE941695C0092.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
13865,2891042000000,1000.0,Porco,Costeletas do Cachaço,Vendido ao peso a partir de 1 kg,4.98,4.98,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9CC30521C194F3CF0E71F32C6E004880.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
