identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,avantages_dateFin,avantages_categorie,nro_paginas,page,images_4,images_5,images_6,images_7
50394,8720181192111,150.0,Axe,"Desodorizante aero epic fresh, de 150 ml",,2.99,19.93,150,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3C80774091E79B2789B93D66067912AF.jpg,,,,2026-03-18T23:59:59Z,PROSPECTUS,15,1,,,,
5521,5601692071214,1000.0,Bom sucesso,"Arroz agulha, embalagem de 1 kg",,1.09,1.09,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/393929D01B09747982258DD594BE66FB.jpg,,,,2026-03-18T23:59:59Z,PROSPECTUS,15,1,,,,
38970,5603722518805,,Castelões,"Queijo curado -30% gordura, 500 g",,5.89,5.89,1,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/72A7031F9A56666D6A179BF7A6411A71.jpg,,,,2026-03-18T23:59:59Z,PROSPECTUS,15,1,,,,
1297,5601151543313,1000.0,Compal,"Néctar de pêssego, embalagem de 1l",,0.99,0.99,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/08E04D043544808C4F3901CA5FF6A2F4.jpg,,,,2026-03-18T23:59:59Z,PROSPECTUS,15,1,,,,
41299,5601050036565,440.0,Danone,"Iogurte oikos maracujá, embalagem de 4 x 110g",,1.89,4.3,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/29553156A2F0422FEBEDFC7E0CF7883D.jpg,,,,2026-03-18T23:59:59Z,PROSPECTUS,15,1,,,,
57585,3600523586349,400.0,Elvive,"Champô Elvive Dream Long, emb. 400 ml",,3.79,9.48,400,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A08AAA160D70335374868EE6F725FC69.jpg,,,,2026-03-18T23:59:59Z,PROSPECTUS,15,1,,,,
54396,3600523625741,300.0,Elvive,"Condicionador Dream Long, 300ml",,3.79,12.63,300,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5B861BB844DCC60C232A0802F8263CAF.jpg,,,,2026-03-18T23:59:59Z,PROSPECTUS,15,1,,,,
15489,7613031884247,4000.0,Friskies,"Ração para gato adulto com vaca, frango, embalagem de 4kg",,9.99,2.5,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AA74DE430E0D577781082E763F8D5C13.jpg,,,,2026-03-18T23:59:59Z,PROSPECTUS,15,1,,,,
44059,5601363012683,160.0,LayS,"Batata frita lisas originais, embalagem de 160g",,1.34,8.38,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D6B617CBD0A985504B50100E928DB47C.jpg,,,,2026-03-18T23:59:59Z,PROSPECTUS,15,1,,,,
1467,5601286236784,500.0,Milaneza,"Massa de espirais, embalagem de 500g",,0.97,1.94,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/90F3AD9985391E2BB3C76374F1217643.jpg,,,,2026-03-18T23:59:59Z,PROSPECTUS,15,1,,,,
11496,5601049213991,200.0,Mimosa,"Nata uht, embalagem de 200 ml",,0.85,4.25,200,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8FC5ABCE23EB48F851FFE29C53BFA5D9.jpg,,,,2026-03-18T23:59:59Z,PROSPECTUS,15,1,,,,
54983,8445290957382,200.0,Nestle,"Bebida Cereais e Fibra Bolero, 200g",,2.38,11.9,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F397CD628FE22B9AB72F479CD53D8BF2.jpg,,,,2026-03-18T23:59:59Z,PROSPECTUS,15,1,,,,
2309,5604260271801,2000.0,PorSi,Cola Zero 2l,,0.75,0.38,2000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B3B2D30749328B98E0A5409203C1AF4C.jpg,,,,2026-03-18T23:59:59Z,PROSPECTUS,15,1,,,,
2778,8410168399939,4000.0,Purina Friskies,"Ração para Gato Adulto Coelho, Frango e Legumes, emb. 4 kg",,9.99,2.5,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/48E426D2CA0EFD97E75332E6A0553A7B.jpg,,,,2026-03-18T23:59:59Z,PROSPECTUS,15,1,,,,
19414,5601028024716,,Renova,"Papel Higiénico Puríssimo 3 Folhas, embalagem c/ 12 rolos",,4.79,4.79,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6371FB49C9F37CFE36AA4E28DFBAAFF4.jpg,,,,2026-03-18T23:59:59Z,PROSPECTUS,15,1,,,,
49359,5601146700066,6000.0,Sagres,"Cerveja com Álcool Mini, emb. 24 x 25 cl",,10.99,1.83,6000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F20A269CA928E43FDC723A9CF664F032.jpg,,,,2026-03-18T23:59:59Z,PROSPECTUS,15,1,,,,
44048,5054563101846,75.0,Sensodyne,Dentífrico branqueador,Embalagem de 75 ml,2.79,37.2,75,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3FCEF381523EF43D48FAABB009CAAFFA.jpg,,,,2026-03-18T23:59:59Z,PROSPECTUS,15,1,,,,
16343,5601151978856,6000.0,Serra da estrela,"Água sem gás, garrafão de 6l",,1.39,0.23,6000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8D402342781DACEBEA13B36CE32D8EBF.jpg,,,,2026-03-18T23:59:59Z,PROSPECTUS,15,1,,,,
55261,8445291133563,220.0,Sical,"Café Moído Moagem Grossa Int 10, emb. 220 gr",,3.89,17.68,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/26E77AAA63D51AF821232FF21D1A167F.jpg,,,,2026-03-18T23:59:59Z,PROSPECTUS,15,1,,,,
8672,5601164902589,5000.0,Super Bock,"Cerveja com Álcool Mini, emb. 20 x 25 cl",,9.69,1.94,5000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2F3621A27B73789EDA7DDA7347F7A8AE.jpg,,,,2026-03-18T23:59:59Z,PROSPECTUS,15,1,,,,
12997,2892527000000,300.0,Legumes,Courgette Categoria II,,0.66,2.19,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/323B806C0CB557ED0F5B2CB32A998FDE.jpg,,,,2026-03-18T23:59:59Z,PROSPECTUS,15,1,,,,
13866,2891048000000,1000.0,Porco,Bifanas,Vendido ao peso a partir de 1 kg,3.99,3.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/72DE0DA6B485199AC995C629E3E4D279.jpg,,,,2026-03-18T23:59:59Z,PROSPECTUS,15,1,,,,
54632,5603722523045,1000.0,Gresso,"Leite UHT Meio Gordo, 1L",,0.87,0.87,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/ECF816693AC2579C9FB595FD8ABD96D7.jpg,,,,2026-03-18T23:59:59Z,PROSPECTUS,15,1,,,,
13813,2892489000000,250.0,Legumes,Batata Doce,1 un = 250 gr  (aprox.),0.37,1.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B0785A3D8A1A6773EB1FB43B119AC4D9.jpg,,,,2026-03-18T23:59:59Z,PROSPECTUS,15,1,,,,
13897,2891053000000,1000.0,Porco,Lombo sem Osso,Vendido ao peso a partir de 1 kg,4.99,4.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/415564DA70574ED3C1D7475F1F28BDB6.jpg,,,,2026-03-18T23:59:59Z,PROSPECTUS,15,1,,,,
36926,5604260296729,200.0,PorSi,Queijo Flamengo Ralado 200g,,1.49,7.45,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F6D59516B9D2618D85900EEE413C27AC.jpg,,,,2026-03-18T23:59:59Z,PROSPECTUS,15,1,,,,
13947,2891125000000,150.0,Peru,Espetadas de Peru,1 un = 150 gr (aprox.),1.02,6.79,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7051DD49B64096A6B46E7815DD618A85.jpg,,,,2026-03-18T23:59:59Z,PROSPECTUS,15,1,,,,
52364,5604260329939,820.0,PorSi,Pão de Forma com Côdea 820 G,,1.49,1.82,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B78834FE4BC9A22E77BF6F3F4EDC530F.jpg,,,,2026-03-18T23:59:59Z,PROSPECTUS,15,1,,,,
14882,2891118000000,1600.0,Frango,Frango Inteiro Grande,1 un = 1.6 kg (aprox.),3.98,2.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3581EC31F0B1F288A68020FE172EC513.jpg,,,,2026-03-18T23:59:59Z,PROSPECTUS,15,1,,,,
15279,5604260276356,200.0,PorSi,Queijo Flamengo Fatiado 200g,,1.89,9.45,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/85DD1F9692D11A8FD3C2C7B23D4282CC.jpg,,,,2026-03-18T23:59:59Z,PROSPECTUS,15,1,,,,
34877,5604260285464,1500.0,PorSi,Maçã royal gala categoria II Programa Origens,Embalagem de 1.5 kg,1.99,1.33,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F091E3663EBAE6E7A8981702DFBCC609.jpg,,,,2026-03-18T23:59:59Z,PROSPECTUS,15,1,,,,
