identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,avantages_dateFin,avantages_categorie,nro_paginas,page,images_3,images_4,images_5,images_6
15161,5604260274246,1000.0,PorSi,Cenouras Programa Origens,Embalagem de 1 kg,0.89,0.89,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/558C3AC1450C10C8B2395D06441C5423.jpg,,,2025-12-10T23:59:59Z,PROSPECTUS,13,1,,,,
2633,8000500009673,300.0,Ferrero Rocher,24 bombons de chocolate,Embalagem de 300g,7.99,26.63,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E317A294CA729B20467C7A25BF19481B.jpg,,,2025-12-10T23:59:59Z,PROSPECTUS,13,1,,,,
18770,5449000138026,1500.0,Fanta,"Refrigerante com Gás Laranja sem Açúcar, garrafa 1,5 lt",,0.99,0.66,1500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DE34E5B994CDF7FCC42CE983A86D82DE.jpg,,,2025-12-10T23:59:59Z,PROSPECTUS,13,1,,,,
11755,5601511000623,400.0,Limiano,"Queijo fatias -50% de gordura, 400g",,4.39,10.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1F49DD4803359F1338D0D32889490E90.jpg,,,2025-12-10T23:59:59Z,PROSPECTUS,13,1,,,,
13866,2891048000000,1000.0,Porco,Bifanas,Vendido ao peso a partir de 1 kg,3.99,3.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/72DE0DA6B485199AC995C629E3E4D279.jpg,,,2025-12-10T23:59:59Z,PROSPECTUS,13,1,,,,
28640,5054563030948,75.0,Aquafresh,Dentífrico Tripla Proteção,Embalagem de 75 ml,1.84,24.53,75,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3F822B9D22CAC67DC8DBD8698E3FBBBD.jpg,,,2025-12-10T23:59:59Z,PROSPECTUS,13,1,,,,
13048,2893561000000,250.0,Marisco,Ameijoa Branca Vietnamita Congelada,Vendido a partir de 250 gr  (aprox.),0.5,1.99,0,,€/Kg,,Avantages !,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EB1BC296FF41180E6F3E1626AD4F78AA.jpg,,,2025-12-10T23:59:59Z,PROSPECTUS,13,1,,,,
251,2696001000000,400.0,Padaria,Baguete,400 g,0.79,1.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/42C2E126B9E5B84C243F0668DEC3869F.jpg,,,2025-12-10T23:59:59Z,PROSPECTUS,13,1,,,,
19415,5601028019798,,Renova,"Rolo de cozinha design xxl, 3 rolos",,1.99,1.99,3,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9A25E60B9B6B556C2D19CB0AC3EE543B.jpg,,,2025-12-10T23:59:59Z,PROSPECTUS,13,1,,,,
13814,2892558000000,250.0,Legumes,Feijão Verde,1 un = 250 gr  (aprox.),0.87,3.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5688B97D5E073F1C8E51E2F8542D9EC1.jpg,,,2025-12-10T23:59:59Z,PROSPECTUS,13,1,,,,
9014,5601531102123,750.0,Moncao,"Vinho verde tinto, garrafa de 750 ml",,2.24,2.99,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A755AB40D0B6E1463D08067F6ED22024.jpg,,,2025-12-10T23:59:59Z,PROSPECTUS,13,1,,,,
15489,7613031884247,4000.0,Friskies,"Ração para gato adulto com vaca, frango, embalagem de 4kg",,10.79,2.7,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AA74DE430E0D577781082E763F8D5C13.jpg,,,2025-12-10T23:59:59Z,PROSPECTUS,13,1,,,,
2466,7613032142599,500.0,Cerelac,Farinha láctea 12 meses,Embalagem de 500g,3.74,7.48,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4E708CAF1A60A052407E76B7A92102F7.jpg,,,2025-12-10T23:59:59Z,PROSPECTUS,13,1,,,,
30414,4015400917304,480.0,Fairy,Detergente Liquido Loiça Original,480 ml,2.54,5.29,480,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BDA62A6B9333A70897E09AEAD0B62BBF.jpg,,,2025-12-10T23:59:59Z,PROSPECTUS,13,1,,,,
25882,5449000133328,1000.0,Coca-Cola,"Refrigerante com Gás Cola Zero, emb. 1 lt",Garrafa de 1 l,1.22,1.22,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EB5646C1819F93681606ED25E6CF32EB.jpg,,,2025-12-10T23:59:59Z,PROSPECTUS,13,1,,,,
35138,5603722517655,960.0,Mimosa,"Iogurte sólido aroma morango, ananás e banana, 8 x 120 g",,1.89,1.97,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7070B93AC2DB23DCF61734D801E40E6D.jpg,,,2025-12-10T23:59:59Z,PROSPECTUS,13,1,,,,
47756,8006540429570,,Evax,Pensos Higiénicos Cottonlike Super com Abas,24 unidades,4.19,4.19,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CB96220255FB9E0900323CF49B786012.jpg,,,2025-12-10T23:59:59Z,PROSPECTUS,13,1,,,,
27547,7613036101417,240.0,Cerelac,"Papa Infantil Láctea Aveia, Manga e Banana Seleção da Natureza +6M, emb. 240 gr",Embalagem de 240g,2.99,12.46,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9A1D77EE17F24474E65CF475B4161F9F.jpg,,,2025-12-10T23:59:59Z,PROSPECTUS,13,1,,,,
