identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,images_5,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise,nro_paginas,page,avantages_dateFin,avantages_categorie
8383,5601049132995,1000.0,Mimosa,"Leite uht meio gordo, embalagem de 1litro",,0.9,0.9,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6FB52C843F677BD37D399D45BB10B38B.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AE810093A08CEBD60415DCC626CF5804.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A0562293538F541B1B99592AA046327B.jpg,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
13886,2891108000000,1000.0,Frango,Bife de Frango,Vendido ao peso a partir de 1 kg,5.99,5.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/519BDC237EE2CC43FB5B010D4FF5A15B.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
13783,2892309000000,250.0,Fruta,Uva Branca,1 un = 250 gr  (aprox.),0.62,2.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/46D5C18E4CCEA1EBE0EC2064D73FB81C.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
13865,2891042000000,1000.0,Porco,Costeletas do Cachaço,Vendido ao peso a partir de 1 kg,4.89,4.89,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D0D96FA697CD7DF7D0B353E0ED0B1193.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
9727,5604260273058,200.0,PorSi,Queijo Mozzarela Ralado 200G,,1.64,8.2,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/87A294803531F1557BAF63F77686243B.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
12110,5604260266630,400.0,PorSi,Croissant Simples,,1.82,4.55,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/78ED6B7D0ECF488C060F07EB85C79AA9.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
12889,2892175000000,150.0,Fruta,Kiwi categoria II,1 un = 150 gr (aprox.),0.57,3.79,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/39D74C337E358C98856B0EB2FC79D7A8.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
13892,2891041000000,1000.0,Porco,Costeletas do Lombo,Vendido ao peso a partir de 1 kg,4.79,4.79,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/589E4AFE71E19AF7FEB32FB0C0E176FF.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
34239,5604260285495,1500.0,PorSi,Pera rocha categoria II Programa Origens,Embalagem de 1.5 kg,2.49,1.66,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F6E3096BF97BB2633EACD15A32FEACF7.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/11ABC193A8AF1413E11E1849F00D2775.jpg,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
49888,5604260319343,200.0,PorSi,Salame Fatiado 200G,,1.99,9.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8B61E0046B0E096FD5C847D0E5E118CA.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
52882,8719200267923,1000.0,Planta,"Creme vegetal de barrar com sabor a manteiga, 1 kg",,4.99,4.99,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7FA2022C1B0ECE643B6D5766E124CAA0.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CA359583CDC4B85860A9620A14431005.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CA359583CDC4B85860A9620A14431005.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CA359583CDC4B85860A9620A14431005.jpg,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
8384,5601049133992,1000.0,Mimosa,"Leite uht magro, embalagem de 1litro",,0.9,0.9,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/128AB814EBA9C0783B386EB2E0A38CC9.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8C350978140C257D0AAD7365CD133F0C.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B9BED9F397071733FB4D36CBE39ECDBA.jpg,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
1120,5601066301718,500.0,Nacional,"Massa de espirais, embalagem de 500g",,0.89,1.78,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B50E4B0B2C4856A819A2FF672D887104.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
11466,5601018004605,200.0,Gresso,Nata uht para bater 200 ml,,0.85,4.25,200,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6D55411BE639B830632A68D20D002036.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
11961,5603722505607,1000.0,Mimosa,"Leite sem lactose meio gordo, de 1l",,1.15,1.15,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A98ED8A0E5E675A3AC1A551BCE75B0AB.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4E57BFE09E8D859BDBE1705476BB9F1B.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E1F70144AAFCC0EAEBFF05614177D009.jpg,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
13894,2891044000000,1000.0,Porco,Entremeada sem Entrecosto,Vendido ao peso a partir de 1 kg,4.89,4.89,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/033DDCE7C7F9A9CD99F0A4BEB2F74462.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
13897,2891053000000,1000.0,Porco,Lombo sem Osso,Vendido ao peso a partir de 1 kg,4.49,4.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/415564DA70574ED3C1D7475F1F28BDB6.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
14372,8712100599392,550.0,Calvé,"Ketchup top down, embalagem de 550g",,2.59,4.71,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6D3218F33B22BC3205033BC41E176600.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FE7F103C359D2D1FD7BF3FDC8DD381BA.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FE7F103C359D2D1FD7BF3FDC8DD381BA.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FE7F103C359D2D1FD7BF3FDC8DD381BA.jpg,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
14847,2892476000000,100.0,Programa Origens,Alho Seco,Vendido a partir de 100 gr,0.57,5.69,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CFA3B1E723D71FB9BFAE5D5B250C3BB3.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
26047,8412600070994,650.0,Bimbo,Pão de forma s/ côdea,Embalagem de 650 g,2.09,3.22,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5D9620F17746A1D49642D0DCBD72A2D3.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
30638,5607233511584,435.0,Panrico,Pão de Forma Cerealia 14 Cereais e Sementes 0% Açúcares,Embalagem de 440g,1.99,4.57,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/80E82D3789FD680BAAA3FD45989D08CD.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
43215,5603722519802,300.0,Castelões,"Queijo curado fatias sem lactose, 2x150g",,3.49,11.63,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/00AFD4E031A3F72FB642915439BD8EFE.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
50512,8410500028206,160.0,Yopro,"Iogurte sólido morango, 160g",,1.19,7.44,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C7763B1A02C9FEA40E0EF3C346F50324.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
15067,2892316000000,250.0,Fruta,Uva Preta,Vendido a partir de 250 gr,0.72,2.89,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4F4795348FA586A8E3CABDD66C4FA2E8.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
17174,2891285000000,1000.0,Novilho,Costeletão,Vendido ao peso a partir de 1 kg,11.49,11.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3119B572BBCB66D5B0D8D4234718B722.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
29899,2696008000000,,Padaria,Bola Rústica,85 g,0.27,0.27,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/06C705452DA793A390CC49C0690F6BDD.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
35138,5603722517655,960.0,Mimosa,"Iogurte sólido aroma morango, ananás e banana, 8 x 120 g",,1.89,1.97,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7070B93AC2DB23DCF61734D801E40E6D.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
38321,2696806000000,250.0,Padaria,Pão gémeos,250 g,0.59,2.36,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A99E9F55D9FD5180D848A5ADDB578F15.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
40558,5604260301164,220.0,PorSi,Suisse Croc Morango 2X110G,,1.49,6.77,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AA181D6FCE0CA0A44C9A0F2F8A8253EE.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
41622,5604260304585,5000.0,PorSi,Areia Para Gatos Mineral Perfumada 5Kg,,1.79,0.36,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/471523428A34BCB5DDD5150968022974.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
43878,2773120000000,400.0,PorSi,"Strogonoff de Frango, embalagem de 400g (aprox.)",,3.4,8.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B0564C72162089A88CD1254AA02E059D.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
45773,5054563087829,75.0,Aquafresh,"Pasta dentífrica eucalipto, lima e menta",Embalagem de 75ml,1.84,24.53,75,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1F94A046F2A6C727F7B6BE2D468B428F.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
46310,2696876000000,20.0,Padaria,Pão de queijo,1 un. = 20 g,0.19,9.5,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A67910D9562F896034448149C3EA4AF4.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
50658,7622201724443,150.0,Philadelphia,Queijo creme philadelphia light 150g,,1.79,11.93,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8FABEA35481B05FDB647E4BD69595A1D.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
52566,5604260329502,555.0,PorSi,Cogumelos Laminados,Pack de 3 x 185 g,2.25,4.05,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CAE31729F1814975AABE2147FB00CFB2.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
52831,5411188139386,750.0,Alpro,"Bebida soja alto teor proteína, 750 ml",,1.59,2.12,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/49ADB141EE7D3ED699ADC3A17F20F163.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
6267,8016825926687,75.0,Aquafresh,Pasta dentífrica menta fresca,Embalagem de 75 ml,1.84,24.53,75,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5AF61545461116CEF40994D7E37A4C54.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
6819,8712566125982,420.0,Olá,"Gelado perna de pau, embalagem de 6 x 70 ml",,2.99,7.12,420,L,€/L,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CDB6594198A7D84CB46AB7CA0CA9C95D.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CDF3DFE8D09454EBB2363B5EF224B65F.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CDF3DFE8D09454EBB2363B5EF224B65F.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CDF3DFE8D09454EBB2363B5EF224B65F.jpg,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
7240,3073780902366,120.0,Babybel,"Queijo mini, embalagem de 6x20g",,2.19,18.25,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6C2DE3890EBA9017D3E1816FF66A93E8.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
10597,8712100326356,360.0,Olá,"Gelado fizz limão, embalagem de 6 x 60 ml",,2.99,8.31,360,L,€/L,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/234F906CA10C5C87A7F2D2188B0A37DA.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
1114,5601066300780,500.0,Nacional,"Massa de maçarrão riscado, embalagem de 500g",,0.89,1.78,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6E823110DFCFAB922E5CE2EEC9376131.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
11503,5601050019100,600.0,Danone,"Danacol frutos exóticos, embalagem de 6 x 100 g",,2.99,4.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2A16EAD58E7A10ECD338C77C33D25273.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
12998,2892529000000,200.0,Legumes,Cogumelos Granel,1 un = 200 gr (aprox.),0.8,3.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/21980CA05745F31B22EE237361B7FEB6.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
13896,2891049000000,1000.0,Porco,Fígado,Vendido ao peso a partir de 1 kg,2.49,2.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5F0E3D04B0DBB043B98FC650B4149C34.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
13950,2891145000000,100.0,Porco,Salsicha Fresca,1 un = 100 gr (aprox.),0.54,5.39,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2E1CED7EDF010F56C2BF0E6CDF74D52B.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
14568,8414516001161,250.0,Florette,"Salada toscana, embalagem de 250 g",,1.49,5.96,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7A8AB6F020FBCE4F95A94F76648CD544.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
14641,5603722513879,1500.0,Pleno,"Tisana de chá verde/limão light, de 1,5 l",,1.59,1.06,1500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F6BF791EA11EAC23396FF6DFA2CA04B8.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
15507,5601050031621,480.0,Danone,"Iogurte activia cremoso coco,  4 x 120 g",,1.99,4.15,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C7C13400244FC9F141DCEBAD00E0F9D5.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
16939,7622210475411,171.0,Triunfo,"Bolacha digestiva go canela, embalagem de 170g",,1.84,10.76,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D9C53D2478AF2B3727D495A573D3A599.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
18376,5601027009769,480.0,Panrico,Pão de forma sem côdea 9 cereais,Embalagem de 480g,1.99,4.15,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/202DA3E3189533F2DED569B04263CF8C.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
18770,5449000138026,1500.0,Fanta,"Refrigerante com gás de laranja zero, garrafa de 1,5 l",,0.99,0.66,1500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DE34E5B994CDF7FCC42CE983A86D82DE.jpg,,,,,,2025-09-24T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
18778,5604260274963,200.0,Porsi Sel.,Alheira De Mirandela Ig 200G,,1.49,7.45,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/93E265B38537CF7D9CC71734EEF39C20.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,15,1,,
