identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,images_5,avantages_dateFin,avantages_categorie,nro_paginas,page
52827,8720608038411,36.0,Lipton,"Tisana detox drenar & tonificar, 20 unidades",,2.09,58.06,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/49CDBE1F34B3C965826C7D51A85F7FAA.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/19C457D26C9D458BA7A22FDC8BF7F9BC.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/19C457D26C9D458BA7A22FDC8BF7F9BC.jpg,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,3
52839,8720181380686,,Skip,"Detergente roupa máquina cápsulas skip baby embalagem cartão, 32 doses",,8.99,8.99,32,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/83B6776B3BDE1EBDB9D95FE2C245BC15.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9D5657D4263153C15B398271532DDB88.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9D5657D4263153C15B398271532DDB88.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9D5657D4263153C15B398271532DDB88.jpg,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,3
52856,5411188137993,400.0,Alpro,"Yofu mirtilo, 400g",,1.99,4.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/485F657BAFD51912DFB54A5C99A1A224.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/11533D920C6F50B230FF02F2A50E7E1F.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/11533D920C6F50B230FF02F2A50E7E1F.jpg,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,3
52865,5601096422186,750.0,Vale D. Maria,"Vinho branco do douro superior, garrafa de 750 ml",,7.49,9.99,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D5B94116ED331DA729E81AE0E9BE658D.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AFACB73DE4D272FAFE8147E6EBFCE45C.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AFACB73DE4D272FAFE8147E6EBFCE45C.jpg,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,3
52882,8719200267923,1000.0,Planta,"Creme vegetal de barrar com sabor a manteiga, 1 kg",,4.99,4.99,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7FA2022C1B0ECE643B6D5766E124CAA0.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CA359583CDC4B85860A9620A14431005.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CA359583CDC4B85860A9620A14431005.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CA359583CDC4B85860A9620A14431005.jpg,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,3
52886,5603722523113,200.0,Mimosa,"Natas para carne, 200 ml",,1.04,5.2,200,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4EBFFD3487ED8CD46A9B8FA3FCE4C121.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/974E5E2703AF4694FB78F37DC9D40DC9.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/974E5E2703AF4694FB78F37DC9D40DC9.jpg,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,3
52887,5603722523137,200.0,Mimosa,"Natas para massas, 200 ml",,1.04,5.2,200,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/836A8DFC9F960FD6B745222B729AE7FC.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F3EDAE46E372CBB78EE7DEA3A9DB3BD9.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F3EDAE46E372CBB78EE7DEA3A9DB3BD9.jpg,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,3
52889,8720181385094,945.0,Skip,"Detergente líquido máquina de roupa baby, 21 doses",,3.99,4.22,945,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/88B9AA7AC23F4BC407E554F7DDCFF45B.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F71A2C4911172C11157AB331E2B3BEF3.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F71A2C4911172C11157AB331E2B3BEF3.jpg,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,3
52897,8720181392917,1332.0,Comfort,"Amaciador concentrado essência pure, 74 doses",,3.49,2.62,1332,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F5C0D70B94DAAFB0949EA4EE48242D35.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6C81AB307354BD851AD24288672BBAB9.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6C81AB307354BD851AD24288672BBAB9.jpg,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,3
53008,5775345205384,700.0,Sunquick,"Concentrado de maracujá mix, garrafa de 700 ml",,5.19,7.41,700,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A67AB5B50F385D9314F8D31955C110FC.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5389434D1C5481A1E2137E6ACD009273.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5389434D1C5481A1E2137E6ACD009273.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5389434D1C5481A1E2137E6ACD009273.jpg,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,3
53044,8720181368769,4320.0,Omo,"Detergente roupa máquina líquido, 96 doses",,8.99,2.08,4320,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/30BA46CDC8291B3E0F7206BAD1197FAE.jpg,,,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,3
53163,8445291099418,,Buondi,"Café original nespresso, 10 cápsulas",,3.29,3.29,10,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6E46F1C9FB77DF7B2C9479B336DCC810.jpg,,,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,3
53336,8700216197991,,Dodot,"Fraldas sensitive t1 2 a 5kg, 84 unidades",,15.74,15.74,84,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CB496AAE991E44351C4AD066DC666BB0.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8CC2F2164AA9CD1E1BD5CF1DF7F4ED21.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8CC2F2164AA9CD1E1BD5CF1DF7F4ED21.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8CC2F2164AA9CD1E1BD5CF1DF7F4ED21.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8CC2F2164AA9CD1E1BD5CF1DF7F4ED21.jpg,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,3
53525,8001090279132,,Gillette,"Lâminas Depilação Descartáveis Venus Basic, 10 unidades",,3.39,3.39,1,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DC7EF02C539ADEA96E7B514142F78F59.jpg,,,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,3
53667,5054563109705,75.0,Sensodyne,Pasta de Dentes Multiprotection Branqueadora,Embalagem de 75ml,3.96,52.8,75,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/94E99A1DF4FA94D15532DE9F772BF6D5.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/79C3CD129F06F9A8E203F1CDCCF40417.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/79C3CD129F06F9A8E203F1CDCCF40417.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/79C3CD129F06F9A8E203F1CDCCF40417.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/79C3CD129F06F9A8E203F1CDCCF40417.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/79C3CD129F06F9A8E203F1CDCCF40417.jpg,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,3
