identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,images_5,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise,nro_paginas,page,images_6,avantages_dateFin,avantages_categorie
16105,5601146703463,7500.0,Sagres,"Cerveja com Álcool Mini, emb. 30 x 25 cl",,13.49,1.8,7500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8AED8878F83EE06034073768C464A0DF.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
35560,5601151973745,3500.0,Seven Up,"Refrigerante de lima e limão com gás regular, pack de 2 x 1.75 l",,2.89,0.83,3500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5CD5A622753D3356E9D019035298E5D4.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
54828,5601164906273,7000.0,Super Bock,"Cerveja, 35 x 20 cl",,13.89,1.98,7000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3EEAE55F901F69F71712A095227D1F3E.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
11469,5601028016681,,Renova,"Papel higiénico compacto, folha dupla",4 = 12 rolos,2.19,2.19,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/833BBD2F004421BEB7D3758CD6F84330.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5256AFB114E96932DA597D5372942F20.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0AC1E0BF4245ABCA66BD5F1E70264BC6.jpg,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
15161,5604260274246,1000.0,PorSi,Cenouras Programa Origens,Embalagem de 1 kg,0.89,0.89,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/558C3AC1450C10C8B2395D06441C5423.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
13866,2891048000000,1000.0,Porco,Bifanas,Vendido ao peso a partir de 1 kg,3.99,3.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/72DE0DA6B485199AC995C629E3E4D279.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
13886,2891108000000,1000.0,Frango,Bife de Frango,Vendido ao peso a partir de 1 kg,6.49,6.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/519BDC237EE2CC43FB5B010D4FF5A15B.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
13897,2891053000000,1000.0,Porco,Lombo sem Osso,Vendido ao peso a partir de 1 kg,4.99,4.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/415564DA70574ED3C1D7475F1F28BDB6.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
12889,2892175000000,150.0,Fruta,Kiwi categoria II,1 un = 150 gr (aprox.),0.45,2.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/39D74C337E358C98856B0EB2FC79D7A8.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
13813,2892489000000,250.0,Legumes,Batata Doce,1 un = 250 gr  (aprox.),0.37,1.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B0785A3D8A1A6773EB1FB43B119AC4D9.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
13892,2891041000000,1000.0,Porco,Costeletas do Lombo,Vendido ao peso a partir de 1 kg,3.99,3.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/589E4AFE71E19AF7FEB32FB0C0E176FF.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
13894,2891044000000,1000.0,Porco,Entremeada sem Entrecosto,Vendido ao peso a partir de 1 kg,4.29,4.29,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/033DDCE7C7F9A9CD99F0A4BEB2F74462.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
13954,2891192000000,500.0,Porco,Tiras da Costela/Piano,1 un = 500 gr (aprox.),3.3,6.59,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7D0B09E93398DFB0B31D06D5AFBD6B99.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
18778,5604260274963,200.0,PorSi Select,Alheira de Mirandela Igp 200g,,1.39,6.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/93E265B38537CF7D9CC71734EEF39C20.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
21291,2891140000000,1000.0,Porco,Cachaço s/ Osso,Vendido ao peso a partir de 1 kg,4.99,4.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7E3931887AC2DD400F13FFEDAE44781A.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
32424,5604260285297,1000.0,PorSi,Leite Uht Magro 1l (sem Rosca),,0.85,0.85,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EAABBB136A1B6AF34367792D3AF7B8DD.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
15279,5604260276356,200.0,PorSi,Queijo Flamengo Fatiado 200g,,1.89,9.45,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/85DD1F9692D11A8FD3C2C7B23D4282CC.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
26047,8412600070994,650.0,Bimbo,Pão de forma s/ côdea,Embalagem de 650 g,1.99,3.06,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5D9620F17746A1D49642D0DCBD72A2D3.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
29613,5604260283538,1000.0,Porsi Vivabem,Bebida de Aveia 0% Açúcares Adicionados 1l,,0.99,0.99,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1EE40BC1DA49C5CE3D084214B1D3D3B9.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
29899,2696008000000,,Padaria,Bola Rústica,85 g,0.24,0.24,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/06C705452DA793A390CC49C0690F6BDD.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
40514,5604260302321,2000.0,PorSi,Ice Tea Pêssego 2l,,1.19,0.6,2000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/119C3CB73CD40DA468E2E6CBB1420B8C.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
48040,5604260320615,640.0,Porsi Vivabem,Iogurte Líquido Magro Frutos Vermelhos 4x160g,,1.29,2.02,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A4279AEF35ED360CFDE5A7B8499B9C67.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8BCFC316C76164C4EB30E1CA8663C5AA.jpg,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
1188,5601119007970,200.0,Nobre,"Salsichas Frankfurt Originais Lata 8 un, emb. 200 gr",,1.39,6.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F480FC52D56464F3C1B867155F4A37B9.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
12909,2892005000000,250.0,Fruta,Laranja Económica,1 un = 250 gr  (aprox.),0.3,1.19,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/67E13FD34B36BCD37E12339EB836171D.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
40604,5604260302314,2000.0,PorSi,Ice Tea Manga 2l,,1.19,0.6,2000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4AC84EA3800E422D34653301FC881DDD.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
12998,2892529000000,200.0,Legumes,Cogumelos Granel,1 un = 200 gr (aprox.),0.9,4.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/21980CA05745F31B22EE237361B7FEB6.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
13947,2891125000000,150.0,Peru,Espetadas de Peru,1 un = 150 gr (aprox.),1.02,6.79,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7051DD49B64096A6B46E7815DD618A85.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
1467,5601286236784,500.0,Milaneza,"Massa de espirais, embalagem de 500g",,1.04,2.08,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/90F3AD9985391E2BB3C76374F1217643.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
34240,2892497000000,120.0,Programa Origens,Cebola roxa categoria II,Vendido ao peso,0.15,1.29,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F8F441E981475C78DFA8B7423332B5B4.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
40605,5604260302338,2000.0,PorSi,Ice Tea Limão 2l,,1.19,0.6,2000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/34868D91A34DD60975E3414B525E31CF.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
56395,5604260334636,640.0,Porsi Vivabem,Iogurte Líquido Magro Piña Colada 4x160g,,1.35,2.11,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/56E2584E43311EB3153172BA46A745DF.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
57091,5604260339341,500.0,Páturages,Iogurte Proteico Magro Morango 4x125g,,1.79,3.58,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/85A954405A59B013C5ECFA202AF319DA.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
8933,5601377339080,750.0,Monsaraz,"Vinho doc alentejo tinto, garrafa de 0,75 l",,3.49,4.65,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/91D66AE5F752617A4B7436C49147FA1C.jpg,,,,,,2026-02-15T23:59:59Z,AC,25.0,PCT,STANDARD,2026-02-12T00:00:00Z,99.0,0.8725,17,1,,,
12110,5604260266630,400.0,PorSi,Croissant Simples,,1.82,4.55,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/78ED6B7D0ECF488C060F07EB85C79AA9.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
15156,2892099000000,500.0,Fruta,Papaia Avião,1 un = 500 g (aprox.),1.95,3.89,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/103067E524772C956478A94460D63E34.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
19022,5603722509742,800.0,Agros,"Leite com chocolate, embalagem de 4 x 200 ml",,1.88,2.35,800,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/86A34AF1051A1750347A4FF58912A923.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
251,2696001000000,400.0,Padaria,Baguete,400 g,0.79,1.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/42C2E126B9E5B84C243F0668DEC3869F.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
30170,5604260274956,200.0,PorSi,Alheira Especial de Trás - Os - Montes 200g,,1.29,6.45,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/19929337FCFE5B600DFE0ACDB988D2AA.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
35138,5603722517655,960.0,Mimosa,"Iogurte sólido aroma morango, ananás e banana, 8 x 120 g",,1.89,1.97,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7070B93AC2DB23DCF61734D801E40E6D.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
37923,5604260300990,1000.0,Porsi Vivabem,Bebida de Amêndoa 1l,,1.09,1.09,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/74B05726BD16B03D5A528D4778757940.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
41719,5604260303793,90.0,PorSi,Puré de Fruta Maçã Banana 90g,,0.59,6.56,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2E481D69677BD2CA4465286377A9A6E3.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
41822,7613039868300,270.0,Nestlé,"Cereais Estrelitas Mel, emb. 270 gr",Embalagem de 270 g,1.49,5.52,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8ED5B2AE951DD00B9C8D9B0148834738.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
44701,5053990156009,175.0,Pringles,"Snacks Batata Original, emb. 175 gr",,2.19,12.51,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BE87AADF1BA674A5818FDF008937F90A.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/843E1395B62C4B40E91467CF90852642.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/843E1395B62C4B40E91467CF90852642.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/843E1395B62C4B40E91467CF90852642.jpg,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
48862,5604260320592,640.0,Porsi Vivabem,Iogurte Líquido Magro Morango 4x160g,,1.35,2.11,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7A77D9267199C24CFF08CB3E2AFF1971.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
5143,5601096201309,750.0,Casal Garcia,"Vinho verde branco, garrafa de 0.75 l",,3.49,4.65,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C499325EC5B55389E1608DCDF3310034.jpg,,,,,,2026-02-15T23:59:59Z,AC,25.0,PCT,STANDARD,2026-02-12T00:00:00Z,99.0,0.8725,17,1,,,
10914,3250390011620,200.0,Páturages,Queijo Brie Cunha 200g,Embalagem de 200 g,1.75,8.75,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4BF7058D0138CA4DFA3E37B503FC8E28.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
12109,5604260266623,315.0,PorSi,Croissants Recheados Cacau e Avelã,,1.57,4.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/214A50F57E12C1081CB4314DCEE96F82.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
13048,2893561000000,250.0,Marisco,Ameijoa Branca Vietnamita Congelada,Vendido a partir de 250 gr  (aprox.),0.5,1.99,0,,€/Kg,,Avantages !,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EB1BC296FF41180E6F3E1626AD4F78AA.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
