identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,images_5,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise,nro_paginas,page,images_6,avantages_dateFin,avantages_categorie
53194,8445290067890,800.0,Purina One,"Ração para Gato Pele e Pêlo, 800g",,5.59,6.99,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4E4960ABB7C902819653D58752E4A631.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F57E7F5688102CC99095B3E6A5083F56.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F57E7F5688102CC99095B3E6A5083F56.jpg,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
5320,5601213170693,700.0,Aliança Velha,Aguardente vínica velha,Garrafa de 700 ml,12.59,17.99,700,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/53181AD6CD1353CAFAE1F9A4F3F4D2E4.jpg,,,,,,2026-02-15T23:59:59Z,AC,25.0,PCT,STANDARD,2026-02-12T00:00:00Z,99.0,3.1475,17,5,,,
53672,5054563155535,75.0,Parodontax,"Pasta de Dentes Gengivas, Sensibilidade, Hálito e Branqueadora",Embalagem de 75ml,5.19,69.2,75,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/87A987E57450CCF1EBBCAD737517FAB5.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/45919E21211034CFC9DCF75D551CD73E.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/45919E21211034CFC9DCF75D551CD73E.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/45919E21211034CFC9DCF75D551CD73E.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/45919E21211034CFC9DCF75D551CD73E.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/45919E21211034CFC9DCF75D551CD73E.jpg,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
5371,5601237001102,750.0,Catarina,"Vinho branco península de setúbal, garrafa de 0,75 l",,5.69,7.59,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/19D4BC955B202F07F9D85CD38607782B.jpg,,,,,,2026-02-15T23:59:59Z,AC,25.0,PCT,STANDARD,2026-02-12T00:00:00Z,99.0,1.4225,17,5,,,
53759,8435495833864,4050.0,Gama,Detergente Máquina Roupa Líquido Floral,Embalagem de 90 Doses,9.99,2.47,4050,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E1E291536BF780CF5BF8B661E6DDC660.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B1444808EE37FB337A50B68241AE2CB7.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B1444808EE37FB337A50B68241AE2CB7.jpg,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
53894,5604260330119,200.0,PorSi,Alheira Extra de Trás - Os - Montes 200g,,1.29,6.45,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E9BBDFD16A9F3A3C592D3751C158587D.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
53942,5603722523298,1000.0,Matinal,"Bebida de leite sem lactose livre, 1l",,1.25,1.25,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3F3F185EBF624903AC3031EAC11A6631.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
54362,8410104914127,,Finish,"Detergente loiça máquina ultimate limão, 32 pastilhas",,9.49,9.49,32,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1D3A215F5E688CA6FF7E7D1EDBD7C601.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
54483,8700216266109,330.0,H&S,"Champô Homem Anticaspa Maçã, 330ml",,4.94,14.97,330,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4E5B459E9EFAED34D487FD3DCEFF02CE.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
54607,4006000095790,750.0,Nivea,"Gel de banho bath care & dimond, 750ml",,4.99,6.65,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BDDDCB2032FEBBA666451071F3E53554.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
5467,5601377331084,750.0,Terras DEl Rei,"Vinho regional alentejano tinto, garrafa de 750 ml",,1.95,2.6,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1B5863997ACFFAFDF438D481C4D6ED51.jpg,,,,,,2026-02-15T23:59:59Z,AC,25.0,PCT,STANDARD,2026-02-12T00:00:00Z,99.0,0.4875,17,5,,,
54677,5000159560061,150.0,Snickers,"Snack de chocolate, 3 x 50 g",,2.45,16.33,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FB828799227087CE8460B161A81B2335.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
54770,5601151964873,300.0,Compal,"Néctar vital manga laranja, 0.30l",,0.67,2.23,300,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8DAEBB5D34F7BFCCE99C74143D6FB767.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
54798,5603722521560,604.0,Mimosa,"Iogurte liquido frutos tropicais, 4 x 151 ml",,1.39,2.3,604,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/49B490BBEC557A29CF9B663AE694D2B4.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
54804,5603722521584,604.0,Mimosa,"Iogurte liquido pinacolada, 4x151 ml",,1.39,2.3,604,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8E6126D08298F97351679D3A95D611FA.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
54818,5601151964811,300.0,Compal,"Nectar clássico tutti-frutti, 0.30l",,0.67,2.23,300,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9EEDF31A5DC41898F0D3686C034C3ED6.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
54841,8720181536977,,Skip,"Detergente Máquina Roupa Líquido Ciclos Curtos Eficácia Express, 54D",,10.99,10.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/36CE943074EB52B9FEFCB8ABDDE587DE.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
54984,5063270101575,14.0,Lipton,"Infusão Camomila Pyramid Saquetas, 20un.",,1.59,113.57,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DEBCA4E077AE2456EFBDA10F8C62C4AD.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
55013,8445290919892,,Nescafé,"Cápsulas de Café Ristretto Ardenza Int 11, emb. 16 un",,5.89,5.89,16,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/39886CFB8CEAE8A850250EC00F54AB38.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
5506,5601583081063,700.0,Constantin,"Brandy, garrafa de 700 ml",,9.59,13.7,700,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4FBC1D63EDBD6109C1195449AFAB051A.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
55114,8410500030667,600.0,Danone,"Iogurte Líquido Defesa Frutos Silvestres Tripla Ação, 6 x 100g",,3.29,5.48,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D200A12D1D211E5BF53728397349DE48.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
55183,5601066401159,200.0,Nacional,"Bolachas Marinheiras com Chia, emb. 200 gr",,1.84,9.2,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/07849CE9892F8069AF5F27B8BBF09045.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
55207,8445291179684,,Nescafé,"Cápsulas de Achocolatado Kit Kat, emb. 16 un",,5.89,5.89,16,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6E32D338EDE643DDBA69644FE859F168.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BF7469941F142C4223F4AA363B6728FD.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0335FC8798148F62A8A8DB28E765DE28.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1E7A04BC70202CFF06807A484D4EC68D.jpg,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
55328,8720182836106,750.0,Cif,"Creme de Limpeza Spray, 750ml",,2.99,3.99,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D3E89D1C02764A2E04E66268152BA945.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
555,3250390001522,750.0,Paquito,Xarope grenadine,Garrafa de 750 ml,3.99,5.32,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9BC9CA1A10AAC0EE0D51F7CC46C49332.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
5559,5601996101136,1500.0,Reserva dos Amigos,Vinho tinto reg. lisboa res.amigos 1.5l,Garrafa 1.5L,5.99,3.99,1500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3FA6F504235C7CEF56689BBAEB7D2AA2.jpg,,,,,,2026-02-15T23:59:59Z,AC,25.0,PCT,STANDARD,2026-02-12T00:00:00Z,99.0,1.4975,17,5,,,
55700,3800020491515,99.0,Kit Kat,"Tablete de Chocolate de Leite, Bolacha e Avelã, emb. 99 gr",,1.99,20.1,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/79AA3F68D5A01F688522CD1FA7190FC0.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
56196,5604260330898,282.0,PorSi,Molho Kebab Top Down 282g,,1.59,5.64,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1FF9026B09BE5586085B9939015B8EA3.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
56221,5604260330904,200.0,PorSi,Molho Sweet Chili 200ml,,1.29,6.45,200,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9B51099D60115088A507E5C0CC03CB4C.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
56314,5604260331055,200.0,PorSi,Chouriço de Carne Sousel 200g,,2.49,12.45,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4D63E59644B6DD311A86ACCFD0CB9751.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
5632,5602445000536,750.0,Encosta das Perdizes,Vinho regional alentejano tinto,Garrafa de 750 ml,2.69,3.59,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/ADC7AAF1E42FC34FB14363D21F98FEE3.jpg,,,,,,2026-02-15T23:59:59Z,AC,25.0,PCT,STANDARD,2026-02-12T00:00:00Z,99.0,0.6725,17,5,,,
56323,5604260338757,190.0,Porsi Vivabem,Queijo Vaca Curado sem Lactose 190g,,2.99,15.74,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3F1126427A5DE818807307846909C176.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
56350,5604260334476,200.0,PorSi,Chouriço Carne Beiras 200g,,2.59,12.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C6A8EEC9932C03E489B53AC4C39E6F0E.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
56351,5604260334483,200.0,PorSi,Chourço Picante Beiras 200g,,2.59,12.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0E044B47B0307239F2DA3C5BFD50A165.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
56369,5604260334377,,PorSi,Resguardos Salvacamas 60x60cm - 20 Unidades Dispositivo Médico,,4.59,4.59,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A604E2484AD96084725A9CF4E9FE0CB5.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
56384,5604260336784,70.0,PorSi Select,Paio Paleta Porco Preto Fatiado 70g,,3.99,57.0,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/907E3F32395F75C4D903F40CA9CFAB25.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
56411,5604260333677,750.0,Labell,Gel de Banho Cremoso 750 ml,,1.39,1.85,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/63812397800413571F258C3D09EF338D.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
56441,5604260333547,500.0,Labell,Sabonete Líquido Aloe Vera 500 ml,,1.19,2.38,500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E2A7CCCD6B087D95A948F32222773ADD.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
56458,5604260334452,200.0,PorSi,Chouriço de Cebola Beiras 200g,,1.99,9.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CA2370BC258FB43E800BBBE018B02B12.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
56546,5604260332557,50.0,Labell,Desodorizante Roll On Pure 24h - 50 ml,,0.85,17.0,50,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B7DAFB39A3568F0346264E2D5A85DC23.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
57460,5604260344192,270.0,Páturages,Iogurte Cremoso Sob Camada Pêssego 2x135g,,1.19,4.41,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/89B1D98BBD86027D40E4D70E88F6FE66.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
57465,5604260345038,640.0,Páturages,Iogurte Líquido Caramelo 4x160g,,1.35,2.11,640,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9FB3D7B226D22E845E38B3FE83DB2BB6.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
57468,5604260342174,640.0,Páturages,Iogurte Líquido Morango e Banana 4x160g,,1.35,2.11,640,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AF962B5B7425BD12DA385970302D932E.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
57528,5604260342839,134.0,Chabrior,Gelatina Melancia 2 X 67g,,0.89,6.64,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E3AF10CE2F2F2F150B781ACBB7D4C401.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
6111,7613031204458,340.0,Purina Gourmet,Comida húmida para gato finos pedaços em molho,Embalagem de 340g,2.59,7.62,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/393F7D9374FE095E1E4BD6A16BFBFD33.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
6119,7613032826789,340.0,Purina Gourmet,"Comida húmida para gato receitas do chef frango, embalagem de 340g",,2.59,7.62,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0E05011F2F183B1EEF36549679F170E8.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
6267,8016825926687,75.0,Aquafresh,Pasta dentífrica menta fresca,Embalagem de 75 ml,1.84,24.53,75,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5AF61545461116CEF40994D7E37A4C54.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
7050,2894090000000,150.0,Campofrio,Peito frango forno de lenha,1 un = 150 gr (aprox.),2.55,16.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6772968344189119743079B1997DCA88.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
7294,3147690031505,750.0,Cruz,Vinho do Porto 10 anos,"Garrafa de 0,75L c/ Caixa de Madeira",14.99,19.99,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1181D8EB3D08B8C6302F46C2B8E91B32.jpg,,,,,,2026-02-15T23:59:59Z,AC,25.0,PCT,STANDARD,2026-02-12T00:00:00Z,99.0,3.7475,17,5,,,
7401,3250390461777,150.0,Páturages,Queijo Roquefort Dop 150g,Embalagem de 150 g,2.79,18.6,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E03055290F31A27B798D471C25305D9D.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
7537,3600541358485,400.0,Garnier,"Água facial micelar , 400 ml",,4.54,11.35,400,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DF345BFB935247CE9B92646755C19746.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
7550,3600541550087,400.0,Garnier,Champô Ultra Suave tesouros de mel,Embalagem de 400 ml,3.59,8.98,400,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9E0A30A6E488599D224D7FC06927B67E.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
766,4005500030263,400.0,Yogolino,Sobremesa láctea alperce 4x100g,,1.99,4.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/35565E007DE59883160198E8D7DDFAF9.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
8228,5600224301409,750.0,Duorum,Vinho tinto doc douro,Garrafa de 750 ml,3.99,5.32,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A7FC36650897BB257CC92B0CEEE9DB39.jpg,,,,,,2026-02-15T23:59:59Z,AC,25.0,PCT,STANDARD,2026-02-12T00:00:00Z,99.0,0.9975,17,5,,,
8415,8410500007836,600.0,Danone,"Actimel iogurte líquido tutti frutti, embalagem de 6 x 100g",,3.09,5.15,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0712AE23BC1EFB6DA91FF7C37F68326A.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
8416,5601050029345,1200.0,Danone,"Iogurte actimel, morango, embalagem de 12 x 100g",,4.99,4.16,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/745F8F4185D59AC1CCF745B58159ECA9.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
8436,5601050033762,620.0,Danone,"Iogurte activia líquido 0% frutos silvestres, embalagem de 4 x 155g",,2.09,3.37,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A6C8A8EEDA98A4116E3BB4EB3828EC61.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
848,5000189974579,200.0,Kit Kat,"Snack de Chocolate de Leite Kit Kat Mini, emb. 200,4 gr (12 un)",,3.99,19.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/90873705F18CB17964EF30C7A0BF7D60.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
8670,5601164900004,6000.0,Carlsberg,"Cerveja com Álcool, emb. 24 x 25 cl",,12.99,2.17,6000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/974095AD2AA090B34BBE60CDC13FDA25.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
8927,5601377311086,750.0,Terras DEl Rei,"Vinho regional alentejano branco, garrafa de 75 cl",,1.95,2.6,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1976C3343D31A7CD6BF904B4B47168CB.jpg,,,,,,2026-02-15T23:59:59Z,AC,25.0,PCT,STANDARD,2026-02-12T00:00:00Z,99.0,0.4875,17,5,,,
9014,5601531102123,750.0,Moncao,"Vinho verde tinto, garrafa de 750 ml",,2.24,2.99,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A755AB40D0B6E1463D08067F6ED22024.jpg,,,,,,2026-02-15T23:59:59Z,AC,25.0,PCT,STANDARD,2026-02-12T00:00:00Z,99.0,0.56,17,5,,,
9161,5602154002920,750.0,Adega de Borba,"Adega de Borba Reserva DOC Alentejo Vinho Tinto, garrafa 75 cl",Garrafa de 0.75 l,8.99,11.99,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9D4E622CDEFB67E1BEC54DD1E1636255.jpg,,,,,,2026-02-15T23:59:59Z,AC,25.0,PCT,STANDARD,2026-02-12T00:00:00Z,99.0,2.2475,17,5,,,
9165,5602154602465,750.0,Adega de Borba,Vinho tinto doc premium alentejo,Garrafa de 750 ml,4.99,6.65,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AA1F4468B54B15FB8D6311A4DBEF19B4.jpg,,,,,,2026-02-15T23:59:59Z,AC,25.0,PCT,STANDARD,2026-02-12T00:00:00Z,99.0,1.2475,17,5,,,
9184,5602348062754,70.0,Damatta,"Presunto em Fatias, emb. 70 gr",Embalagem de 70 g,2.29,32.71,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9AE2DBDD0E054DD3DCAC93A9D0EE8ECE.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
9200,5602527029912,200.0,Palhais,"Queijo de cabra, embalagem de 200g",,3.99,19.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6E7F7A266DF4B4651FFCB2E4FE22AC7B.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
9244,5603016193459,750.0,Fontanario,"Vinho tinto doc palmela, garrafa de 0.75 l",,2.09,2.79,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A0A7973A85FB44AFCC8705306CDD1DF2.jpg,,,,,,2026-02-15T23:59:59Z,AC,25.0,PCT,STANDARD,2026-02-12T00:00:00Z,99.0,0.5225,17,5,,,
958,5601019012401,500.0,Guloso,Polpa de Tomate,Embalagem de 500g,1.19,2.38,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/91C57E5F8181E3927BBDCAD05F79EE7A.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
962,5601019012517,210.0,Guloso,"Passata de manjericão/oregãos, embalagem de 210g",,0.74,3.52,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FB183AA35B0A4E7518DB0F29131C2068.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
9813,5608527005796,5000.0,Dom Campos,"Vinho Rosé Regional Península de Setúbal Bag in Box, emb. 5 lt",Garrafa de 5 l,7.99,1.6,5000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DF5B362DDEDD93725A7290449A5F3911.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
9884,7613031584765,340.0,Purina Gourmet,"Comida Húmida Para Gato Finos Pedaços Com Legumes, emb. 4 x 85 gr",,2.59,7.62,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C0CDF4838FFE7D06F232C7798568AA0E.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
18298,5604260278459,640.0,PorSi,Iogurte Líquido Morango 4x160g,,1.35,2.11,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BE51EE5E15324D84DD1CD633B09B61D4.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
11463,5601018001642,250.0,Gresso,"Manteiga com sal, embalagem de 250g",,2.14,8.56,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3A5F1036925C0C6B8D6C067104A96CDE.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7AC5179CFF33BEA38B382077FB05A477.jpg,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
49463,8445290250322,600.0,Nestum,Flocos Cereais Mel,Embalagem de 600g,3.79,6.32,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4A0A62606AC144021ED115E1FAB3D0CE.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
36925,5604260297061,250.0,PorSi,Mel Multifloral Doseador 250g,,1.89,7.56,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/35CB754FAD267C8D352A791263E23E29.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
26091,7613036115575,550.0,Nestlé,Cereais estrelitas,Embalagem de 550g,2.49,4.53,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/90505B63FB20AF187537F3B46DDB9B86.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,5,,,
