identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,images_5,images_6,avantages_dateFin,avantages_categorie,nro_paginas,page
25077,5601096360310,750.0,Casal Garcia,"Sangria branca, garrafa de 750 ml",,3.29,4.39,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/35C1199A31E9E23CD1FA5462DC041801.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
13914,2891225000000,350.0,Frango,Perna com Costa,1 un. = 300 g (aprox.),0.8,2.29,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D1297D1CD095629263E582A65B4C3857.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
21292,5604260263837,250.0,PorSi,Alho Seco,Embalagem: 250 g  ,1.49,5.96,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9CACD04AEB53BB065A4A6DA5A64A1473.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
1844,5604260035847,185.0,PorSi,Batatas Fritas Onduladas Sabor A Presunto 185G,,1.25,6.76,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/29D2C600CBA2711F31E4BCBC05A9C865.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
19447,5604260278473,640.0,PorSi,Iogurte Líquido Frutos Vermelhos 4X160G,,1.29,2.02,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E5E8E165201F83E6573606F360D4FBE1.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
34240,2892497000000,120.0,Programa Origens,Cebola roxa categoria II,Vendido ao peso,0.18,1.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F8F441E981475C78DFA8B7423332B5B4.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
42776,5604260304714,200.0,PorSi,Fiambre Da Pa Fatiado 200G,,1.59,7.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8A131F94BE57C970A8C2BBD2F93B5A56.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4BF6C4B7F27D2FA729AB427C5AFC4D32.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4BF6C4B7F27D2FA729AB427C5AFC4D32.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4BF6C4B7F27D2FA729AB427C5AFC4D32.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4BF6C4B7F27D2FA729AB427C5AFC4D32.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4BF6C4B7F27D2FA729AB427C5AFC4D32.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4BF6C4B7F27D2FA729AB427C5AFC4D32.jpg,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
15052,2892600000000,200.0,Legumes,Tomate Alongado,1 un = 200 gr (aprox.),0.3,1.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/38D21D4EBC59DA4208AABB9D11AF0901.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
28607,5604260278442,640.0,PorSi,Iogurte Líquido Morango E Banana 4X160G,,1.29,2.02,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/447BBD3B74588222DD6837C3B2BE4D8D.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
14896,2892259000000,800.0,Fruta,Meloa Canteloupe,1un=800 g (aprox.),1.19,1.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E74C4DF9251AE472CD4A5B0B6EF7098B.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
