identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,avantages_dateFin,avantages_categorie,nro_paginas,page
17749,5601174903026,1500.0,Periquita,Vinho Regional Península Setúbal Tinto,"Caixa de 2x0,75 l",7.99,5.33,1500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2A6CC4246EA614068372BA90EE75397D.jpg,,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,10,7
18005,5601012011746,1500.0,Trinca Bolotas,Vinho tinto Trinca Bolotas DOC alentejo,2 Garrafa x 0.75L,10.99,7.33,1500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1E71A9F80E3D34041824C14CFC35650A.jpg,,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,10,7
18007,3147699109601,750.0,Cruz,Vinho do porto lbv 2004,Garrafa de 0.75 l,11.99,15.99,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F8B37DC3DB89001E76AC27C6C4AFAACC.jpg,,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,10,7
18145,8411134104304,,Control,"Preservativos Adapta Touch & Feel, 12 unidades",,8.39,8.39,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B290CB05848A67E76E1EBCE6D3DA09B6.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9463B5AB606E12CA2C5311680EC9A8B0.jpg,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,7
18428,3600541888197,400.0,Garnier,Amaciador Ultra Suave Delicadeza de Aveia,Embalagem de 400 ml,3.79,9.48,400,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EEB54D99A81A12744A915743CE2BE7E6.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,7
18553,5604321023851,13.0,Cemporcento,"Infusão alcachofra e dente de leão, embalagem de 10 unidades",,0.64,49.23,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/45182F5B6356977C172B86D6E88349E6.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,7
18554,5604321023844,13.0,Cemporcento,"Infusão funcho, embalagem de 10 unidades",,0.64,49.23,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D03563BC3823DB1378C6FD0CD909D8F6.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,7
18557,5604321021154,13.0,Cemporcento,"Infusão carqueja, embalagem de 10 unidades",,0.74,56.92,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A28544A3AE7BC11BD0FC60246B26CF81.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,7
18558,5604321012220,13.0,Cemporcento,"Infusão hipericão, embalagem de 10 unidades",,0.64,49.23,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4771C0B3FAAD90F764E4920580668D69.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,7
18559,5604321012213,13.0,Cemporcento,"Infusão nº 13 diabet control, embalagem de 10 unidades",,0.74,56.92,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5C2CCE722C1359D9966237884B8F570B.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,7
18560,5604321012152,13.0,Cemporcento,"Infusão nº 10 colestrol, embalagem de 10 unidades",,0.74,56.92,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CDA05D1CCC3CCAE9137D5EC55B4D5DA5.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,7
