identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,avantages_dateFin,avantages_categorie,nro_paginas,page
399,8712566365135,30.0,Lipton,20 saquetas infusão de cidreira e mel,Embalagem de 30g,2.09,69.67,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/03D11659F543198FA8E5E1FD052E5149.jpg,,,,2024-11-20T23:59:59.999999999Z,PROSPECTUS,10,1
438,8722700140139,20.0,Lipton,20 saquetas infusão de cidreira,Embalagem de 20g,1.49,74.5,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5BD4BD05824B7246D1659F44FE1CD00E.jpg,,,,2024-11-20T23:59:59.999999999Z,PROSPECTUS,10,1
483,3033710046645,400.0,Nestlé,Fruta para bebé maçã manga +6 meses,Embalagem de 4 x 100 g,2.44,6.1,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8AD438F18F11DF979185478037DDFD24.jpg,,,,2024-11-20T23:59:59.999999999Z,PROSPECTUS,10,1
486,3036810207589,210.0,Maille,Mostarda ancienne,Embalagem de 210g,3.19,15.19,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3F5A694D469A59658267DB07BC3AF0F4.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/284EA0283DB9A2BF80F56C4DF343C743.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/284EA0283DB9A2BF80F56C4DF343C743.jpg,,2024-11-20T23:59:59.999999999Z,PROSPECTUS,10,1
511,3046920028363,100.0,Lindt,"Tablete de chocolate excellence, 85% cacau",Embalagem de 100g,2.45,24.5,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/05B4E950A6290D86B9B96B210C726A38.jpg,,,,2024-11-20T23:59:59.999999999Z,PROSPECTUS,10,1
543,3228881083241,30.0,Lipton,20 saquetas chá digestão fácil,Embalagem de 30g,2.09,69.67,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/28A1713A439B692F2535F37C60AAED17.jpg,,,,2024-11-20T23:59:59.999999999Z,PROSPECTUS,10,1
544,3228881083326,30.0,Lipton,20 saquetas chá noite tranquila,Embalagem de 30g,2.09,69.67,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4B6373E8CCC5E41A695E3EDADC8DBB53.jpg,,,,2024-11-20T23:59:59.999999999Z,PROSPECTUS,10,1
766,4005500030263,400.0,Yogolino,Nestle iogolino prep iog alperce 100g,Embalagem de 400g,2.24,5.6,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6D6E12ECE7BCBC227655E00D22A8E5B5.jpg,,,,2024-11-20T23:59:59.999999999Z,PROSPECTUS,10,1
767,4005500030287,400.0,Yogolino,Nestle iogolino prep iog banana 100g,Embalagem de 400g,2.24,5.6,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3D8E32B0B25B565E3618BD3D531AD8AC.jpg,,,,2024-11-20T23:59:59.999999999Z,PROSPECTUS,10,1
768,4005500030300,400.0,Yogolino,Nestle iogolino prep iog morango 100g,Embalagem de 400g,2.24,5.6,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/74338F0422E4872B709E9AAF722C255D.jpg,,,,2024-11-20T23:59:59.999999999Z,PROSPECTUS,10,1
828,5000157073006,150.0,Heinz,Molho de soja,Garrafa de 150 ml,2.64,17.6,150,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/07CA95A6056AF3D3F6F02C6C71A8DC3C.jpg,,,,2024-11-20T23:59:59.999999999Z,PROSPECTUS,10,1
848,5000189974579,200.0,Kit Kat,Chocolate mini,Embalagem de 200g,3.09,15.45,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/33F684DC544CDCED4E93A337A33052D5.jpg,,,,2024-11-20T23:59:59.999999999Z,PROSPECTUS,10,1
858,5010394984669,200.0,Whiskas,Leite para gatos,Garrafa de 200 ml,1.94,9.7,200,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/75BBA2783EC432AF7D44E46BF1F3211F.jpg,,,,2024-11-20T23:59:59.999999999Z,PROSPECTUS,10,1
929,5601001187803,630.0,Nestlé,Cereais chocapic,Embalagem de 630g,3.49,5.54,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/24F5DB132F7E18A7786689AD5CB8DB19.jpg,,,,2024-11-20T23:59:59.999999999Z,PROSPECTUS,10,1
944,5601001339301,200.0,Nestlé,Mistura solúvel mokambo,Embalagem de 200g,3.99,19.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A8F3A8EB08BBF4181F15A95334F151A2.jpg,,,,2024-11-20T23:59:59.999999999Z,PROSPECTUS,10,1
947,5601001355905,200.0,Nestlé,Mistura solúvel brasa,Embalagem de 200g,2.44,12.2,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6981E67BBCF9FFC80CE2C5DE99454533.jpg,,,,2024-11-20T23:59:59.999999999Z,PROSPECTUS,10,1
951,5601010131217,120.0,Ramirez,Atum posta em óleo,Embalagem de 120g,1.16,9.67,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5BE3B05F210FF0425C989109F8B84C66.jpg,,,,2024-11-20T23:59:59.999999999Z,PROSPECTUS,10,1
