identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,avantages_dateFin,avantages_categorie,nro_paginas,page,images_3,images_4
47894,0000042182634,100.0,Vaseline,"Vaselina Original, 100ml",,2.24,22.4,100,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A14B4F3FCA7E0556685BD2CC0A4E44AA.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,,
48022,5775345201256,700.0,Sunquick,"Concentrado de laranja, garrafa de 700 ml",,4.95,7.07,700,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9B842C8252B441D0B4A6F4E79D048B0C.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,,
48255,8412857001260,250.0,Humydry,"Cabide anti humidade, 250 g",,3.49,13.96,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/324D5644068AC0E7F82EB935C5FD573C.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,,
49179,3600524029661,300.0,Elvive,Condicionador Hidra Hialurónico,300 ml,3.89,12.97,300,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/358E669EEAD046E20A951D3F73537685.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,,
49362,8410104898342,,Air Wick,"Recarga ambientador elétrico vanilla, 19 ml",,3.59,3.59,1,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4E096C33C031D414CC8D723E9334FC8F.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,,
49506,8006540618639,,Dodot,"Fralda cueca extra t4 / 10 a 15 kg, 62 unidades",,13.49,13.49,62,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C5EE66D46010FDB3E9DC911287D97785.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,,
49647,3600542289658,350.0,Fructis,Champô super nutrição banana,Embalagem de 350 ml,3.94,11.26,350,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A0E13AE74C85E9EE82EFFF8E95A233EC.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,,
49958,8720181101250,250.0,Vaseline,"Creme gordo, boião de 250 ml",,4.99,19.96,250,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/58244C3E32A17121F7E1AC9ED1FE053D.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,,
49993,5601066602143,126.0,Nacional,Barras cereais nacional zero 126 g,,1.79,14.21,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CC2471F3A5574132060CF9E2565DAD0E.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,,
50271,3600542289931,350.0,Fructis,Condicionador super suavidade macadâmia,Embalagem de 350 ml,3.94,11.26,350,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FD5A4C3BDCE7D6AA93BF9026E0978243.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,,
50425,8711700841252,400.0,Dove,"Dove loção secrets shea, 400 ml",,4.54,11.35,400,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C51F666102A33FA1D0049DFB4A5D990A.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,,
50448,5059319002293,410.0,KelloggS,"Krave milk choco, embalagem de 410g",,3.29,8.02,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/159E6BF2A3CBF7208E4ADF2141AD093D.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,,
51046,8410436430302,,Persil,Detergente máquina roupa 4 em 1 higiene,40 cápsulas,9.99,9.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1A35A40B1D47567C66546C5B85A9EC6E.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,,
