identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,avantages_dateFin,avantages_categorie,nro_paginas,page,images_5,images_6,images_7
53183,4023103238732,,Vileda,"Sacos de congelação com fecho hermético 1l, 15 unidade",,2.92,2.92,1,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/152AAA26A79AB37D2E49E7E69815D657.jpg,,,,,2026-03-04T23:59:59Z,PROSPECTUS,16,1,,,
53188,4023103238695,,Vileda,"Sacos de congelação com fecho hermético 3l, 10 unidades",,3.22,3.22,1,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3B9C3139611B99E47933017639F8F1FE.jpg,,,,,2026-03-04T23:59:59Z,PROSPECTUS,16,1,,,
282,0000080361497,85.0,Purina Gourmet,"Comida húmida para gato pedacinhos em molho com salmão, embalagem de 90g",,0.74,8.71,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F3269BDBEA9617D986C45DC8EC354AB3.jpg,,,,,2026-03-04T23:59:59Z,PROSPECTUS,16,1,,,
283,0000080393313,85.0,Purina Gourmet,"Comida húmida para gato mousse com peixe do oceano, embalagem de 90g",,0.74,8.71,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1C1FA938089F82A59F34DAEE218383B9.jpg,,,,,2026-03-04T23:59:59Z,PROSPECTUS,16,1,,,
284,0000080393320,85.0,Purina Gourmet,"Comida húmida para gato mousse com vaca, embalagem de 90g",,0.74,8.71,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/999600DE38174FC22F21A586B409CFE0.jpg,,,,,2026-03-04T23:59:59Z,PROSPECTUS,16,1,,,
372,8711200532391,260.0,Calvé,"Molho Burger Top Down, emb. 260 gr",,1.94,7.46,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/274182EF6D0EFA8A84998CA913A7016C.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/122719564EBC4BB4D52F039A6C0EDAF1.jpg,,,,2026-03-04T23:59:59Z,PROSPECTUS,16,1,,,
386,8712100479298,260.0,Calvé,"Molho Mad Chips Top Down, emb. 260 gr",,1.94,7.46,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/21B88C464F7BBC164FDD806BA18E0B84.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5EE595CA865FFD7654A8E18623535097.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5EE595CA865FFD7654A8E18623535097.jpg,,,2026-03-04T23:59:59Z,PROSPECTUS,16,1,,,
405,8712566410910,275.0,Calvé,"Ketchup Top Down sem Glúten, emb. 275 gr",,1.48,5.38,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9E63EED4B27A252289B8979C188F5B40.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0D7B165FF00CA45BD8F6AC077E3CA1EC.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0D7B165FF00CA45BD8F6AC077E3CA1EC.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0D7B165FF00CA45BD8F6AC077E3CA1EC.jpg,,2026-03-04T23:59:59Z,PROSPECTUS,16,1,,,
433,8722700086703,80.0,Knorr,"Caldo para arroz 8 cubos, embalagem de 80g",,1.52,19.0,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/86EF0F3A35369BBBB925F997B7F539F0.jpg,,,,,2026-03-04T23:59:59Z,PROSPECTUS,16,1,,,
438,8722700140139,20.0,Lipton,"20 saquetas infusão de cidreira, embalagem de 20g",,1.59,79.5,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/75772B648D442A3C0BB5D4E8A4601B76.jpg,,,,,2026-03-04T23:59:59Z,PROSPECTUS,16,1,,,
452,8888056603862,85.0,Koka,"Massa Instantânea com Sabor a Galinha, emb. 85 gr",,0.79,9.29,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B2968A264D894B9BD28BB6D7AD2B2C1C.jpg,,,,,2026-03-04T23:59:59Z,PROSPECTUS,16,1,,,
453,8888056604012,85.0,Koka,"Massa instantânea com cogumelos, embalagem de 90g",,0.79,9.29,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/743F0CEC755705C1667F17EADAF83C5D.jpg,,,,,2026-03-04T23:59:59Z,PROSPECTUS,16,1,,,
454,8888056604067,85.0,Koka,"Massa instantânea com sabor a camarão, embalagem de 90g",,0.79,9.29,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D2FB050AC0A3AFD73E7D3F6CF3CD2DF9.jpg,,,,,2026-03-04T23:59:59Z,PROSPECTUS,16,1,,,
456,8888056708512,85.0,Koka,"Massa instantânea com sabor a legumes, embalagem de 90g",,0.79,9.29,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4C22B5364F1705230B67942E7DCF19B7.jpg,,,,,2026-03-04T23:59:59Z,PROSPECTUS,16,1,,,
457,8888056708604,85.0,Koka,"Massa instantânea com sabor a tomat, embalagem de 90g",,0.79,9.29,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AD98A53E030FCB903604F246B7338CDE.jpg,,,,,2026-03-04T23:59:59Z,PROSPECTUS,16,1,,,
473,3010470154490,4000.0,Friskies,Ração para cão active,Embalagem de 4kg,8.99,2.25,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/92EB1FC100BF9E508436511286F4C8B3.jpg,,,,,2026-03-04T23:59:59Z,PROSPECTUS,16,1,,,
474,3010470154575,1500.0,Friskies,Ração para cão júnior vitafit com frango e leite,"Embalagem de 1,5 kg",5.24,3.49,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1473BCBEFD21B78FA4101968FF135182.jpg,,,,,2026-03-04T23:59:59Z,PROSPECTUS,16,1,,,
476,3010470159020,400.0,Friskies,"Ração para gato adulto com coelho, frango e legumes",Embalagem de 400g,1.84,4.6,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/14A83E0B863A6F9B6D934AF2C5E8BC68.jpg,,,,,2026-03-04T23:59:59Z,PROSPECTUS,16,1,,,
477,3010470159051,2000.0,Friskies,"Ração para gato adulto com coelho, frango e legumes",Embalagem de 2kg,6.74,3.37,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7DEEDCA72B128992156D55C0C8DE0876.jpg,,,,,2026-03-04T23:59:59Z,PROSPECTUS,16,1,,,
478,3010470159068,2000.0,Friskies,"Ração para Gato Adulto Vaca, Frango e Legumes, emb. 2 kg",Embalagem de 2000 g,6.74,3.37,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CC432EB31022126DE4BCBB7383FA5CB2.jpg,,,,,2026-03-04T23:59:59Z,PROSPECTUS,16,1,,,
511,3046920028363,100.0,Lindt,"Tablete de chocolate excellence, 85% cacau, embalagem de 100g",,3.74,37.4,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/05B4E950A6290D86B9B96B210C726A38.jpg,,,,,2026-03-04T23:59:59Z,PROSPECTUS,16,1,,,
540,3222270158428,1500.0,Friskies,"Ração para Gato Adulto de Interior Frango, Peru e Legumes, emb. 1,5 kg","Embalagem de 1,5 kg",5.84,3.89,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CD7C5B2E4322F0515EAC25F0F1ADD782.jpg,,,,,2026-03-04T23:59:59Z,PROSPECTUS,16,1,,,
616,3250390114673,360.0,Bouton D´or,Pepinos Extra Finos 680g,Embalagem de 380 g,2.59,7.19,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/131D236F1C36D4400362C1A6459D9792.jpg,,,,,2026-03-04T23:59:59Z,PROSPECTUS,16,1,,,
646,3250390221302,126.0,Chabrior,Barra Cereais Maca 126g,Embalagem de 130g,1.38,10.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2B270F59437DD14B8275FAAC22773BA2.jpg,,,,,2026-03-04T23:59:59Z,PROSPECTUS,16,1,,,
657,3250390334620,126.0,Chabrior,Barra Cereais Alperce 126g,Embalagem de 130g,1.38,10.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A9DB63577FD044D02C175B7A0D1BC1D4.jpg,,,,,2026-03-04T23:59:59Z,PROSPECTUS,16,1,,,
716,3250391031924,250.0,Odyssee,Salada indiana com atum,Embalagem de 250 g,2.49,9.96,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F073A78D39EB9CB4C96F88DC5B1F36A3.jpg,,,,,2026-03-04T23:59:59Z,PROSPECTUS,16,1,,,
766,4005500030263,400.0,Yogolino,Sobremesa láctea alperce 4x100g,,1.99,4.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/35565E007DE59883160198E8D7DDFAF9.jpg,,,,,2026-03-04T23:59:59Z,PROSPECTUS,16,1,,,
767,4005500030287,400.0,Yogolino,"Alimento Lácteo Banana sem Glúten +6M, emb. 4 x 100 gr",,1.99,4.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A0BB60E9F5E33B5B09F3E17A632208B0.jpg,,,,,2026-03-04T23:59:59Z,PROSPECTUS,16,1,,,
768,4005500030300,400.0,Yogolino,Sobremesa láctea morango 4x100g,,1.99,4.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/99F1004C0805AFB08F42231532FA4DAF.jpg,,,,,2026-03-04T23:59:59Z,PROSPECTUS,16,1,,,
848,5000189974579,200.0,Kit Kat,"Snack de Chocolate de Leite Kit Kat Mini, emb. 200,4 gr (12 un)",,3.99,19.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/90873705F18CB17964EF30C7A0BF7D60.jpg,,,,,2026-03-04T23:59:59Z,PROSPECTUS,16,1,,,
854,5010394133852,500.0,Pedigree,"Guloseima para cão biscrok, embalagem de 500 g",,3.49,6.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0D226EB3269B404D077B080902C1C0AC.jpg,,,,,2026-03-04T23:59:59Z,PROSPECTUS,16,1,,,
856,5010394984577,110.0,Pedigree,"Snack dentastix pequeno, de 110 g",,1.94,17.64,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B9BBF71D62A2C377549341CE08A85FFD.jpg,,,,,2026-03-04T23:59:59Z,PROSPECTUS,16,1,,,
857,5010394984584,180.0,Pedigree,"Snacks cão dentastix, embalagem de 180g",,2.54,14.11,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BDD39120D8143B945229B61847841270.jpg,,,,,2026-03-04T23:59:59Z,PROSPECTUS,16,1,,,
