index,no_products,id,title
209,4,11636,Rosé Alentejo e Algarve
210,1,11651,Verde Tinto
211,24,11652,Verde Branco
212,4,11653,Verde Rosé
213,7,11655,Corrente Tinto
214,10,11656,Corrente Branco
215,16,11658,Frisante
216,12,11659,Sangria
217,14,11660,Moscatel
218,28,11661,Vinho do Porto
219,23,11663,Licores
220,7,11664,Aperitivos
221,11,11665,Vodka
222,34,11666,Whisky
223,20,11667,"Cocktails, Cachaça, Tequila e Rum"
224,24,11668,Gin
225,16,11669,Aguardente e Brandy
226,4,11670,Champanhes
227,40,11671,Espumantes
228,40,11404,Detergente Máquina Loiça
