index,no_products,id,title
247,40,10563,Ambientadores Elétricos e Automáticos
248,14,10564,Ambientadores Automóvel
249,15,10566,Velas Ambientadoras
250,4,10567,Absorve Odores
251,9,11792,Sprays e Sticks Perfumadores
252,12,10569,Inseticidas Elétricos e Automáticos
253,13,10570,Inseticidas em Spray e Fitas
254,4,10571,Anti-Traças
255,9,11783,Lavagem e Limpeza Manual
256,12,11784,Detergente em Pó
257,40,11785,Detergente Líquido
258,21,11786,Detergente em Cápsulas e Pastilhas
259,40,11787,Amaciador
260,40,11788,Aditivos e Outros Cuidados
261,20,11789,Lixívia
262,30,11790,Limpeza e Cuidados do Calçado
263,17,11791,Lavandaria
264,14,10600,Guardanapos
