identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,avantages_dateFin,avantages_categorie,nro_paginas,page,images_3,images_4,images_5,images_6
17189,5603344531107,110.0,General,"Atum em posta, em azeite, embalagem de 110g",,1.49,13.55,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9B578FD57DAE66EA731A200412CF6D79.jpg,,,2025-10-08T23:59:59+01:00,PROSPECTUS,16,1,,,,
1035,5601045105313,6000.0,Serra da estrela,"Água mineral sem gás, pack 4 x 1.5 l",,1.79,0.3,6000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0358268AAE386D7F610EBE003FAAE9E0.jpg,,,2025-10-08T23:59:59+01:00,PROSPECTUS,16,1,,,,
3526,2894034000000,150.0,Nobre,Fiambre da Perna Extra,1 un = 150 gr (aprox.),2.25,14.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C76D05EF052819EDC79567520AD2D260.jpg,,,2025-10-08T23:59:59+01:00,PROSPECTUS,16,1,,,,
13914,2891225000000,350.0,Frango,Perna com Costa,1 un. = 300 g (aprox.),0.77,2.19,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D1297D1CD095629263E582A65B4C3857.jpg,,,2025-10-08T23:59:59+01:00,PROSPECTUS,16,1,,,,
5036,5601028012164,,Renova,"Papel higiénico compacto, extra xxl, 6 rolos",Uma embalagem,2.96,2.96,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9367736D84791631B6A81B574D2BBA50.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1F9398A5B85712D9E30015F112CCAF6E.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/84ED764CBC37072F87BD089140194A37.jpg,2025-10-08T23:59:59+01:00,PROSPECTUS,16,1,,,,
13048,2893561000000,250.0,Marisco,Ameijoa Branca Vietnamita Congelada,Vendido a partir de 250 gr  (aprox.),0.45,1.79,0,,€/Kg,,Avantages !,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EB1BC296FF41180E6F3E1626AD4F78AA.jpg,,,2025-10-08T23:59:59+01:00,PROSPECTUS,16,1,,,,
13966,2696019000000,450.0,Padaria,Pão Regional Rio Maior Inteiro,1 unidade= 450 g,0.99,2.2,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/868CC38F01B8F1FD056036A7F49504A8.jpg,,,2025-10-08T23:59:59+01:00,PROSPECTUS,16,1,,,,
32158,4015400917328,480.0,Fairy,"Detergente Liquido da Loiça Limão, 480 ml",,2.54,5.29,480,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4E2BD689329F214554584573973F36ED.jpg,,,2025-10-08T23:59:59+01:00,PROSPECTUS,16,1,,,,
12994,2892524000000,100.0,Legumes,Cenoura Granel,1 un = 100 gr (aprox.),0.08,0.79,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5AEDEF3ED6ABEF24EACEE9C46AA7916F.jpg,,,2025-10-08T23:59:59+01:00,PROSPECTUS,16,1,,,,
7394,3250390426134,700.0,Highland Cross,Whisky,Garrafa de 700 ml,8.15,11.64,700,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/42A05CE1AFB33A04856A6A67ACC05EF0.jpg,,,2025-10-08T23:59:59+01:00,PROSPECTUS,16,1,,,,
2474,7613032408602,85.0,Purina Gourmet,"Comida húmida para gato vaca e frango, embalagem de 90g",,0.87,10.24,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/571C1A9D6D5EE4C101463565EC0CDDDE.jpg,,,2025-10-08T23:59:59+01:00,PROSPECTUS,16,1,,,,
21767,7613035487871,90.0,Nestlé,"Fruta para bebé multifrutas +4 meses, embalagem de 90g",,0.65,7.22,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1B1A7DCEC52C23E2760C4FE3A24A75EE.jpg,,,2025-10-08T23:59:59+01:00,PROSPECTUS,16,1,,,,
54316,4064035151324,,Scotch Brite,"Esfregão com Esponja Azul, 3un.",,1.49,1.49,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A4B005D8CCAAFC71AAB327E2A5FE66C0.jpg,,,2025-10-08T23:59:59+01:00,PROSPECTUS,16,1,,,,
21465,5449000085474,1500.0,Fanta,"Refrigerante com gás de maracujá, garrafa de 1,5 l",,0.99,0.66,1500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/713F7A2E8FF1504D7580CF5EB99232C0.jpg,,,2025-10-08T23:59:59+01:00,PROSPECTUS,16,1,,,,
