identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,avantages_dateFin,avantages_categorie,nro_paginas,page
12972,2892040000000,1000.0,Fruta,Banana,1 un = 200 gr (aprox.),1.09,1.09,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C368220872795E9863F1F37C2230CCEA.jpg,,,,2024-09-11T23:59:59.999999999+01:00,PROSPECTUS,9,1
12978,2892462000000,400.0,Legumes,Alface Frisada,1 un= 400 g (aprox.),0.4,0.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/14C8DBD7827DB992F77D5C5056950123.jpg,,,,2024-09-11T23:59:59.999999999+01:00,PROSPECTUS,9,1
13625,2893620000000,300.0,Peixaria,Salmão de viveiro à posta,1 un. = 300 g (aprox.),3.6,11.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/29B9DB2E73FB6AE756265DB326B65712.jpg,,,,2024-09-11T23:59:59.999999999+01:00,PROSPECTUS,9,1
13818,2892584000000,250.0,Legumes,Pimento Vermelho,1 un=250 gr (aprox.),0.5,1.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A89EFDBC825F249BCF5C02ECF326661E.jpg,,,,2024-09-11T23:59:59.999999999+01:00,PROSPECTUS,9,1
17402,8412600027233,700.0,Bimbo,Pão forma familiar normal,embalagem de 700 g,1.99,2.84,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DE8CCFFBC376CC9F4596A72F8ABC4CE5.jpg,,,,2024-09-11T23:59:59.999999999+01:00,PROSPECTUS,9,1
13242,2893227000000,200.0,Peixaria,Robalo de Viveiro,de 200 a 600 g (aprox.),1.16,5.79,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/48561D1FC8B0542874DDBC21F2E9ADCA.jpg,,,,2024-09-11T23:59:59.999999999+01:00,PROSPECTUS,9,1
13865,2891042000000,1000.0,Porco,Costeletas do Cachaço,Vendido ao peso a partir de 1 kg,4.98,4.98,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9CC30521C194F3CF0E71F32C6E004880.jpg,,,,2024-09-11T23:59:59.999999999+01:00,PROSPECTUS,9,1
30958,5449000957955,3500.0,Coca-Cola,Coca-cola zero,pack 2 x 1.75 l,3.14,0.9,3500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9B5373624D44366A3ACEBCD7C73191EB.jpg,,,,2024-09-11T23:59:59.999999999+01:00,PROSPECTUS,9,1
2312,5604260271832,355.0,PorSi,Cogumelos laminados 1/2,Embalagem de 355 g,1.19,3.35,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/60708037644026A27C2FB6731A0DAB33.jpg,,,,2024-09-11T23:59:59.999999999+01:00,PROSPECTUS,9,1
26047,8412600070994,650.0,Bimbo,Pão de forma s/ côdea,Embalagem de 650 g,2.09,3.22,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/998967574B383CCF8D49F03316F06108.jpg,,,,2024-09-11T23:59:59.999999999+01:00,PROSPECTUS,9,1
