identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,avantages_dateFin,avantages_categorie,nro_paginas,page,images_3
931,5601001228100,300.0,Nestum,Nestum flocos de cereais com mel,Embalagem de 300g,2.09,6.97,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3533A13BC534891673C8C96375839B78.jpg,,,2024-10-16T23:59:59.999999999+01:00,PROSPECTUS,9,1,
9293,5603722493942,250.0,Primor,Manteiga pasteurizada com sal cuvet,Embalagem de 250g,1.79,7.16,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5B98CBCDF9DE77B1D84C2C6375C3439D.jpg,,,2024-10-16T23:59:59.999999999+01:00,PROSPECTUS,9,1,
1322,5601163011114,5400.0,Luso,Água s/ gás,"Garrafa de 5,4 l",1.59,0.29,5400,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4B414C742356ECF49B4C0D49D2F721F7.jpg,,,2024-10-16T23:59:59.999999999+01:00,PROSPECTUS,9,1,
17402,8412600027233,700.0,Bimbo,Pão forma familiar normal,embalagem de 700 g,1.79,2.56,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DE8CCFFBC376CC9F4596A72F8ABC4CE5.jpg,,,2024-10-16T23:59:59.999999999+01:00,PROSPECTUS,9,1,
11688,5601244202318,200.0,Terra Nostra,Queijo flamengo em fatias,Embalagem de 200g,2.19,10.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1AC37D1F5312990D8FFDE85110EEAFAE.jpg,,,2024-10-16T23:59:59.999999999+01:00,PROSPECTUS,9,1,
12972,2892040000000,1000.0,Fruta,Banana,1 un = 200 gr (aprox.),1.09,1.09,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C368220872795E9863F1F37C2230CCEA.jpg,,,2024-10-16T23:59:59.999999999+01:00,PROSPECTUS,9,1,
24369,5601050033045,620.0,Danone,"Iogurte líquido morango / kiwi corpos danone,  4 x 155 g",,1.69,2.73,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/727FBA9E88DFAC31F291DCAC14087FD2.jpg,,,2024-10-16T23:59:59.999999999+01:00,PROSPECTUS,9,1,
19022,5603722509742,800.0,Agros,Leite com Chocolate,Embalagem de 4 x 200 ml,1.49,1.86,800,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5E96016EA2C29977083D2986B4126E1A.jpg,,,2024-10-16T23:59:59.999999999+01:00,PROSPECTUS,9,1,
19414,5601028024716,,Renova,"Papel Higiénico Puríssimo 3 Folhas, embalagem c/ 12 rolos",,4.89,4.89,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6242763EE156B95E7FFD25754BFAE64B.jpg,,,2024-10-16T23:59:59.999999999+01:00,PROSPECTUS,9,1,
24410,8710908859502,750.0,Cif,Spray power&shine multiusos c/ lixívia,Garrafa de 750 ml,2.69,3.59,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BC1FC8E39B43E72D32F4657C6D001534.jpg,,,2024-10-16T23:59:59.999999999+01:00,PROSPECTUS,9,1,
